参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
Law Sources🌟,[Law students’ attention] 想快人一步，早啲睇到簡潔、易明同詳盡的notes 和source🤩，就快啲pm我啦！🤓出售的notes 包括：ContractTortLand Law I & IICriminal LawConstitutional law Criminal procedure Civil procedure Law and society Legal theory Legal systemLRW I & IILand Law IIIAdministrative Law Chinese Law 另有大量politics A-range source!!!心動不如行動，快啲PM啦！😚,2022-2023 Tort Law A source- By-topic detailed notes- Exam-oriented intensive notes- RMD- Midterm Script- Tutorial Notes💯💯💯2022-2023 Constitutional Law A source- Highly exam-oriented notes- Midterm Essay (Grade A)- Tutorial Notes💯💯💯2022-2023 LRW II A source- Mooting Skeleton Arguments + Oral Script- Final Assessment Script- Assignments,The following notes are for sale at very affordable prices: 1. Land Law 1-2 grade A notes 2. Introduction to Chinese law A- notes3. Tort law A- notes (step-by-step approach to exam questions. Grade A RMD) 4. Competition Law II A- sources5. Criminal law I-II A- sources6. Civil Procedure A sourcesBlaw Double 1st Class Honours; Law Degree GPA: 3.71Full year course @$200; half-year course @$100P.S. Pls pm me for samples and more details.,1,23,,,,,
有冇人有ielts notes,Pm,"Have ielts writing notes, pm if interested",Prefer自己整嘅 thank you,1,3,,,,,
公審kinesiology David Montero,Lol same 2007 A 3017 C 🙂,外国势力渗透校园又一证明！,Same 3017 got c 2007 got a-,1,5,,,,,
⛄️,🥹🥺❤️感謝！,"Training 3 weeks 就聽call, 會學一個部門嘅skill 唔使擔心 有helper幫手 唔難啲人都nice",聽日就知,1,4,,,有冇人做過1823 intern?,,
放Life Science source,Pm,Pm me,Want life science 3,2,13,,,,,
揾GCIN2017 Source！,Push,Any A source?,Pm pls,1,3,,,,,
邊撚個仆街偷晒智華電腦啲mouse,yea,都幾,係你偷 貓,2,6,,,,,
__,Pm,Pm,Pm,8,67,,,開個hku hehe grp認識一下？🏳️‍🌈,,
__,May I know GPA requirement for SAP/SAO Yonsei?,Hi,有冇6weeks 嘅人想夾租？🥹housing application rejected🥹,1,19,,,Yonsei summer school,,
FBE Congregation,求fbe congregation 1pm -230pm session ticket 一張 價格可議 thanks 🙏🏻,,,,,,,,1,1
[law] 收source,The following notes are for sale at very affordable prices: 1. Land Law 1-2 grade A notes 2. Introduction to Chinese law A- notes3. Tort law A- notes (step-by-step approach to exam questions. Grade A RMD) 4. Competition Law II A- sources5. Criminal law I-II A- sources6. Civil Procedure A sourcesBlaw Double 1st Class Honours; Law Degree GPA: 3.71Full year course @$200; half-year course @$100P.S. Pls pm me for samples and more details.,[Law students’ attention] 想快人一步，早啲睇到簡潔、易明同詳盡的notes 和source🤩，就快啲pm我啦！🤓出售的notes 包括：ContractTortLand Law I & IICriminal LawConstitutional law Criminal procedure Civil procedure Law and society Legal theory Legal systemLRW I & IILand Law IIIAdministrative Law Chinese Law 另有大量politics A-range source!!!心動不如行動，快啲PM啦！😚,2022-23 Evidence & Land Law 3 A grade sources for sale. The exam ready notes are precise and highly helpful. Pm for details!,6,69,,,,,
放 BSTC A+ source,Have A+ source for BSTC2003/2009,Pm if interested!,,,,1,3,,,
放CCST9034 A+ 2022-23 Source,有意pm,,,,,,,,1,1
有冇人可以幫手補小學三年級？,Pm,Pm,Pm,1,5,,,,,
Wanna found a soc tgt? Sell🌹,Why need this soc? Why don't you open a new soc for every sellable type of product?,selling flower,What kind,1,4,,,,,
SAP KU,now KU ISU,push,anyone,5,,,,,,
__,好似已經過咗deadline,失敗應該會完全冇回音 😿,冇了,3,12,,,Appeal grade!,,
Internal transfer,Pm,"Can you dm me, no quota","Can you dm me, no quota",1,11,,,,,
Life Science 1-3,Pm,Pm,放source,1,27,,,,,
求life science sources,Pm,Pm,Pm,1,27,,,,,
幾時會出下個sem 1 timetable,Okok thxxxx🙏🏻,咁早知做乜鳩嘢,Portal -> class timetable入面個excel,2,9,,,,,
CCGL 9042 Summer Sem,Pm,Pm,Pm,7,99,,,,,
Hehe 港大 tg group,pm!,Wanna meet fd/ ltr pm,pm,3,137,,,,,
Generations Connect,咩黎😂？,,,,,,,,1,1
有無人CCHU9058唔太識畫畫都有A range,mid journey,前輩教路,,,,1,4,,,
求MKTG 3501 past paper,"have A+ source for mktg3501, please DM me at @itsnotfunnyatall",lm,,,,2,2,,,
SFC summer intern,Enforcement,May i know which department do u in?,Any updates?,6,45,,,,,
HKUWW norway,"pm again, the chat expired",hey are u going to norway in s1?,Pm🙏,2,9,,,,,
PCLL source,"PCLL students’ attention - 新嘅學年即將來臨！想快人一步，早啲睇到簡潔、易明同詳盡的notes 和source🤩，就快啲pm我啦！🤓出售的notes 包括：CCTPPMCivil litigationCivil Advocacy Criminal litigationCriminal advocacy PT1PT2China PracticeMatrimonial Employment Listed companiesDCA除notes外，不少科目亦附有canned answers, exam checklists, past paper answers 等，協助你一take pass💯😚心動不如行動，快啲PM啦！😚",Hi,"PCLL students’ attention - 新嘅學年即將來臨！想快人一步，早啲睇到簡潔、易明同詳盡的notes 和source🤩，就快啲pm我啦！🤓出售的notes 包括：CCTPPMCivil litigationCivil Advocacy Criminal litigationCriminal advocacy PT1PT2China PracticeMatrimonial Employment Listed companiesDCA除notes外，不少科目亦附有canned answers, exam checklists, past paper answers 等，協助你一take pass💯😚心動不如行動，快啲PM啦！😚",1,12,,,,,
Ccgl 9042 A+ source,你撳我個信封仔,pm,Pm,1,4,,,,,
__,pm,Pm plzzz,Pm,3,83,,,CCGL9042 quiz,,
有冇人長沙灣政府大樓翻工？,"yes, but not me",,,,,,,,1,1
CHEM2442 好唔好grade,"CHEM2442 A range source for saleIncluding…1. 2020,2021,2022 Midterm 1 and 2 answer2. 2020,2021,2022 Exam paper3. Lab manual4. 2021,2022 Lab Test answer5. Lecture notes6. Textbook (e-version)Dm if interested",Pm,好難🤯,1,37,,,,,
Sell CHEM2442 A range source,"CHEM2442 A range source Including…1. 2020,2021,2022 Midterm 1 and 2 answer2. 2020,2021,2022 Exam paper3. Lab manual4. 2021,2022 Lab Test answer5. Lecture notes6. Textbook (e-version)Dm if interested",,,,,,,,1,2
Ccch9051 A grade source,同放,Dm if interested,,,,1,2,,,
law source,[Law students’ attention] 想快人一步，早啲睇到簡潔、易明同詳盡的notes 和source🤩，就快啲pm我啦！🤓出售的notes 包括：ContractTortLand Law I & IICriminal LawConstitutional law Criminal procedure Civil procedure Law and society Legal theory Legal systemLRW I & IILand Law IIIAdministrative Law Chinese Law 另有大量politics A-range source!!!心動不如行動，快啲PM啦！😚,Pm,"‼️22-23 A range law source‼️A- Tort Package($359): 1) 170+ pages detailed notes; 2) sem 1 & 2 answer skeleton (step-by-step exam guidance and useful exam tips, familarity with the skeletons can hopefully guarantee A range grade)A- Land Package($379):1) Land I&II notes; 2) Land I&II casebook: summarized the facts and ratio of all leadings cases, save the trouble of reading long textbook and case judgments; 3) Land I&II review notes: organize the key points in flowchart format; 4) Land I& II answer skeleton: extremely helpful❗can be directly used in exams as all the necessary authorities have been inserted and the template has been updated according to the latest legislative changes.‼️A Crim Package($399):1) 50 pages sem 1 notes and 44 pages sem 2 notes; 2) Crim I (sem test A+) answer skeleton: very useful template, many parts can be directly copied onto your exam answer book); 3) Crim II review: sem 2 notes organized following different paradigms, comply with the mindset suggested for exams; 4) Crim II Offence Table: summarized all key points of examinable offences in 2022-23, very useful checklist for exam. 😆Pm if interested and plz dont distribute to classmates who did not buy.",1,9,,,,,
CCCH9018 A+ source Dm,Pm me if interested,Buddhism and Chinese Culture package includes:-grade proof-all lectures and tutorials notes-mid term mark and my own final essay*student can choose from taking the mid term exam or do 3 lectures study report,dm,1,6,,,,,
reject internal transfer,好似要defer一年,今年year幾,BA去BSocSc,2,32,,,,,
放SIGC assigment source🤩,SIGC assignment都要source? Moodle本身已經有四份俾你參考做sample,Pm pls,Pm,1,10,,,,,
__,Selling A+ grade Final Essay with markers’ comments. Updated course curriculum from 2022-2023 Semester 2.,,,,,,,GEOG1022 A+ Source 2022-23,1,1
Law Source,[Law students’ attention] 想快人一步，早啲睇到簡潔、易明同詳盡的notes 和source🤩，就快啲pm我啦！🤓出售的notes 包括：ContractTortLand Law I & IICriminal LawConstitutional law Criminal procedure Civil procedure Law and society Legal theory Legal systemLRW I & IILand Law IIIAdministrative Law Chinese Law 另有大量politics A-range source!!!心動不如行動，快啲PM啦！😚,The following notes are for sale at very affordable prices:1. Land Law 1-2 grade A notes 2. Introduction to Chinese law A- notes3. Tort law A- notes (step-by-step approach to exam questions. Grade A RMD) 4. Competition Law II A- sources5. Criminal law I-II A- sources6. Civil Procedure A sourcesBlaw Double 1st class honours Full year course @$200; half-year course @$100P.S. Pls pm me for samples and more details.,[Law students’ attention] 想過三爆四，睇到簡潔、易明同詳盡的 notes 和source🤩，就快啲pm我啦！🤓出售的notes 包括：ContractTortLand Law I & IICriminal LawConstitutional law Criminal procedure Civil procedure Law and society Legal theory Legal systemLRW I & IILand Law IIIAdministrative Law Chinese Law 另有大量politics A-range source!!!,4,49,,,,,
GEOG 1022 A+ source,22-23 A+ source available - lecture notes - summarized and highlighted important points in each lecture (for in-class quiz) - final essay script,,,,,,,,1,1
收BIOL 1201 source,need biol 1201 source,Pm,pm,1,8,,,,,
Law source for sale,The following notes are for sale at very affordable prices:1. Land Law 1-2 grade A notes 2. Introduction to Chinese law A- notes3. Tort law A- notes (step-by-step approach to exam questions. Grade A RMD) 4. Competition Law II A- sources5. Criminal law I-II A- sources6. Civil Procedure A sourcesBlaw Double 1st class honours Full year course @$200; half-year course @$100P.S. Pls pm me for samples and more details.,"Civil pro, crim pro, land, tort, crim and contract sources for sale at very reasonable price. Comprehensive source package. Pm for details","[最新 22-23 Year 2 LLB source]- Extremely exam-oriented & comprehensive. {講真點溫幾百頁嘅notes🥲｝I only relied on these notes during exam preparation.-Exam notes contain content from lecture, tutorial, TB, PP.-DM for samples & grade proof[A-]Constitutional law ($200)- 13-pages Exam Note (only cover sovereignty, autonomy, one country two systems; freedom of expression; right to equality)*揀topic溫😎 + (important points on highly examinable authorities)- Essay (75% + marker’s comment)[A-]Land law I&II ($350)-Exam Note (Sem 1: 9 pages; Sem 2: 29 pages）-Own attempt on tutorial Qs with annotations-Sem 1 Q Paper [*No script coz in-hall written exams for both sem]{Lecturer 通常唔俾 PP 的 🥲｝[A-] Tort Law I&II ($350)-Exam Note (Sem 1: 10 pages; Sem 2: 27 pages)-RMD part A & B with marker’s comment (Overall A-) {Constitute 30% of overall grade so super important!}-Sem 1 in-hall hand-written A- script with marker’s comment + Q Paper-Sem 2 Exam Q Paper",2,10,,,,,
__,上網可以睇到,"Given the nature of capstone experience, Advanced Standing or exemption will not be granted, while credit transfer may be allowed subject to the relevant Faculty Board’s approval.123/323","finance major, 諗住Final year Sem1去exchange想問吓有冇得exchange做capstone",1,3,,,ECON4200 capstone可唔可以exchange讀,,
求CHEM3134 3443 3541 source,Push,"CHEM3143 Introduction to materials chemistryCHEM3443 Organic chemistry laboratoryCHEM3541 Physical chemistry: Introduction to quantum chemistry",,,,2,2,,,
anyone LOL aram,別讓挫敗成為藉口+,gogo,,,,1,2,,,
Anyone sep travel Europe tgt,Pm,Go where?,,,,1,3,,,
chin2170,Pm,same diu,pmpm,2,9,,,,,
__,Hi,Pm,Pm,575,5137,,,🌸goop緣份計劃🌸,,
__,hey,完sem放暑假係咪想識人呢🙈 無論你想識朋友😚or 另一半❤️都可以幫你配對🥰 簡單填form留低你既要求同contact admin會幫你配對符合你要求嘅人😇  再交換你地嘅contact～😊 https://docs.google.com/forms/d/e/1FAIpQLSfZ_TqFnhgoHwOyJH4EQ8EMyOrwY8gUj0Z306rAWP9q88kMCg/viewform?usp=sf_link,24ba pm,34,2202,,,🌺🌸goop緣份計劃2.0🌸🌺,,
放CCHU9074 A+ source,ProposalPosterCase studyAll have grades & A+ proof,,,,,,,,1,1
有冇人知beta gamma stigma 係咩？,Umm I’m in the society but it’s useless,"Just variable, can be anything",有冇人可以分享下GPA要幾多先係top 10%🙏🏻,18,26,,,,,
出 ACCT1101 MATH1013 MATH2012,final每个有5份答案以上,包括midterm test1 test2,19-22年的全部past paper答案都有，一半官方，一半手写,2,4,,,,,
尋acct sources,最好sem 1🙏🏻,想要ACCT3106 A+ source / past papers🙏🏻,,,,1,2,,,
已經畢業禮了提醒番我其實冇識到朋友🥲 圍下爐,下年畢業，都唔算好多朋友,有幾個由中學開始好熟最close嘅fd會嚟 都係諗住同佢哋影咋,"Same here, 好多only hi bye friend",3,15,,,,,
點先可以一個sem讀3科？,申請underload,,,,,,,,1,1
￼今日HR問我點解P/F SCNC1111 1112,咪FF 啦🤣CV見到6901即刻screen 走架啦,sci 出到黎都冇好工是但啦,笑死,1,6,,,,,
有冇人有興趣放假行山,push,k,👋我喺Gööp開咗個私人討論區：行山小組你哋快啲由呢度加入： https://goop.ai/to?ref=gp.s&i=/invite/04677☝️食用方法好簡單，完成註冊後撳多次上面嘅連結就可以加入！🤫或者輸入邀請碼：04677【👨‍👩‍👧‍👦 Gööp 係一個年青人嘅討論區，可能帶俾你最有趣嘅討論體驗！】,1,9,,,,,
［徵］建築學院畢業禮guests飛,有無人有多可讓🥲可比啲車馬費,,,,,,,,2,1
有冇人試過讀advanced course但冇讀prereq,Civl 3101 Civl 3119,邊course?,當free e,1,4,,,,,
FBE sem1 3.5 yGPA3.86 會入dean嗎？,Semester gpa 3.6 each year,"no, all courses in this year",係淨係計business course gpa嗎? Thankss🙏🏻,4,24,,,,,
__,"佢宜家叫人upload翻 presentation slides 做 assessment checking, 有無人知咩事？",想問大家咩grade🫠🫠,,,,2,2,MGMT3416,,
Engine fac dean list一問,睇year 幾如果year 1 3.6就未必,Top 10% 先有,No,1,5,,,,,
有冇人知道想有MLT牌要讀點幾個course?,Push,,,,,,,,1,1
[SciFac] 有冇人做過 SRF / ORF ?,Push,咪做啦 浪費時間 搵工好過 利申做咗兩年,Anyone?,2,8,,,,,
大家有咩free e推薦🙏🏻,"Agree for those I studied , including FINA1310 2320 2322 2342 2330 2390",Example?,All stat course,2,27,,,,,
求CCST9054/GCIN2020 source🙏🏻,CCST9054/GCIN2020 A range source🙏🏻,如題！,,,,1,2,,,
Urban Studies 一問,有冇人minor左？想問下野🙏🏽,應該唔會有 studio = 學唔到 GIS,US minor 又好似得好少course俾你揀咁,7,8,,,,,
Is sum sem inc. in cgpa,Ok thanks,Yes count,If take cc it will count?,1,8,,,,,
__,sell A range individual reflective journals,,,,,,,sowk1004 A range source,1,1
Econ1220苦主入,chiwa larn grade正常,有幾奇怪？,,,,1,4,,,
Fail咗計唔計credit,睇transript佢寫0cred,唔計,"如同, 如果唔計今年淨係得54cr… 係咪一年一定要湊夠60cr定係下年讀多啲就得？",1,3,,,,,
夾買畢業袍,pm,Pm🙏,plz contact https://t.me/windybear,1,14,,,,,
收Ccch9018 source,Pm,pm,pm,1,51,,,,,
FBE Congregation,push,如果有ticket可以pm我睇下係咪同program  thanks 🙏🏻,收 FBE congregation ticket 一張，價格可議🙏🏻 但係因為每個program congregation嘅具體時間未出，所以暫時淨係收同一個program嘅ticket 🙏🏻Thanks 🙏🏻,1,3,,,,,
有無人要夾畢業袍 need 3 more,有無人要夾畢業袍 need 3 more,,,,,,,,1,1
__FBE Exchange🔥,HKUWW唔擔保你exchange可以reg到business coursea。但正常busi major去hkuww報會有優勢，因為好grade d,3.7,想問下你GPA係咪好高😢,2,9,,,,,
需要CCCH9018 A Source,pm,Pm,Pm,1,7,,,,,
BSTC2003/BSTC2009 source,BSTC2003/BSTC2009 source anyone want?,,,,,,,,1,1
有冇人試過appeal成績成功,真？,會,想知會唔會反而跌咗grade,1,3,,,,,
BIOL3606 A- source for sale,$$ negotiable. please pm,,,,,,,,1,1
CCGL9001 A+ source,push,push,1) Video test x22) Group project ppt + podcast videoNo notes PM/RGTG: https://t.me/jy123765,1,3,,,,,
mktg3501 + mktg3512 paper!,"mktg3501 A+ source pls dm telegram @itsnotfunnyatall $400 (43 page self-made notes, grp project final report and powerpoint)",need exam+solution!,,,,1,2,,,
尋Mktg3501 source,"mktg3501 A+ source pls dm telegram @itsnotfunnyatall $400 (43 page self-made notes, grp project final report and powerpoint)",,,,,,,,1,1
Defer問題,1.你鐘意就得2.唔洗申請ps 不過建議你都係email or phone call fac，因為可能唔同fac有唔同規定,唔係諗住信呢度ma,其實 不如直接打電話問faculty,2,4,,,,,
運輸署￼intern,樓主入唔到？,Hi,有冇人黎緊下個月開始番?,1,4,,,,,
ccch9018 A+ source,Pm,Pm,Pm,3,55,,,,,
平放BIOL / scienceA range source,放以下 a range biol / bioc / science sourceCSCI9001SCNC 3111BIOL1110BIOL 2103BIOL 2409BIOC 2600Bioc 3604BIOL 3401Biol3402Biol3403Biol 3408Biol 3508Biol 4415Ccgl 9018Ccst 9030 Ccst9009Ccgl9053Ccch9050,,,,,,,,1,1
CIVL course 平賣,2104 source interested,Plz pm me,hi pm,1,29,,,,,
Scholarship office電話地址,"They would actually reply, perhaps you can wait for a few more days",有冇人知scholarship office個電話同地址係咩？唔好叫我email佢哋，佢哋係唔會覆email🤷🏼‍♂️,,,,1,2,,,
Free elective comp 1117,師兄讀過？,Agree,根本比d effort就會A 到 programming 係講self discipline 同你比幾多時間去學一樣新嘅語言一樣,1,10,,,,,
幾時出hon,出ed,Pushh,FBE幾時先出hon,2,3,,,,,
Civil eng capstone連登po,有證據就攞出黎啦，占卜唔係證據呀白痴仔，聽完個71分鐘都聽唔出你嘅證據係邊,白卡佬都入到hku,On9仔，Kam豪可唔可以唔好咁撚顛😂仲以為自己讀緊中學？,1,3,,,,,
Hku咩course 有可能攞到A+,COMP 2501,psyc2062,thanks,8,57,,,,,
求PPA靚grade courses推介,Agree,Got A from Enze Han tho,A strange leng grade,3,4,,,,,
HKU exchange嗰$13000會幾時比？,夠gpa 好似faculty會自動幫你申請,想問下係咪唔洗申請 直接派嘎？,原來係12000,3,15,,,,,
ccch9051 grade,A,大家ccch9051咩grade啊,,,,1,2,,,
UHS,邊個醫生？thanks,我睇過香港腳,想問UHS有冇得睇扁平足？,2,3,,,,,
放ccgl9026 A range source,Pm me,,,,,,,,1,1
PSYC入 關於thesis,想問下做thesis係咪易攞高分過IS?,,,,,,,,1,1
每年有幾多%人有1st hon ?,pass/fail拉高咗好多以前係10-15,,,,,,,,1,1
