参数1_文本,参数2_文本,参数3_文本,参数4_文本,参数5_文本,参数6_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
🌞,🐞,我係ESFJ~~~想搵2個 hall A女roommate！！！我平時大約1-2:00瞓好少玩通宵有少少潔癖，會主動執房，太污糟都頂唔順🥲其他rules就可以遲啲再定！都係人夾人姐🤨時間無多！仲未搵到roomate嘅你快啲pm我啦～～,,,,,,,,,🙆🏻‍♀️女仔入 Hall A 3人房 roommate,1,1
點會冇人講今日出goa,😴,想知點appeal,🤖,計高左0點0幾,😩,垃圾edu,2,23,,,,,
Ece Hd,😟,Pm ~,🐳,Pm plz~~,🌸,冇就收皮，煮到埋泥就食,5,56,,,,,
普通話拎唔到3B會唔會畢唔到業,😏,3b都冇 你外國勢力嚟？,低調lorr,畢業證書就冇事？,🐡,有冇師兄試過8月考嘅話，11月嗰張transcript 會唔會轉得切達標,1,12,,,,,
🌼,🙎,有無人想揾roommate?三人房,👾,？,,,,,10,28,Hehe 求roommate,,
🙋,LeanneLee,本人：year2 WY Standard room唔介意roommate 夜瞓內向偏靜最緊要乾淨✨有意PM🙋🏻‍♀️,,,,,,,,,搵Nhall 2人房roommate,1,
Edu多唔多gay or bi,🍿,Pm,🍿,Pm,🍷,有無人想夾roommate🤭,2,63,,,,,
想問budget room 床位,🐜,補充下三人房：u同埋s張枱係黐埋一齊，b就最正，自己一邊，下格床又唔使擒上擒落,小芒果,u 係上格 s 係單人 b 係下格,,,,,1,4,,,
酌宿,早抖啦,Hall c,🐄,家庭特殊情況,😢,住乜,1,6,,,,,
⛄️,🐰,11,👨,唔分，讀名上黎，有first hon先講..,🐖,請問往年大約幾月舉行畢業禮？,2,5,,,畢業禮會唔會分grade行出嚟拎畢業證書？,,
Fun,🍕,Ba or c,🌞,好想fun bi pls dm,,,,,2,3,,,
Sem2 幾時出gpa,🍮,問乜,🍠,21 Jun,🍵,想問吓有冇人知Sem2 幾時出gpa ？🙏🏻,2,3,,,,,
招數學補習長期Partner，自己一個做唔黎,👿,做乜,😒,[代Po]已經有大約20個學生，主要針對高中學生，IG account已有超過1000人follow，有場地有基本筆記，但實在不能獨自應付全部補習相關的營運，而且將來擴張也不能自己一個人應付。因此想招長期合作嘅partner，負責教學和筆記製作等的事務。希望可以招到數學有5或以上 / 數學系 / 工程系，如果有興趣但唔係讀呢D科目都可以！有興趣請pmTelegram: https://t.me/yonamousInstagram: @ghosto0247因為是代po，請不要在下面打pm，我聯繫不了你。如果識有人可能會有興趣嘅話都可以share呢個post比佢睇下，Thanks了各位大哥。,,,,,3,2,,,
酌宿 discretion,😪,想問吓大家如果申請酌宿嘅話有咩資料要交同埋有咩要注意？🙏🏼,,,,,,,,,,1,1
exchange資助討論區,🙆,冇,👳,想知除咗glef同sao嗰個，仲有咩資助可以拎？,,,,,1,2,,,
招聘 全職中心主任兼小學功輔班導師,🙆,唔好用自己心態代入。你自己垃圾，用垃圾視角睇嘢就算。,👿,有工比你班垃圾開仲要求多多,🌴,Salary Range又唔講，又Double Title，仲要入Goop招全職😅💀💀,4,,,,,,
想問有咩course好玩又唔洗exam果啲可以reg?,🐈,打籃球踢波嗰科叫咩名？,🐡,Ching係咪讀GEM1002?,😊,屌，你讀完攞諾貝爾咩，想放鬆啲都唔撚得嘅，係要屌嚟屌去😂,4,5,,,,,
幼稚園老師長假期放假日數,👴,參加scheme,🎄,私校定scheme?,👴,同埋有試用期3個月，辭職要賠3個月代通知金,1,4,,,,,
求放Gef 1004 Pursuit of happines,🍑,Summer,,,,,,,,,,1,1
女 hall c三人房想轉二人 可以加錢🤩,lhtm,Sem1?,🕵,想換🙇🏻‍♀️ 有 6week 二人 房,,,,,1,2,,,
暑sem通常幾時派grade?,Lovehk,係,😝,個grade會計落下個學年？,👽,下個學年sem 1,1,5,,,,,
有冇人收到TDS scholarship結果,做咩啫你357,Push,做咩啫你357,仲未收到通知🥲,,,,,1,2,,,
求GEK1006,跳脫girl,有 自出價,🍲,推,🍲,推,1,7,,,,,
搵到教席嚕 歡迎提問～,🍤,留意csb網頁,🙏,官校嘅要去邊度搵？,🍤,我反而想知你有冇報官校APSM,7,48,,,,,
暑sem入,🌲,想問大家最後一次收到email係幾時同講咩？填完交錢個表就冇通知正唔正常🥺,,,,,,,,,,1,1
PSY 一人一個killer🤮,👲,叻,🍋,A- 喎,😇,唔kill喎 利申：A- 我都多朋友B+喎,11,88,,,,,
獎學金一問,🐭,感謝 因為我九月先入嚟開學 唔太清楚就問問🙏🏿,👮,有寫大概幾時,👮,睇Portal announcement 同SAO website,1,5,,,,,
EDA 3133,😠,有冇師兄師姐讀過，覺得點？見佢6 credit hour，係咪代表take左佢一科都當做讀左6 cred?,,,,,,,,,,1,1
依家暑sem 住hall 仲可唔可以補交錢住返,🍧,明明自己遲交錢 仲喺度嘈,🍖,搵SAO director Angie special approval,👽,蘇州過後冇艇搭,1,4,,,,,
HallC Hugo,⛑,Ig?,😨,點解話人顛婆先 Blame the victim?,☠,Yellow呢啲癲婆係咁上下,6,15,,,,,
想要ECE 93169嘅位*,🐚,PTH咁受歡迎，冇咩可能,😉,請問有無人reg到93169？可以用90442 位換 thank you,,,,,1,2,,,
畢業原校升讀master/PGDE有無得做組爸媽？,😬,下一年都係 year 4,👧,有啲人係senior entry上莊，想參加番下屆支莊嘅ocamp,😬,現莊話俾就俾架啦 關係唔係master咩事，非Eduhk都得,1,5,,,,,
有冇人可以放INT2065出嚟🙏🙏🙏,🙆,Have,OMGW,想要 but how much,👵,pm,1,5,,,,,
hdece有冇得exchange,🍋,冇,🐱,沒有。,,,,,1,2,,,
dd music toby ip見字請入,👼,咁既樣都出軌。。？,🐧,講到你好似同佢好大仇口咁？,💁,💁🏿‍♂️,1,12,,,,,
究竟咩科要80% attendence 咩科唔洗,🍻,有啲會話走缺席多過2堂或以上會降一個fine grade,👱,"有啲professor一開始第一堂就會講唔計attendance, 其他冇講一律當係要80%",🍼,要reg咗先知，上第一堂先知道會唔會點名，例如叫名舉手、簽點名紙,2,8,,,,,
暑sem想三人房換二人房 可加錢,🎉,無呀,,,,,,,,,,1,1
check out 可唔可以帶visitor入hall?,🐄,Why not,🍋,可以,🐟,No,1,3,,,,,
有邊個申請過trans major?,😀,Push ….,👮,實習之後知道唔啱,👮,Plan緊申請,1,5,,,,,
係咪一定要返EdU先整到張正式成績表🙏🏼,🐔,自己入e-SIS睇下先啦,🍔,可以郵寄,,,,,1,2,,,
男人老狗借條女錢,🍙,肉酸囉,🍙,好似還咗,🐷,一萬蚊？,2,6,,,,,
有冇收到Bridge AI internship offer,Oil,中or英,Oil,佢會問咩問題？,👦,我有去interview,1,11,,,,,
Becky喺內地咩區出世？,🎂,唔係星加坡咩？好似星加坡人嚟㗎喎,🤖,有咩問題,🐲,難怪個樣咁🙊,1,9,,,,,
有冇人知￼liu duo 係唔係killer🤔￼,🐪,同想問,🙃,樓上係咪學校staff 嗰個post都有佢🤫,,,,,1,5,,,
出年Year3 使唔使大灣區考察？（BEd),🍆,lm,🍸,lm,🍫,Push,2,6,,,,,
暑sem夾情侶房,😕,Pm,🙈,有就正,🐶,我可以夾，但無伴侶，你有無得提供埋？,1,4,,,,,
依家仲有冇得申請讀暑sem？,🍆,google下 校曆,🌽,建議自己Google 😅😅😅😅,🌿,請問幾時係暑sem add drop period?🙏🏻🙏🏻,1,7,,,,,
PFS4044,🍐,please ignore it,🐇,又問問問,🐇,點撚樣呀,1,12,,,,,
"收gem1002 gel 1003,350/each",⛑,求救🙏🏻,⛑,Push,,,,,1,6,,,
放INT2056  有興趣隨便報價,OMGW,幾錢,,,,,,,,,,1,1
徵SED 3005 essay,🐡,Pm,🍉,"有A, 自行pm",🐡,想要A+/A reference🙏🏻,1,14,,,,,
收 eda 4101 a grade,🍛,放A essay,😇,Pm,😙,A grade🙏🏻有評分表,1,12,,,,,
有冇人可以放GEL1003🥺,🎉,hi有呀01c,,,,,,,,,,1,1
求SED4072 05E你報價,菜好吃,p m,🐟,pm,教大全智賢,Pm,1,11,,,,,
SED4072 03E重金轉05E,菜好吃,pm,菜好吃,p m,🍶,pm,1,24,,,,,
SED4072 03e轉05e 自行出價,🦃,push！！,👳,04e想轉03e🙏🏻可唔可以幫吓手,🐇,Push,1,9,,,,,
有冇人知FEX1161星期六要上幾堂,🙊,多謝🙏,🍇,星期六係得一兩次，seminar嗰啲嘢嚟,🙊,咁星期六tutorial係隔星期上嗎🙏😢😢,3,14,,,,,
求GEL1003,😚,can’t pm you,🍦,pm,😚,有 放比你？,2,3,,,,,
SED 4072 04E 想轉05E🙏🏻🙏🏻🙏🏻,,,,,,,,,,,,,
有冇人放TLS 3005,冬冬冬,高價收,💣,Pushh,,,,,1,2,,,
放Gel1003,😨,dm咗,😕,Pm🙏🏻🙏🏻,😨,我意思係放呢科出黎比人reg,1,5,,,,,
"Lau Suk Han, Polly靚grade?",🐼,好人 比心機做就會靚,🐌,push🙏🏻,🐼,想知x2,2,3,,,,,
賣所有SED assignment,🍍,pm,🍷,pm,🐿,2079有？,1,6,,,,,
Sec major approve後點reg科🙏🏻,🌲,可以pre reg 2nd major course,hangryyly,想問下add/drop period開始前，會唔會可以早幾日自己reg左先🙏🏻,🐑,如題🙏🏻,3,,,,,,
求放SED4072 05E!!!,🍣,push,🍣,Push,,,,,2,,,,
Gem 做義工會唔會撞星期六早堂?,🍱,之前讀GEM做服務係可以商量時間的。,🍎,🤫,🍎,应该系噉嘅，而且听讲时长都唔会仔细检查,1,6,,,,,
TLS3057易唔易讀？Mark Gregory教,KELLYyyy,多谢嗮😫😫😫,🍷,killer,🍷,Mark run！,1,5,,,,,
求一份tls3005 essay sample,🤖,pm,👼,Overall A- 自行pm,Wie,Pm,1,12,,,,,
INT3075 reg唔到,YSMin,INT3075 reg唔到aaaa，個CRN not available for web.   有冇成功reg到  🙏🙏🙏,,,,,,,,,,2,1
🙏,人類一名,hi,🦃,p m,🦃,呢度有！搶唔到GEK1006🥲,1,5,,,GEK2032尋Groupmates,,
GEK 2028,🐒,大概一班得1-2人 A-,🐒,我知道好多人B range，極少A range，好嚴！,🐒,Final asm 中文二千幾字喎！gp project 會彈回頭，唔易做,1,9,,,,,
求放3057,🐅,可以用3058交換,,,,,,,,,,1,2
帶價收CUS1011同SED4076,☺️,Push,☺️,Push,☺️,Push,1,3,,,,,
有冇好心人放INT2065?,😌,ok,已退學,Pm,,,,,2,4,,,
SED He wu jing 系咪killer嚟,😹,Pushhh🙏🏻🙏🏻,🍠,+1,😥,Push,2,15,,,,,
想問GEI4010好唔好讀？,🐶,剪片會用多啲時間 不過overall嚟講係易讀嘅,🐝,冇，第一份asm好簡單，第二份asm要剪一條5min嘅片同寫reflection，workload會大少少,🍔,Workload大,1,5,,,,,
GEM2018伏？,🍰,Push,👼,想知+1,🍇,Push,1,3,,,,,
實習同Fyp會唔會佔多啲gpa ?,🍝,按 Credit 計,👴,但實習成績會決定最後個hon,😌,no,2,3,,,,,
Reg科問題,🗿,不會,🌰,冇問題,☠,想問兩科上堂落堂中間只有10分鐘 break係咪就會reg唔到其中一科，有time conflict?,1,3,,,,,
調hall,👮,"男有宿舍：Hall B類型：Sem 1 Standard求宿舍： Hall B類型：Sem 1 Budget你補返兩間房嘅差價就得有意請pm, thx!",🐑,Accept咗係咪冇得調,無心插柳柳橙汁,男有宿舍：Hall B類型： whole year budget求宿舍：Hall A類型 : whole year/ sem 1 standard可加錢有意請pm傾,4,21,,,,,
HallA換jc女,🍩,女有宿舍：Hall a類型：whole year std求宿舍： JC類型：whole year std有意pm,,,,,,,,,,1,2
收EDA4101 拎A essay 350HKD,😔,pm,😔,拎A,😸,Pm,1,9,,,,,
收 GEL1003 source,😇,+1,🍎,"同問, 收source",,,,,1,2,,,
LIN4001 CHIN Chi On教， 好唔好讀呀🙏？,🐆,push,🎂,Push,🐆,想知靚唔靚grade，唔該嗮🙏🙏🙏,1,3,,,,,
下年好似係冇校巴？點解？🤔,😄,😱,🎄,電郵話咗會重新招標,,,,,1,3,,,
GEK/GEM有咩course好讀？,🐞,想請問一下GEM2018 好唔好讀🥹,🐚,GEL1003 覺得點 🙏🏻,🍻,GEM1053/2048 GEK1023/1034/2032有無師兄師姐讀過 覺得點🙏🏻,3,5,,,,,
教師正式入職日子問題,🌚,唔知有無畢業同學睇到可解答，8月可能要到校開會，算唔算正式入職？,,,,,,,,,,1,1
GE Pave即係邊的course,人類一名,Push,👳,有冇話邊個好讀啲,,,,,2,2,,,
放PFS2013 A+ Essay Source,😖,Pm🙆🏻‍♀️,🌱,Pm🙇‍♀️🙇‍♀️,Wie,pm,1,13,,,,,
尋人,🙌,不過見到近鏡就好一般🥲塊面勁長 收返靚女嗰句,😪,伍,🐖,盈俊,1,13,,,,,
爆cred,🐪,前日交申請，今日已經批咗,minion12,我都未收到,🍵,打去Programme Office 問吓啦,2,6,,,,,
Hall B WY budget 換JC WY/s1/s2,😿,男有宿舍：Hall B類型： whole year budget求宿舍：Hall B類型 : whole year standard可加錢 pm傾,🌴,男有宿舍：Hall B類型： whole year budget求宿舍：JC類型 : whole year /sem 1/sem 2,,,,,1,2,,,
GEM1053難讀嗎？,🌭,推,🙉,英文唔算好勁，會唔會唔建議讀？,,,,,1,2,,,
☺️,Wie,靓grade,Wie,PFS4047  Ms.GAO,,,,,3,2,有冇咩es elective好推介？,,
有幾多人有二級甲等？,🍥,gpa？,😞,講緊GPA定PSC考試？,🐥,很多,1,3,,,,,
reg唔到hall,🍇,冇REG 都收到,🍇,係全校,🙇,唔係幫sao講野 年年改地址證明要求係佢問題 但交錯野好似係ching嘅問題,3,20,,,,,
GEL2007伏唔伏？,owoY,GEL GEJ 呢啲科有冇話year幾先去讀,🐇,真 煩到癲 仲要爛grade -.-,😳,多嘢做，超麻煩超chur,2,20,,,,,
CGPA 3.38/3.39 係咪都無First Hon,🍇,往,🍇,冇四捨五入係事實，但以住 3.399 一般情況下會照出 1st hon,🍭,我估你未放grade之前都預咗冇first hon架啦，放咗grade見到呢個GPA好似有得搏先來緊張。唔好比我講中。,5,32,,,,,
換hall,🌴,女有宿舍：Hall C類型：sem 1 budget求宿舍：Hall A類型 : sem 1 standard /budget 有意pm🙏🏻🙏🏻🙏🏻,,,,,,,,,,1,1
女想要 Sem 1 any hall offer,🍊,有sem 2 hall B standard room offer想換任何sem 1 hall offer,,,,,,,,,,1,1
畢業班要出Grade啦,🐧,Capstone拎咗B-,🐧,tonight!,,,,,1,3,,,
🙋,🍸,或者換其他hall嘅standard rm都得🙆🏻‍♀️🙆🏻‍♀️🙏🏼,🍸,有女N hall budget rm，想換N Hall 嘅standard rm，有冇人想換？🙆🏻‍♀️🙆🏻‍♀️,,,,,1,2,女N hall budget rm想換standard rm,,
Transcript 係寫咩gpa？,😫,Hon 計 Overall,🍜,Overall,🐱,"Transcript 係寫overall gpa定係會寫埋major gpa?非final year 但major最後一科好似衰咗…🥲如果最後overall gpa係過3, 但major gpa 得2.96, 咁都仲係second up嗎？thx",2,3,,,,,
Hall,VIV,hall c sem1 換any whole yr‼️,👽,女 sem 2 hall B 二人房 想換sem 1 hall A/B,,,,,1,2,,,
男rbh sem2 budget 想換 rbh WY,🍔,我有女rbh wy standard,,,,,,,,,,2,1
有冇人讀過ENG3435,😰,想問下難唔難，同埋靚grade嗎🙇🏻‍♀️🙇🏻‍♀️,,,,,,,,,,1,1
Double count,💀,Calculus,😭,GE course?,🍓,ES RE 可以,2,4,,,,,
男Nhall sem2三人想換￼any hall wy,🍸,仲有冇人~,🍸,hi?,我是SnSnapchat,hi,3,8,,,,,
sem 2 reg hall 係咪易啲？,🍚,係,,,,,,,,,,1,1
有冇人放女hall c wy/ sem 1 offer ?,🍋,"冇hall換，如果有人唔想要個offer, 我可以加錢買，budget / std 都可，萬分感激 🥹🥹🙏🏻",,,,,,,,,,1,1
🙋有冇人讀過GEG1060 韓國流行文化在香港,🍶,push,🐗,assessment難嗎？難靚grade嘛！,,,,,2,2,,,
女 換hall 薄酬$500,🐳,女仔有hall B budget想換 Hall B standard薄酬$500有意pm,,,,,,,,,,1,1
Lau Chaak Ming定Au Ching Pong,😎,Chaak好好多,🍀,如果呢兩個比，一定係揀Chaak就算同其他靚grade professor比，chaak都絕對係一個smart choice,😴,who is Brett?,5,16,,,,,
其實點調房?,👸,人哋張學生證又唔係你個樣,,,,,,,,,,1,1
☠,🍥,係讀AI嗰科？,Hawaiiana,FEX1161,🐤,Push,1,3,,,GEL 2012伏唔伏,,
創意文化與關懷minor sem1淨係開一科係想點,😿,定係係今年新鮮熱辣嘅minor,😿,Ohh 原來係咁,,,,,1,6,,,
Sem 2 GPA幾時出？,😈,21/6,🐚,20/6,🙎,自己唔識睇？,1,8,,,,,
UePortfolio GEJ4020,🍋,前面有幾堂教嗰啲野係關於反思嘅一啲理論，啲同學做功課通常唔會跟theory,🍔,冇咩內容讀，但要你反思返你係大學到經歷咗同學咗咩,🐸,想請問師兄師姐其實依科係讀啲咩架🙌🏻Course title：Consolidating Undergraduate Learning through University ePortfolioThanks~~,2,3,,,,,
Psy2050 essay 一問,🎅,Pm pls🙇‍♀️🙇‍♀️,ddray,上一份presentation炒炒地驚唔過B🥲,🐒,亂咁做有b+ 唔洗太擔心啦,1,41,,,,,
Hall a 暑假招情侶夾房！,🍼,個對話過咗時間 麻煩再DM🥲,🍼,Dm  ed,🍼,5月17,1,5,,,,,
點樣繼續相信愛情？,🐧,真好，我每日做到五點幾，都已冇力去玩，又掛心學校d事。有時可能要六點幾先走到，六點幾要走係因為七點就閂門。我身邊都有好多盡責同事，我覺得係睇人😀,🍱,"一個月要有幾多教畜因為屌學生妹而上新聞#hoho#lme#smirking#lme#happy#lme又話教畜好撚忙 點解5點半已經post晒story又去staycation又玩保齡球#spinning2#lm2#spinning#lm2有得屌學生妹 老師讀書唔洗爭 搵工唔洗爭 撞正退休 移民潮#spinning#lm2#spinning2#lm2𡃁妹咁易呃又未見過世面班教畜FG 35k 4十歲唔升職已經5十幾k間唔中買下野食野飲 假期送下禮物已經有一手西屌細佬女怕事唔想搞大件事通常就不了了之條友一睇就知唔係第一次屌學生妹, 每年屌一批新既一手西中學讀書hea下hea咁去考DSE, 好彩拎到18-20分就可以入垃圾教大日日上莊玩活動起薪出黎31k 好彩有教席就35k起薪年年跳point講到淨係係大學得讀教大班人會進步同好撚忙 所以值咁高人工依家出邊就係9成5既學位平均都係20k，屌柒你班廢柴拎住高人工但做埋堆廢野自己無咩人生經歷 無咩遇到挫折 又唔係讀書叻拎住年年跳point既人工，唔明點解其他FG儲錢咁難，做幾年野已經買晒車準備儲多幾年就上車，個個自信心爆棚，覺得自己高人一等，最鐘意Post相上ig打飛機，唔知點解平日可以周圍去玩生活圈就係成世人困住係間學校見到校長副校即刻淆晒底扮晒蟹遇到學生/FG就另一副嘴面扮晒野，直頭以為自己係7科5星星既天之驕子然後用咁既心態教下一代點樣去讀書，揀科，理財DSE畢業生無咩人生閱歷無人脈帶路無家庭幫手睇根本唔撚世簡科到最後信撚左班教畜，出黎成為20k既FG 小薯 個個月都有教畜上新聞，害死小朋友，搞學生妹,搞文員 TA 老師 依家搞埋人妻派帽，處理方法就係請病假唔回應扮死狗最後成件事不了了之，人命無咗但班教畜完全唔洗孭飛成日話自己係專業人士，事實上人工就拎prof grad，責任就Who fucking cares?又要秘撈，又要作故仔偷情 周圍派帽，又要睇Netflix，又要呃西屌真係唔怪得點解教畜2年黎淨係返半日工都要話到自己好撚忙，暑假要出住2份糧做人口普查原來係比班教畜約炮 派綠帽D野就推晒比班大學生做你估班教畜無晒人會去備課？食親lunch見學校個個拎晒袋走啦得閒就去staycation好似光頭副校要屌學生妹人口普查出住雙糧約炮派帽學生比人欺凌扮睇唔到最近又多幾件非禮呃西屌教畜",💂,發生咩事令你唔信？,1,3,,,,,
有冇人報左7月canada summer exchange,🌼,me,🐬,Sad我去英國，同呢度一樣冇人覆,😱,識個伴一齊去玩？😇,1,3,,,,,
🌞,恐龍大西瓜,讀print media唔記得係要買set工具 total $7xx，我讀完個course之後9成野都用淨左，個1成野用100蚊內可以喺書局買返，想用$300放返出黎，有冇人有興趣？,,,,,,,,,有冇人要讀ART3198 print media，有野想放,1,1
🌚,👼,咩major,🍬,垃圾,🍫,佢係由唔大隻變大隻，定係本身大隻？,1,13,,,一人一個ICT畢業成功人仕,,
你哋有冇用chatgpt寫essay、做功課？,🍧,應該唔算,🐜,想請問下大家自己用中文寫完再用translate算唔算違反學術誠信？,🍧,yup,2,35,,,,,
有冇細粒可愛搞笑嘅女仔可以識下？,🐣,Momo,,,,,,,,,,1,1
教師註冊要幾耐時間？教育局個網,🌬,要等六月出信話通過畢業先得,👰,係咪等5月10號出咗GPA確認可以畢業先註冊到？,🌭,thx🩷,2,4,,,,,
summer exchange,td9,我去咗金策工業綜合大學，北韓NO.1,🍚,金日成大學,🍚,我去北韓,1,6,,,,,
