参数1_文本,参数3_文本
800萬買到幾多gif,覺唔覺六合彩中咗頭獎得800萬好唔抵
好過冇啦,覺唔覺六合彩中咗頭獎得800萬好唔抵
"咁都未算
最慘係8M+幾注中最後可能得兩球到手",覺唔覺六合彩中咗頭獎得800萬好唔抵
有人中好多次頭獎,覺唔覺六合彩中咗頭獎得800萬好唔抵
"開123456
應該有幾百注中",覺唔覺六合彩中咗頭獎得800萬好唔抵
無gif0/10,覺唔覺六合彩中咗頭獎得800萬好唔抵
好耐之前試過800萬幾注中，每人一百萬鬆啲,覺唔覺六合彩中咗頭獎得800萬好唔抵
咁一世人中幾次果d係咪再有bonus,覺唔覺六合彩中咗頭獎得800萬好唔抵
"點解俾盡一世只中一次
我期期都中唔得嘅",覺唔覺六合彩中咗頭獎得800萬好唔抵
等到金多寶再買囉,覺唔覺六合彩中咗頭獎得800萬好唔抵
照要,覺唔覺六合彩中咗頭獎得800萬好唔抵
點解唔可以係再買再中？,覺唔覺六合彩中咗頭獎得800萬好唔抵
所以馬會點刀贏你,覺唔覺六合彩中咗頭獎得800萬好唔抵
"我都夠嫁啦
照殺",覺唔覺六合彩中咗頭獎得800萬好唔抵
"我都夠嫁啦
照殺","終於可以係TG到用到Chatgpt啦 仲有各類型既AI Voice chatbot(練日文英文口語,娛樂用)"
"是咁的 之前介紹左D Ai voice chatbot比人練口語同娛樂
以家已經成功將D bot 帶過去TG 我諗可以更方便同埋廣泛應用
直頭可以唔洗連VPN直接係TG用 gpt3.5
個chatbot平台為左使用量唔好咁癲 set左對話次數係有上限(大約每日50-100次)
但係唔洗VPN可以係TG玩chatgpt咁方便 又唔洗錢 仲想點

你仲可以直接係TG用錄音同其他類型機械人傾計 練日文英文又得 娛樂傾計用都得
除左3.5同語音機械人 仲有其他冇語音既純文字機械人都有唔同功能
語音同文字既機械人其實都係based on chatgpt 3.5
唔同既係落左prompt黎做唔同既野咁解

要用TG bot首先要係個chatbot網link左去TG先可以用
相信好多有睇我口語PO都已經連左去TG
呢到講下點整
https://app.myshell.ai/invite/b1b73b
入link用gmail/email登入 然之後去profile到有欄connections可以連去TG
如果你用手機既話去左profile要禁一下icon先見到個欄connections
用invite link 登入會高LV d 有咩用未知 可能第時會多D對話次數

以家統一新登記有每日100電
用一次純文字既bot扣1電 語音既扣2電
即係每日大約50-100對話 每個鐘會回1/24電

chatgpt 3.5
https://t.me/gpt_hk_bot
呢個唔洗講 普通gpt3.5
Grammar Police
https://t.me/Grammar_Police_Bot
呢個係用黎改善英文表達能力為主既 幫你執/revise句子 執完同你繼續傾計
Vocab Dealer
https://t.me/VocabDealer_Bot
呢個係學英文生字/查字典連例句，做句練習睇Feedback，用故事串起生字等
Swearing Scarlett
https://t.me/SwearingScarlett_Bot
爛口Scarlett Johansson 鐘意講粗口講笑講廢話 同佢廢up好過癮
Amoral Ghostwriter
https://t.me/AmoralGhostwriter_Bot
呢個係同佢一齊作故，或者叫佢作故 練下writing一流
之前叫佢寫個毛魔比政敵雞姦既故事佢都肯
Vocab Dealer JP
https://t.me/VocabDealerJP_Bot
呢個係學日文生字/查字典連中文解釋例句
Air Doll
https://t.me/AirDoll_Bot
呢個係日文語音Bot 文字會連埋中文做輔助
chatgpt 4
得網頁可以用 但係一次成30電 即係一日三次 點都多過poe
https://app.myshell.ai/bot/881ef626464d44f98fae1910c1a5b85a

其實以上TG bot都可以網頁用 網頁的確係再快D 想搵返可以直接睇我之前D PO

仲有記得記得D output有咩唔對路 打/reset 重新黎過

因為之後會更新/繼續整唔同既ai voice chatbot
所以順便開左個 tg group 更新資訊 同埋加晒D機械人入黎玩
遇上咩問題都可以問 有技術問題野可以幫你反映
有興趣ai voice chat既咪入下黎睇下有咩功具bot可以用
唔一定限呢個平台 只係目前黎講呢個平台太好用
遲D可能有得自製聲音 又可能有新語言/用其他LLM
https://t.me/+UV1GylOsAjQ4NGE1","終於可以係TG到用到Chatgpt啦 仲有各類型既AI Voice chatbot(練日文英文口語,娛樂用)"
d bot可以加去tg group用,"終於可以係TG到用到Chatgpt啦 仲有各類型既AI Voice chatbot(練日文英文口語,娛樂用)"
好勁,"終於可以係TG到用到Chatgpt啦 仲有各類型既AI Voice chatbot(練日文英文口語,娛樂用)"
"Vocab Dealer
有無得比埋中文解釋？","終於可以係TG到用到Chatgpt啦 仲有各類型既AI Voice chatbot(練日文英文口語,娛樂用)"
我冇set呀 我覺得學英文睇純英好d,"終於可以係TG到用到Chatgpt啦 仲有各類型既AI Voice chatbot(練日文英文口語,娛樂用)"
呢個唔洗擔心,"終於可以係TG到用到Chatgpt啦 仲有各類型既AI Voice chatbot(練日文英文口語,娛樂用)"
強帖留名一身蟻多嬲死象,"終於可以係TG到用到Chatgpt啦 仲有各類型既AI Voice chatbot(練日文英文口語,娛樂用)"
功德無量,"終於可以係TG到用到Chatgpt啦 仲有各類型既AI Voice chatbot(練日文英文口語,娛樂用)"
Add入谷之後點用,"終於可以係TG到用到Chatgpt啦 仲有各類型既AI Voice chatbot(練日文英文口語,娛樂用)"
,"終於可以係TG到用到Chatgpt啦 仲有各類型既AI Voice chatbot(練日文英文口語,娛樂用)"
之後會有更多唔同聲音/功能既Bot 會放係TG group,"終於可以係TG到用到Chatgpt啦 仲有各類型既AI Voice chatbot(練日文英文口語,娛樂用)"
Add左chatgpt入谷但無反應,"終於可以係TG到用到Chatgpt啦 仲有各類型既AI Voice chatbot(練日文英文口語,娛樂用)"
你係個網link左tg未,"終於可以係TG到用到Chatgpt啦 仲有各類型既AI Voice chatbot(練日文英文口語,娛樂用)"
"https://t.me/JP_Translate_Bot

整左呢個日文翻譯bot 旅行用一流","終於可以係TG到用到Chatgpt啦 仲有各類型既AI Voice chatbot(練日文英文口語,娛樂用)"
"https://t.me/JP_Translate_Bot

整左呢個日文翻譯bot 旅行用一流",[數撚圍爐區] 美國中學教育世界最好 (90)
"Post 84: https://lihkg.com/thread/3319854/page/1
Post 85: https://lihkg.com/thread/3342803/page/1
Post 86: https://lihkg.com/thread/3353779/page/1
Post 87: https://lihkg.com/thread/3370984/page/1
Post 88: https://lihkg.com/thread/3389330/page/1
Post 89: https://lihkg.com/thread/3410567/page/1

歡迎所有對本科數學或以上有興趣的人入黎討論

Booklist (歡迎大家填同留comment)
https://docs.google.com/spreadsheets/d/1-OQi0WU9J-Gd8CETBLs7QRsy4Us-k1brUQAiw38fVJ8/edit?usp=sharing
MIT Booklist:
https://math.mit.edu/academics/classes.php?term=2020SP&show=textbooks

如果想問參考書請提供background, level, 同埋想用黎做咩 (e.g.純粹想applied落某D problem, 考qual, etc.)

數學系潮文：

1）Kai龍教授：
想問其實你知唔知膠智的kai龍系邊個？
呢個人數學好似好勁，我地以後一於上膠智的kai龍堂

系香港某所亞洲第一大學數學系的“教授”，雖然未tenure到。
專教analysis type course 嫁，geometric flows 系膠智的kai龍的research interest

2）Dimension潮文：
Classification of high dimensions

零維空間：紙上的一個定點，不會運動
一維空間：紙上的一隻只會走直線的螞蟻A﹝零維空間裡說的「定點」就是這隻螞蟻每一個瞬間的樣子，直線是定點的總集合﹞
二維空間：紙上的一隻亂爬的螞蟻B﹝紙面是各種直線的總集合﹞，或者大學生A君的一張照片﹝俗稱「二次元」﹞
三維空間：A君在一座寫字樓裡乘電梯上上下下、出入每個辦公室﹝俗稱「三次元」﹞
四維空間：A君從出生到入土一生的所作所為（可寫成一部以時間為主線的A君回憶錄，內容是唯一版本的）
五維空間：A君從出生起遇到各種發展的可能性，每次面臨的不同選擇會導致他不同的人生軌跡（這本A君回憶錄內容會有千萬種版本）
六維空間：A君若出生時不是他本來的樣子而是B君、C君，起點不同，發展的可能性就不同，面臨的選擇就不同，人生軌跡也就不同（從而有B君回憶錄、 C君回憶錄等本質不同的回憶錄），構成宇宙裡多元的活動型態
七維空間：我們這個宇宙也有自己一生的表現（可寫成一本宇宙回憶錄，內容是唯一版本的）
八維空間：我們這個宇宙也會遇到各種發展的可能性（這本宇宙回憶錄內容會有千萬種版本）
九維空間：我們這個宇宙若誕生時不是它本來的型態而是其他的型態（比如命名為“宙宇”），那麼宇宙、“宙宇”會因起點不同而有不同的發展的可能性（從而有本質不同的回憶錄），構成了“超宇宙”（我們假想出來的可以包含各種宇宙、宙宇的更廣闊的空間）裡多元的發展型態
十維空間：“超宇宙”也有自己一生確定的時間線（可寫成一本“超宇宙”回憶錄，內容是唯一版本的）
十一維空間：“超宇宙”也有遇到各種發展的可能性（這本“超宇宙”回憶錄內容會有千萬種版本）

3）
""In general, I always discourage students to pursue an advanced degree in pure mathematics or pure physics. I have seen so many talented people who have failed in their dream on pure math or pure physics, that is one reason. The other reason is that mathematics is becoming more and more technical and specialized, so it is not as appealing as it used to be. The third reason is that it is becoming more and more political and commercialized.

However, if you are talented in mathematics, truly interested in mathematics, want to have a relatively free life, do not want to work too hard for having a reasonably comfortable life, perhaps an advanced degree in mathematics is what you need. Forget becoming a great mathematician because most famous mathematicians are not great anyway; instead, your goal is to become a math professor somewhere so that you can have a relatively free life."" -MGW

4）
""最近屋企樓下黎左個看更
佢戴眼鏡, 斯斯文文, 仲幾後生
不過佢黎左咁耐, 未見佢笑過
直到有一日佢幫我開門, 順便問左我一句
「咦, 你係中大學生?」
雖然唔清楚佢邊度得黎既消息, 但我都答左句
「係啊」
佢同我講見到我有一日著件中大soc T出黎, 所以估我係中大學生
呢個時候我留意到, 佢居然露出笑容
跟著佢又問我
「有冇上莊啊?」
好老實講, 我冇諗過上莊呢個字眼會由一個看更口中聽到
「冇啊」
雖然我答左冇, 但佢睇起上黎仍然興致勃勃
「咁你邊間書院架? 新定舊?」
當下我都嚇左一跳, 講得出中大有新舊書院應該同中大都有D關係
「我係逸夫, 你好似好熟中大?」
我忍唔出提出疑問
「因為我都係中大畢業架」
雖然我明白職業無分貴賤, 不過我都忍唔著問左句
「點解師兄你畢左業做保安既?」
佢臉色微微一沉, 然後話
「冇啊, 因為我讀數既, 讀完好似冇咩工適合我, 依家做保安多D時間做自己野都唔錯」
佢講完倒抽左一口涼氣, 我都冇再追問, 只係回左一句
「哦…」
跟著佢繼續講佢大學果陣時有幾開心, 話成日走堂同班朋友玩, 又話試過屈蛇比人打蛇, 又話試過開冷氣chok credits, 見佢講到眉飛色舞我都唔忍心打斷佢, 只係輕輕點頭附和
「啊, 唔好意思好似阻著你咁」
當佢講左5分鐘之後先發現好似阻著我
「唔緊要啦, 下次有時間再傾兩句」
最後我用呢句結束對話
我行開幾步回頭望一望佢, 見佢坐落更亭, 打開佢成日睇既一本書, 雖然唔知咩黎, 但個書名大大隻字寫著「Introduction to Topology」""

5）
冇微積分，飯都冇得你食。冇農業機械，冇物流運輸籌劃，冇農藥，冇精確商業經濟規劃，捱貴米啦大家

6）
升大四了，還未試過intern，但數撚說：「不緊要，依家努力讀書考好final，第時有紙你荒（慌）無工？」

結果，數撚克服了一個又一個的考試，讀了PhD；影畢業相時，發覺好多人都有offer，原來大學係識人介紹搵工既好地方。數撚依然一個，但他說：「不緊要，即將係我踏入社會大展拳腳既時候，亦係我幸福生活既開始！」

數撚努力搵工，三年，五年，七年過去了，依然單身。但他終於達成了心願，成為高收入人仕 － 月薪達二萬零五百蚊。

數撚年過三十，開始疑惑：「點解我已經係成功人仕，但仲係無筍工？」更令他驚訝的是，公司不少programmer都月入過五萬，但那些男人可不是學術型喎，例如，Peter只係City畢業既programmer，GPA只有3.2，比自己足足少了0.7！點解？唔係努力讀書成為PhD就有筍工既咩？

不知不覺數撚到了中年，身邊已無什麼朋友，自己渡過一個又一個既搵工季節。

數撚年老了，孤零零一個坐在公園，回想一生：「自己曾得過什麼？筍工是怎麼樣的？和ibanker落bar飲野既滋味係點架？連登人不是經常留帖話：『後生時唔好浪費時間，第時有GPA你荒冇筍工咩！』我照做了，究竟什麼地方出錯？」

7）
""讀完UG, 轉讀應用數學""",[數撚圍爐區] 美國中學教育世界最好 (90)
教到你堆學生assume limit exists in an analysis course啊嘛,[數撚圍爐區] 美國中學教育世界最好 (90)
我打多咗,[數撚圍爐區] 美國中學教育世界最好 (90)
我打多咗,而家DSE係咪真係易過以前？
"以前頭幾屆中文有成5份卷＋SBA
原來而家縮到得返閱讀同作文
連聆聽同oral都冇埋[yipes

取代通識個科又係易過通識
通識真係要學野 係正正常常既考試科目
新個科主要係教d學生愛國
都仲未提而家學生少過以前

好似中文咁成個傾向都係越黎越易
A level既中化最難 跟住係頭幾屆DSE
再去到而家得兩份卷
而家都冇再聽到有人話中文係死亡之卷",而家DSE係咪真係易過以前？
"每一屆考生都會覺得自己果屆最難
講完",而家DSE係咪真係易過以前？
你報次玩下咪知,而家DSE係咪真係易過以前？
"我覺得就算俾我停工一年去考dse
都唔會比以前考得好",而家DSE係咪真係易過以前？
"睇下同咩嘢比
我淨係有研究數學科，就講下數學科
必修數學科嚟講係難咗嘅
M2嗰啲選修數學就易咗


必修數學近年嘅題目係比早年DSE題目難
MC有少少用心去封殺計數機program
早年嘅題目可以用program直出答案， 近年就算要用都可能要代下數字咁
長題都玩多咗四心相關性質， 都係啲相對學生唔太熟嘅嘢

DSE必修數學同會考必修數學比
就一定係DSE難少少
DSE課程闊啲， 同類題目比較都會較會考題目多一層步驟

HKAL無必修數學科
選修數學嚟講就一定難過而家DSE選修數學好多
完全無得比較
一嚟高考讀多一年， 二嚟DSE選修數學無咁受重視， 唔使出咁難都可以拉到curve， 無必要考咁深

DSE選修數學同早年嘅DSE比就係淺咗嘅
課程一路瘋狂cut， 每年只係可能運算量大少少、 煩少少
完全同個難字扯唔上關係",而家DSE係咪真係易過以前？
"做咗中文補習十年
由第一屆跟到最新嗰屆
可以答你第一屆最難，因為無卷可以跟，試卷內容都係最多嘅。",而家DSE係咪真係易過以前？
"是但啦
而家易
入大學要找數",而家DSE係咪真係易過以前？
邏輯謬誤：無卷跟/内容量同難度係兩回事,而家DSE係咪真係易過以前？
邏輯謬誤：無卷跟/内容量同難度係兩回事,[英文台] [秒回] 想問英文嘅入嚟
"早晨
呢排遞咗信返工勁hea 腦細又唔喺公司
屎忽痕想搵啲嘢做下
有關於英文嘢想問嘅話 講低睇下我幫唔幫到手
自己鍾意口語、音韻學，即係香港人唔知點解好崇拜嘅accent嗰啲",[英文台] [秒回] 想問英文嘅入嚟
"你建議點樣學英文？

程度：five guys基本點餐都有困難",[英文台] [秒回] 想問英文嘅入嚟
呢樣嘢性價比好高嘅英文係點講？,[英文台] [秒回] 想問英文嘅入嚟
"香港人口音重到外國人聽唔明
你覺得咁仲要唔要改",[英文台] [秒回] 想問英文嘅入嚟
"定應該屌返佢轉頭
再好似支那人咁 告9佢歧視",[英文台] [秒回] 想問英文嘅入嚟
"有冇話想Focus學邊範?
鍾意睇書、睇片／電影、打機定聽Podcast?
我係immersion派 做自己鍾意嘅嘢，但同時只可以用英文
咁開始個阻礙細之餘，令你放棄個friction又細好多

問題係某個方法我啱啫，喺你身上未必work ，
所以好depends

分享下自己細個點學：
小學英文差到啲功課會俾老師擺喺projector當例子
開始接觸YouTube啲外個channel之後，就好神奇地進步得好快
某部份原因就係因為我真係好想知條片講咩、
有咩咁好笑、啲reference點嚟。
然後慢慢記下啲成日出現嘅字，學校功課又試下用返，
尤其是會不自覺做好多shadowing (跟住條片講返出嚟)，
就係咁練返嚟",[英文台] [秒回] 想問英文嘅入嚟
"最近想改下d pronunciation
因為以前10幾年都聽同講開港式英文

成把聲好flag同埋冇咩intonation
最近上左個course教RP accent

開始注重番發音/輕聲/Word stress果d
但我個口音真係慣左 好自然舒服

反而要提自己用外國accent果陣就要迫自己presentation mode去chok出黎咁 唔可以好自然咁一開口就做到",[英文台] [秒回] 想問英文嘅入嚟
"簡單口語半直譯：It's worth the price
Fancy啲扭花：That's a great deal / What a steal",[英文台] [秒回] 想問英文嘅入嚟
英文詩詞點樣欣賞為之好詩好詩？,[英文台] [秒回] 想問英文嘅入嚟
"咁個問題唔喺口音度，係對方聽唔明
我覺得每個國家嘅人講英文都有自己嘅口音係值得celebrate嘅一件事
呢樣嘢都係大學上堂時好強調嘅一點

事實上香港人口音已經係容易理解嘅一種",[英文台] [秒回] 想問英文嘅入嚟
are you sister??? if brother no talk,[英文台] [秒回] 想問英文嘅入嚟
英美加人聽唔明wo,[英文台] [秒回] 想問英文嘅入嚟
"多謝絲打分享先
呢啲對香港人嚟講都幾typical嘅
香港口音嘅Intonation有個特色就係同一個pattern不斷repeat
廣東話因為個字本身俾咗個音調，所以唔多使喺抑揚頓挫上面花心思
（唔係冇，只係普通講嘢時少）

可以試下放返慢個步伐先，唔使迫自己好快做到好natural
你有意識到自己邊啲位要注意已經好大Progress
建議試下shadowing 睇電影或者一啲清談類嘅片
人講一句你講一句，每次focus一樣嘢，慢慢疊加上去",[英文台] [秒回] 想問英文嘅入嚟
"wow 巴打 唔怕同你講
其實學咗咁多年都唔係好識

有好多方面睇嘅 講緊唔係新詩嗰啲啦
詩可以用嘅字唔多，所以喺最concise嘅情況下，又可以清楚咁描繪到個畫面同感受，我自己覺得咁呢位詩人一定功力深厚。

選字應該要係一個好花心神嘅過程，
如果唔係Instagram啲emo caption有咩分別？

節奏同音韻喺詩入面都好緊要；
韻律看似好表面，但可以用嚟營造首詩想表達嘅感情、張力，
有時甚至佢點斷句分行都可以係表達工具。

睇詩通常都會問呢啲問題
「點解同一個意思下，要用呢隻字唔用第二隻呢?」
「點解呢度用冒號唔用句號?」
「點解會重複咗呢隻字? 強調緊啲乜?」

利申我都淨係讀咗兩個關於詩嘅course
我自己其實對文學分析不抱太大好感",[英文台] [秒回] 想問英文嘅入嚟
I'm sis la,[英文台] [秒回] 想問英文嘅入嚟
"sor 唔夠specific
我意思係語言係攞嚟溝通，人地聽唔明唔係要執口音，
係執其他嘢
發音係口音其中一部份冇錯，但你可以係有香港口音得嚟發音正確

經驗話我聽通常對方聽唔明嘅最大原因係用錯字同grammar",[英文台] [秒回] 想問英文嘅入嚟
"Grammar 好差

唔知點樣有組織地補救",[英文台] [秒回] 想問英文嘅入嚟
