参数1_文本,参数2_文本,参数3_文本,参数4_文本,参数5_文本,参数6_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
駛唔駛reg埋去exchange嗰個sem啲科？,🍩,thx🙏🏻,🍉,要，去得成會自動幫你drop,🍩,之前聽講過有人臨時去唔到exchange，淨係可以喺add/drop時揀淨低啲科，咁應唔應該reg定先？,1,3,,,,,
🌬,🐘,pm唔到， 可以send CV to chloe@lumivoce.org,🎉,Pm!,😁,Pm🙏,1,4,,,揾Project officer,,
有冇人試過校外考ielts用到promo code,😉,明白 唔該曬🙏🏻,🤐,會直接入落你銀行戶口,🤐,用唔到的 但你考完之後有6.0或以上嘅話 入返落banner system 有個位叫Submission of IELTS Results from Test Centres Outside Lingnan University 隔一兩個禮拜就會入返千四左右畀你,4,,,,,,
Reg 科 system 愈改愈廢,各位早晨啊,Lingu同個行attributes一樣咁冇用,各位早晨啊,On9到整走曬啲有用嘅嘢,各位早晨啊,做埋啲無謂嘢,3,10,,,,,
依家係咪變返兩年必宿,🍷,唔會畢唔到，仲可以慳返幾皮野👻,👶,建議打去registry問哦,,,,,5,16,,,
cld9015冇exam？,🌭,有,,,,,,,,,,1,1
嶺大校園社區委員會,🐎,su自搞博會眾同情？,🐎,原來又係lusu自編自導 attention seeker？,🐎,Followers得7x 逐個stalk諗住搵邊班人搞,2,28,,,,,
韓鵬誤人子弟，返計量教書把啦,🍰,qs 600幾wt u expect,😁,真心韓鵬 hea又廢但有人撐，吹咩？,,,,,1,2,,,
新Reg科 聖經 希望大家可以幫手發表意見：）,😆,"Important Dates出咗, 7月25開始reg, 所以最好25號前就出到",🦄,應該reg科前出到會好啲,Wowwwwww,想問幾時reg 科？,6,49,,,,,
係咪仲未出sem 2 冷氣費？,🍧,係banner睇efee notes啦,🐞,我check outlook + portal 都冇⋯⋯,👧,今日啱啱出左,1,6,,,,,
想minor history有冇咩course推薦🙏,🐽,但都想睇下有冇其他推薦嘅course,🐽,比較有興趣ge，目前係日本史、Early China，仲有一科係講動畫同漫畫嘅（3字頭）,☺️,冇有興趣ge科嗎,2,5,,,,,
有冇人放文院畢業袍🙏🏻,👼,Hi,Matchachoco,Pm,😿,Pm,1,7,,,,,
Bus 2202 OB,Hahahahaaa,有冇人未有組？,,,,,,,,,,1,1
有無人都係無pre reg,🍭,study plan有lock到不過遲左lock 到依家都無pre reg😵唔知關唔關事😵,,,,,,,,,,1,
￼求文院畢業袍,🙂,有冇人放二手袍？,,,,,,,,,,1,1
appeal會唔會down grade？,🐂,係會有機會跌grade，appeal嗰陣remarks有寫,thvgf,中*,thvgf,唔會，我已經俾咗$200，一模一樣嘅Grade，其實自己清楚個成績係咩水平就OK，比自己以外之仲低分一定就係exam失手～🥺,1,19,,,,,
Tran科一問,🙌,其實建議自己google/mail dept😅,🙌,📷,,,,,2,7,,,
Scholarship,🐝,有啲scholarship7月中先入數,🐒,Thank you letter 都交咗好耐,🐒,差一個 係咪應該email問下佢？🥲,1,5,,,,,
放social畢業袍,🍂,Tick Your Gown?,🍣,up,🍣,M碼 150 有意pm,1,3,,,,,
幾時可以reg下個sem？,🌬,已經pre reg咗啦喎ching 之前應該已經見過advisor填咗study plan 呢個plan就係自動幫你pre reg啲啱timetable嘅course,😺,幾時pre reg…😵,🌬,pre reg之後仲可以自己reg多次 大概七月尾到 等出email先知幾號 reg完之後八月尾再add drop,2,8,,,,,
LUE3004有冇用？,🙎,回頭是岸，就算睇唔開走去reg都唔好reg Samy教嘅section,😗,Btw 如果你真係想reg建議sem 2先reg，因為sem 1 開始會改assignment 評分,😗,建議操卷會比較好，唔好expect上完3004後一定會有overall 7，如果你英文底唔好呢科更有可能爛grade,2,12,,,,,
想問sosci有冇啲同社工有關嘅course？,🐭,Soc嗰邊嘅歐陽達初本身係社工，佢好似有教NGO相關嘅course,🍤,佢以前係social worker,🍤,可以搵tat chor,1,7,,,,,
8013兩個section係可以唔同professor ?,😀,Ok thanks🙏🏻,🐞,個分有問題可以直接問tutor,🐞,應該都係tutor改asm 統一畀分標準 改好出分嘅時候會moodle講,1,12,,,,,
GPA再好都冇用...,🍙,今年grad?,🐃,今年畢業？ 定係仲有時間先？,😢,咁係你太廢,1,20,,,,,
lue4001 可以入紙嗎,😀,yr4想sem2讀 但心儀section冇位 驚adddrop period都reg唔到 如果真係reg唔到可以入紙嗎,,,,,,,,,,1,1
Pre reg得Lec?,🤒,好肯定有tut嘅pre reg得lec係咪正常? 正常唔係lec同tut時間都冇衝突先會同你pre reg㗎咩? 定係係tut時間未定,,,,,,,,,,1,1
富途校園大使一問,🍬,一年期chur你跑數但俾盡得五千你(我估其實應該得三千)😂你自己諗下啦,😓,有冇人之前參加過？  仲未搵到intern 想報住拎經驗先😵‍💫,,,,,1,2,,,
想問下有冇pt 介紹🙇🏻‍♀️,🐳,侍應,😪,大學生可以試下做補習呀 小學補習  補習網好似tutorDuck嗰啲跳舞運動Ok，做導師教 ？,🐨,7仔,1,4,,,,,
fg marketing assistant市價幾錢,🙈,15k,🍠,16000,🍝,20k,1,4,,,,,
放雪櫃 $200,🐘,想問仲有冇？,👶,新宿 自取,👶,https://t.me/Sbbb382802123,1,4,,,,,
lingu每年有幾多fg做到big4 audit,嶺大之癲,師兄介唔介意講下自己咩offer 🫡 好似好撚把炮咁,嶺大之癲,audit狗？,👼,笑死 我都想知,4,84,,,,,
暑sem Poker♣️ 要人!!,🕴,打1/2 多,🍐,All in,😋,Which hall,4,,,,,,
有無人可以幫手做it test part b,🐶,Ok,🐴,Do you wanna exchange tg?,🐴,I have replied to you,1,18,,,,,
雪糕都偷來食？,🦃,Nds走哂弓🤡,🦃,應該係local/exchange,,,,,6,13,,,
IELTS notes 加補習,😁,老鼠同貓,🐀,又有乞衣出現了,😸,未fulfil 到 grad requirement 都吾洗驚，我地可以幫到你 speaking: 8 Reading: 8 Listening: 7.5,1,3,,,,,
有冇人做緊AO/EO?,🐍,有又點 無又點,🍊,ao咁多年先得一個 仲要十幾年前😂 今年唔知有冇人做到第二人呢👀,,,,,1,2,,,
今年grad cgpa,🐤,3.06 耶！🤚🏻,💂,文院,🙃,你讀咩,1,39,,,,,
2023--24 Sem1 一齊去維也納~,🌻,Tg：Ellwlq4990🎀🎀🎀,,,,,,,,,,1,1
想了解Chi2115大家咩grade,peaheyyoce,A-,🐶,A- 應該論文拉高咗,⛑,lecture 突發tick過兩次,2,19,,,,,
$150賣ielts notes 包教學影片,😟,乞衣仔幾時死,🌲,Pm,⛹,Pm me🙏🏻,2,11,,,,,
求Bus2108 essay代做🙏🏻,Hihi0000,Pm?,🍟,Steve好人手鬆,諗唔到點算,Shing TONG,1,6,,,,,
係咪grade inflation？,🐙,真,🌮,依家有3.6就唔洗愁了🫠,🌮,係我以後就算每個sem都over 3.9 grad個陣先到3.6,1,31,,,,,
LCC2210 LI Fei,🍨,👍👍👍👍,🍒,中文系 A咗,🍨,中文系想刷下分😂,1,9,,,,,
有科f咗點算…,🐉,你咪summer讀返 再唔係咪defer一個sem retake🤪,🐉,你自己一堂都唔上  F左都抵死姐,🍃,其實係 不過人哋一句情緒問題你都冇佢乎😌,1,34,,,,,
有冇讀過lcc 2210/lcc 2220同學分享下,🍹,有冇ching放舊書,🐣,2210李斐教，輕鬆靚grade,🍢,垃圾科,1,3,,,,,
year 1想問吓dean list即係點 🙇‍♂️,😋,有排等🥲,😈,email通常一月或二月先收到,😈,八月尾個陣個app都睇到,1,15,,,,,
BUS 1102,🐶,我都C-,🐍,A,🍛,我C-,1,4,,,,,
幾時reg科,🐟,上年26-28/7 reg 正路都係咁上下時間,🦃,有pre-reg呢樣嘢… 最多無dayoff,🐸,驚嗰陣搭緊飛機🥹,1,7,,,,,
year4未搵工,🌳,啃下老先😁,👽,已經返左一個星期,🌲,無 等錢使,1,4,,,,,
中文First hon,🍠,如果真係差少少(0.01-2)，同prof熟嘅都仲有機,🍢,3.5,🍚,想問吓係咪3.4x都唔夠？一定要3.5 above? Thx！,1,3,,,,,
有冇咩刷分科推薦,🐼,Agree,🍊,Eng 3009 多啲答問題 認真上堂就得 我之前所有assessment既分只係過左全班平均分少少，最後都有A-,😨,利申英文一般 上堂教嘅嘢淨係聽得明三成 但都有b+,3,12,,,,,
有無人仲未收到獎學金錢？,😅,我都差一個未收到🫠,🍣,Me,,,,,1,2,,,
交換course material,🐵,可放course material:HST1114 Introduction to European History HST1151 History of Modern East AsiaHST2258 Introduction to Japanese History HST3399K History of Tang ChinaHST3399L History of Taiwan HST3399W History of East Asia to 1800GOV3106 Small States in World PoliticsGOV3201 Government and Politics of Contem ChinaGOV3215 Taiwan:Politics and Society SOC3212 Hong Kong Society CLA9007 Creative Industries CLC9014 Hong Kong Civil Service CLD9017 Ecology SciEnvironmental Issues CLE9024 Democracy vs Dictatorship,我都唔知arrrr,想換，pm plzzzz,,,,,4,21,,,
chi4343 grade,🌞,想問下你係邊位老師教 🙏🏻,👿,A-,🌞,想知大家咩龜🥹🥹係咪得我一個比人kill 左,1,3,,,,,
6月6啦，仲未有正式grade 睇,🐸,你傻撚左啊 我講左啲咩踩到你條尾啊,⛹,咁你咪好撚叻,🐸,我六科一早已經early grade出曬啦😂,2,10,,,,,
‘I’ grade即係點？,🍮,可以掛 我未試過有i,🌯,使唔使問吓prof點解未出grade😟？我係fm唔識點做,🍮,"Grade I is a temporary grade which indicates that the course work or examination has not been completed for reasons acceptable to both the teacher and the Board of Examiners concerned. The assessment should be completed within four weeks after official release of the preliminary assessment results, and the grade I will be converted to a final grade which includes all assessment marks; otherwise, the grade I will be converted to grade F. The final grade will be used in the calculation of grade point averages",1,3,,,,,
有無推薦嘅mkt course？,🕵,present/ 4000 words individual essay or buy ebook做excercise/ exam/ attendance rate 10%,😹,可唔可以大概講下要做咩？,😹,可唔可以大概講下要做咩？你咩grade啊？,2,13,,,,,
LSIP allowance 洗唔洗特別申請？,🌼,係,😆,Allowance係咪淨係for 本身冇錢嘅工？,🌼,想問點收錢,1,3,,,,,
兩女hall D 想調 hall F ￼,一陣食咩好,一女can?,🍄,兩女hf調 hd,,,,,2,21,,,
招暑sem雀友,sorhihihi,PM,🙉,hello hello 你住咩hall gaa??,sorhihihi,pm,1,6,,,,,
有冇人知道 early grade ：I 係咩意思？,🍒,要email professor問下,🍒,incomplete,,,,,1,2,,,
大家對法國有關酒既intern點睇？,👦,Hii~,來咯,Pmpm,👦,我都想join 要唔要pm傾下？🫡,1,16,,,,,
招Hall F雀腳,👱,今晚mj -2有意pm,,,,,,,,,,1,1
Translation 一定要3.5先first hon到？,😿,恭喜你！,🌞,唔係，我3.48 first hon,😿,師兄姐畀啲意見，唔該~,3,34,,,,,
BUS1103 大家咩Grade,🍨,C+,🐡,A,⛹,慘淡,1,3,,,,,
Chi 3209大家咩grade,🐖,no me a,🕵,大家都係A-???,😗,A-,1,6,,,,,
Local 讀唔讀得￼LCC 啲廣東話course,🍜,咁你係咪non native？自己答到自己啦,👼,Ok thx 🥲,🍈,係,1,4,,,,,
冇online transcript,🐢,Tysm🙏🏻,👱,係degree works download PDF都有grade,😰,唯有下份囉😢,1,6,,,,,
想搵Hall F暑hall buddy!,😵,Pm,🍁,你好,😵,Hi 我是樓豬,1,3,,,,,
放summer sem女hall位,🙎,想了解下,🍔,會搵osa approve pm？,🍶,好奇點放 張卡都拍唔到入hall🤔,1,11,,,,,
两男想由Hall D換Hall F,😞,有意pm,,,,,,,,,,1,1
HIST Grace Chou好唔好,天水圍林宥嘉,人好 但係真係小kill,🎄,好好嘅,,,,,1,8,,,
Dean list 幾時可以申請？,🍧,I seeThank you all,😁,Cv好睇啲,🐯,食餐免費飯仔 算係咁,2,8,,,,,
Chi 2114你哋咩grade?,🐘,A-,🍺,C+,💂,偉中好唔好人,2,8,,,,,
唔過3 grad可以點部署,shahaj,番嘀弱智工过吾过三都无所谓吧,😂,Third Hon畢業都搵到工,🐦,🤭,1,18,,,,,
lue3004 on 9？,🍬,樓主攞咩,😄,個人醒啲應該有,🐦,點先有B+？,1,3,,,,,
2211 出grade未🤪,Se777,我都係🥹🥹🙏,🐟,OM未出，求GPA God保佑我,,,,,3,2,,,
Quit u,🐑,會,😁,弱智黎讀應該都唔會咁廢😭,🐚,抵死😁,1,4,,,,,
成個月返唔到學校上堂,😷,翻＊,😷,嗰陣2個星期冇飯學,😷,Recording真係老師好人先肯upload,2,7,,,,,
Tran最好老師,🍛,Ivan 偏心 想講係睇人比grade,🍶,Ivan派,🌱,支持Isaac,1,4,,,,,
Tra sci tech grade,👿,喺佢手上攞A range 係咪好難🥹🥹😅😅,👿,大家咩grade,,,,,1,2,,,
有冇人6.6一齊返北角物流署行政部？,🌾,Push,🌾,Push,🌾,Push,1,4,,,,,
有冇hall F一男想調hall E 重酬🙏🙏￼￼￼,,,,,,,,,,,,,
下年hall waiting list,Hahhh,9月7收到的 學校會打電話比你,🐝,想問上年有冇人入咗hall waiting list? 你地幾時收到offer?,,,,,1,2,,,
放暑Hall E 5樓,🎉,helloo pm 👀有機會可以俾到成間房啊啊啊,🌷,Pm,🎉,請問有意嗎,1,18,,,,,
幾時派grade,🍤,日日開個lu app睇下有冇囉😂,💩,☹️ 咁好心做咩，俾樓主試吓 google function 都好啊嘛,🌵,係email搵到ge🤣,1,15,,,,,
幾時有得appeal啲功課？,🐃,照計啲asm出咗分你有疑問嘅可隨時email問 appeal就要到正式出grade嗰日,,,,,,,,,,1,1
🐉,😆,鳩讀都A-嘅路過利申Paul教,🙇,垃圾paul,,,,,16,26,有無人讀global bus比tang wing kin教過,,
Quit u 或者被quit,🌛,未滿十八要人簽名,🙉,Ching發生咩事?,,,,,1,6,,,
sem 2 S-L fulfillment,🐻,唔通交完份嘢就即刻fulfill咩,🐻,急條毛,🦄,grade都未出 急咩,2,5,,,,,
🍯,,,,,,,,,,,Morality邊個prof無咁伏？,,
😟,😟,西裝靚佬,😀,肥佬 定 大隻佬😂,,,,,5,10,Morality咁多點溫呀,,
quit u reju一事,🌝,係咪出咗gpa再轉系,🌝,"我驚我gpa低,department唔收",,,,,2,10,,,
想問有冇同學比人捉到用ChatGPT交功課?￼,🐵,有输过没怕过 该你从我该边下爬过,🐝,下世再努力,🐝,沒了,1,8,,,,,
有冇人嚟緊要返shinewing intern?,🎉,我,,,,,,,,,,1,1
Wang Chongwei教嘅大家 咩grade？,🍸,讀佢CLC靚grade喎 雖然真係冇guidelines,😨,條友好撚廢 email都唔識覆,,,,,1,29,,,
👻,🍭,唔好,😝,係呀唔使客氣😉,,,,,18,28,Lcc Fei Li好唔好？,,
有冇英文系同學仔想一齊報CELTA,🙉,Gpex黎緊開個7月full time course，出左個package係2人同行15k，原本就19k，我想搵人同我夾啊😭我本身幫人補習補緊250-300/hr，讀完可以再抬個價不過本身英文要好，同埋要做份卷同interview先報到，有興趣嘅人pm我啦🙏🏻,,,,,,,,,,1,1
李波 assignment 分數,🐅,他經常派 B range,,,,,,,,,,1,2
Eco4203 applied econometrics,🍣,有冇人讀過呢科，難唔難讀🙇🏻‍♂️,,,,,,,,,,1,1
出售雪櫃,🙊,500。暫時有個同學hold起咗，如果到時佢唔啱會再同大家講。Thank you!!,,,,,,,,,,1,13
放雪櫃,🍯,pm,🍮,仲有冇?,,,,,1,15,,,
放雪櫃,,,,,,,,,,,,,
李波手鬆定緊,😬,唔識做final,🀄,Final好難,,,,,4,,,,
李波,,,,,,,,,,,,,
放雪櫃,🐬,急放，呢幾日可以交收$100比你🙇🏻‍♀️,🐬,有意dm,🐬,29號前交收，因為29 quite hall,1,7,,,,,
黎緊fyp請槍,🙌,請你老母枝加特林,🙆,可pm我,😹,"專業學術論文 功課 Online考試代做服務Easy Essay HK係專門為香港大專/大學學生提供功課、論文、考試專業代做服務。我哋嘅特色：- 大量不同科目導師，冷門科都有得做！- 接受急單，為急切需要服務的顧客提供最快的服務- 交貨速度快，一般文章可數小時內完成- 高質素保證，導師具多年經驗，靚Grade冇難度- 免費修改，每份作品均可享有合理程度範圍內的免費修改服務- 每份功課均附設免費Turnitin Report, 保證最低Similarity- 專人服務，以最快的時間回覆客人信息- 悉心指導，其他學術/升學問題均可免費諮詢我哋嘅導師畢業自各個大學，來自唔同科目，多年經驗，專心用心對待每份功課👍🏻Online考試代做服務- 科目不限，Online考試冇難度👍🏻- 團隊人數多，保證每個日期時間均能提供服務- 高質素保證，每份考試平均由兩位導師同時指導- 交卷時間快，等你有更多嘅時間去整理答案👍🏻**本店不設任何實體考試代做服務**即刻聯絡我哋啦！WhatsApp: https://wa.me/15183193559Telegram: https://t.me/easyessayhk",1,7,,,,,
放LUE 3002書,🎂,放二手實體書  $190寫好曬答案，唔怕被抽問 可以谷Participation,唔撚識改啊,仲有冇🙏🏻,😏,有,1,10,,,,,
暑sem hall D 一男想調hall f,🐅,Push,🐅,Push,,,,,1,7,,,
有冇人下個sem去exchange好驚整唔切visa,👸,我諗未到八月頭都無咩消息,🐇,加一  未收倒嘢 就未apply得visa,🍙,我上sem去 4月交 9月先收到,1,17,,,,,
放IELTS高分自學電子資源,🙉,放IELTS高分自學電子資源入面有由1997年開始嘅IELTS Past Paper四卷連官方答案，一共15份Listening Recording都有齊另加精選題目分析、練習，同埋其他坊間練習書我自學都係靠呢堆攞到8分🙈會用Google Drive形式Send俾你可以DM攞Sample!價錢：$140有意請pm😆,,,,,,,,,,1,1
五月泰國Mahidol,🐹,你唔試嘅話乜都冇😂,🐹,可以試,🐣,淨翻幾日,2,59,,,,,
想問吓如果我Miss咗個MT 會唔會有機會可以補返￼,🌶,我試過有得補,🌞,依家都開學一個月啦,,,,,1,9,,,
☠,🐒,2020 post,,,,,,,,,Yr1無考到Delta點算...,5,43
🌜,😳,+3,😈,+2,,,,,8,8,有冇人試過走Delta,,
暑sem credit,🍸,兩個section加埋,🐣,想問佢係session 1/2 最多6 credits定兩個session加埋最多只可6 credits?如果想讀多啲 cre 通常申請佢批唔批？,,,,,1,3,,,
暑sem,🐱,三月左右 no study plan needed,😪,幾時先有得reg? 使唔使寫study plan?,,,,,1,3,,,
HallF暑semRM相認下,🍵,310,🐈,614 dm pls～,😗,512👧🏻,2,18,,,,,
轉科￼想轉Translate￼ GPA要幾多￼🧐,🍉,仲老作時間，好聲好氣提佢，佢話我唔會改要改你自己改🤣我同臭 G講老作係唔得嘅，時間証人，我就話個時間你自己老作同 email record唔同，你有事自己負責。佢立即縮同改！佢好 cheap九流typical rubbish mainlander呃鐘自己冇料， hea ， kill完全冇責任感叫你用百度作 FYP,🍉,"FYP， Luo Wenyan 臭閪成撚日甩底，呃鐘臭老G,毫無悔意責任感，九流大劣 G出身，無 common sense",😵,tangkinling hea底 未到好爛龜 但唔會學到野sterk 同luo wenyan建議唔好reg🙏,2,47,,,,,
有冇住暑sem嘅新宿同學仔？,😲,有興趣嘅話可以PM我，多啲人可以book一架大車,😲,幾點都可以，大家可以一齊夾下時間,🀄,幾點？,1,8,,,,,
IELTS 提醒￼,🐁,賣ielts PDF notes 大量高分sample，教學影片（大約19hrs），靠佢先拎到7分,😨,蛤 原來成兩千幾蚊,🙈,唔洗,2,21,,,,,
有無ching IELTS未考🥹,🐙,賣ielts PDF notes 大量高分sample，教學影片（大約19hrs），靠佢先拎到7分,🌺,係,🍌,Ohh謝謝！18號前考到，都係可以計今年畢業的嗎💗🙏,3,7,,,,,
SEK G02又漏八達通,🌹,📷,🌹,自行認領,,,,,1,2,,,
成日留言「我daddy買既」個位手足，入一入黎,🕵,咁叫返手畜,🦂,咪阿豬阿狗都叫手足,,,,,1,6,,,
Hall e 一女想去Hall G/H,😐,hi pm？,👦,push,,,,,1,3,,,
Hall h,😋,有無hall h 人相認下,😯,搭單,,,,,1,7,,,
急！！聽日退宿想超平放雪櫃 有冇人要,😰,趕唔切放所以我擺咗喺Hall G 一樓度 大家啱用嘅可以去睇睇🙏,😰,兩個都有,😀,細雪櫃定大雪櫃？,1,5,,,,,
⛄️,🕴,仲有？,🙊,普通細雪櫃上面有個小冰格🙏🏻🙏🏻,🦄,另外想問吓雪櫃係幾大？,1,5,,,放雪櫃 電磁爐,,
EY grad program nominations,🐅,之前叫大家填個excel 果啲,,,,,,,,,,1,23
Deloitte Tax Championship,🦀,有興趣join嘅 可以pm傾下Thx~,,,,,,,,,,1,3
有冇21 Fg Big4 D記嘅相認下？,🐿,有冇22 grad D記相認😂,,,,,,,,,,2,5
Big4 intern,🎍,hope so la haha~ also wish u gd luck ching!!!,,,,,,,,,,8,
點解英文系quit莊個caption咁開心？,🍹,SU撈唔掂學人起莊 lol,🙇,成支莊都麒麟怪怪架啦,💃,想聽下,1,8,,,,,
Dean list dinner,🐿,yes,🐿,魚好吃,🌹,Very delicious😂,1,29,,,,,
🌜,🙄,push,🌚,push,🙄,push,1,16,,,兩男hall f 想調去hall d（summer  )重酬,,
Translate 邊個最廢,🐗,真,🌮,真,🌹,珍,1,3,,,,,
放細飯煲同水壼,😃,幫推~~希望樓主放出嘅物品有同學接收！！🫶🏼🫶🏼假如最後仍然有剩餘物品未能放出，不妨考慮畀最近新宿搞嘅二手物品中轉站，畀之後入宿嘅同學帶走，就唔洗怕嘥啦~IG: https://instagram.com/such_awaste,😾,有意dm🙌🏻,,,,,1,2,,,
法唔法國Fencing Nelson 好臭串,😕,禾嶺hehe真多,🍇,人地想你改善下姐,🐃,我幫佢含嘅時候，會串鳩我，嫌我含撚技術差,1,6,,,,,
幾時出grad,thvgf,是,🐈,7月,☠,5月29？,1,6,,,,,
有無人知lue4001 係咪改咗cut off？🥹,🙋,Thanks！~,🐥,唔該晒🙏🏻🙏🏻 祝你過3爆4🥹,🍦,📷,1,4,,,,,
放雪櫃,🐶,Dm,🐂,pm,🐞,放雙層雪櫃，$300有意dm，可即日交收,1,3,,,,,
BUS2211🥲,Luis07,😹😹我都係,🎍,拉curve，唔駛擔心,🎍,Midterm average咁低,2,9,,,,,
有冇人exchange 緊想去北歐或者瑞士旅行😗😗,🍆,完左sem 想搵人一齊去歐遊 有意pm,,,,,,,,,,1,1
暑sem hall d一男想調hall f,🍇,師兄有方法調hall?,Lmeow,pm,🐕,pm,1,6,,,,,
D係要幾多分,🍆,真係？,🍤,40,🙉,有啲少擔心其中一科,1,3,,,,,
放￼雪櫃,😉,請問個雪櫃有幾大,,,,,,,,,,1,1
"放小雪櫃, 有冰格",🦁,push,🦁,I pm you,再見了我的,pm,1,6,,,,,
