参数1_文本,参数2_文本,参数3_文本,参数4_文本,参数5_文本,参数6_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
Social Science 最地獄科目,😐,佢有d 要supported with policy or case studies，我唔覺得佢啲notes有足夠嘅例子,鏡仔,佢上堂個啲footnotes 都係reading copy 出黎,鏡仔,reading 唔係合格嘅係條件,1,34,,,,,
OU張敬軒討論區,🙀,完全唔似軒公,☠,係咪想講個個南南定男男,🍏,襯,18,28,,,,,
ECONA322F 苦主討論區,理撚得我,政政本來已經唔多人，陣間畢業禮得幾個人就好笑,鏡仔,有聽書，有做exercise 唔會炒,鏡仔,份卷其他叫做簡單,3,37,,,,,
☺️,🤐,叉燒2件,😡,需要mental 人兩位🙏,,,,,1,2,NURSN410F FYP爭兩件,,
學校邊個地方開24小時？,🍫,Jc地下canteen對面,🍎,其實日本房係邊😂,Kikidouluvme,jc日本房24h開,5,,,,,,
BN19 FYP差四個靚仔靚女🫶🏻,🍚,Pm me,😳,me,😨,🙋🏻‍♀️,2,6,,,,,
Act 332 同 313,🍲,🥲,😭,past paper系library果d?,😭,mabel,1,9,,,,,
313捨得出龜未,🤔,🥲,Kimbap,398 business strategy未出,🎄,380捨得出龜未,1,7,,,,,
🌼,😁,Kokoro,😡,Kick,😫,Nick,140,1082,,,"人挽接龍我挽接龍,不過我挽英文既",,
TUNs冇比人續約係咩事。。。,🐣,5月唔會再派？,🌹,HR淨係會通知要還staff id card,🌹,HR唔會打電話 睇下個經理想唔想俾你知你點死 未必會有通知個個都派左信續約 你冇就知係你冇約續,3,17,,,,,
214 Ocas,🀄,omg，一分都唔幫你拉😨？,🀄,點解MU咁中意fail人？🙄,,,,,1,5,,,
N231F,🍚,同求,🎈,會唔會有人有🥲,🎈,反而想要pastpaper多啲🥲🥲,1,5,,,,,
😆,🌝,英文無3 唔收😢,😇,Need self book a,,,,,1,15,有冇人報左UCD ireland exchange？,,
係NDH更衣室執到TUNS同學嘅學生證 麻煩入嚟認領返,😬,hello!,🌛,📷,🌛,王 Y* L** 同學 我嘅朋友仔係NDH嘅更衣室執到你張學生證 見到麻煩DM搵返我 thxxx,3,,,,,,
有冇ching願意share 向健康出發tips,細路,有之前take home assignment 嘅卷，要？,,,,,,,,,,1,1
Gen A209 music production,😈,想知呢科多唔多asm？有冇exam？🙏🏻,🍙,但係聽日要present 即係點都要聽日做完,,,,,2,8,,,
☠,🐇,Push,🌸,想問下 A120CF粵劇同N108F 猜情尋有冇test exam 同asm有幾多同做咩 唔該晒大家🥹🙏🏻,,,,,2,2,暑sem gen,,
第二輪tuns offer,🍥,NTEC,GuesswhoamI,收到HKEC,🙏,Kcc,1,7,,,,,
有冇人AT AOM 要2nd attempt?,🌝,2nd attempt pass返👌🏻,🕵,好驚次次都fail..,,,,,1,2,,,
N227 mental 有冇tips🥲🥲🥲,🐰,Kwan sir,🐰,咁可唔可以分享下？🙏,🌷,想知今年邊個教 又係WY Li?,2,6,,,,,
護士衫幾耐洗一次,🍝,如果唔係好易黃,🍝,但小心唔好開太濃/浸太耐,🍝,漂白水 too,2,25,,,,,
Tuns 2023 offer一問,🍏,冇,🌱,有冇人知收唔到offer有冇電話可以打去問依家係咪派哂㗎啦,,,,,1,2,,,
代做nursing功課,🍡,攞B就唔洗代做啦😂,🍑,Well said,🙆,讀nursing 連功課都唔做學咩讀nursing🤔,2,4,,,,,
Liu tai wa嘅工作能力真係好worse,🎉,Course evaluation 填哂極不同意👎,🎉,投訴啦 一日唔投訴個老油條就繼續害人,🐖,成個mental department 的人，能力都不足,5,9,,,,,
Social Science courses 平價功課代做,芝麻仁沒有一個是蘑菇的,Pm唔到你 你pm我？,芝麻仁沒有一個是蘑菇的,你好，有興趣,🙊,功課代做，保證A-B range，有意pm洽談,2,3,,,,,
有冇人拎過ops個四萬,🍣,想問吓係咪nominate咗就一定有？4月出通知嘅話幾時會收到錢,,,,,,,,,,1,1
有冇人5月14日 西班牙gip,😓,搵人搭飛機,,,,,,,,,,2,1
有無人試過邊出CP邊考試,🐲,其實根本係學校安排得差 人地Poly 都唔係咁,😳,依家應該好多人都係咁,😘,🫂🫂🥲,2,11,,,,,
email話我唔夠attendance，所以會點😣,🍓,有啲人又話畢業nursing council check先知夠唔夠80%，唔夠要遲畢業🥲,🍓,想知係咪唔夠80%就即刻會收到cc email🥹自己計過唔夠但冇收到通知,😑,上個sem?定已經好奈之前嘅sem,1,6,,,,,
等你唔使咁煩：分享補習練習&notes,🐀,pm pls,😛,Pm plz,🍇,pm pls🙏🏻,10,139,,,,,
有冇人報左bloom of youth嘅internship,🐅,傻的嗎 貼錢打工,,,,,,,,,,1,1
OU學生上堂無法準時的理由,🎈,咪撚理佢咪得 見一個sem分分鐘呢世都見唔返 咁care佢點睇做乜,🦃,🤣🤣🤣🤣🤣,,,,,5,13,,,
212 care plan 🔥🔥🔥🔥,🐶,遇到Cathy就自己執生，佢自未睇最updated APA style 就用舊個套話人地錯格式,🐶,Risk的嘢排最後，因為未發生,🐶,根據人的5個需要來排,1,6,,,,,
跪求N310F pastpaper,🐣,有冇人tritake,🐣,已經準備好retake,👧,有冇師兄姐會有310 test pp🙏🏻🙏🏻,3,3,,,,,
B166CF 翻轉KOL教室,🙍,準則就係依次序遞減給分內地生，女學生，狗，男學生,🍺,完全唔知佢準則係乜,👨,狗公Kenny,1,7,,,,,
BN19 clinical hours,🌽,1400,🍖,有冇人知今年nursing year 4(BN19)係唔係都係1200hours定計返1400,,,,,1,2,,,
現家take attendance係咪冇左位置要求？,🐑,Thank you ching,🐯,學生唔會有分別，但地圖上老師唔會見到學生位置，人名表上會見到個學生個行有句Check user location,🐑,拎唔到位置既畫面係點,4,14,,,,,
2023grad 嘅nursing學生做咗幾耐無薪勞工？,🍁,？,🍩,純粹想知有幾多比Yobie 撚嘅慘人😂,,,,,1,2,,,
有冇人係ioh 5樓女廁執到個鬆弛熊散子包🙏,🍺,冇貴重嘢 唔該唒🙏,🍺,唔該🙏😭😭😭,🐛,入面應該無貴重野？,1,9,,,,,
大家soci a220f 嘅presentation有幾分,🙁,我識一個人好多科A 但係呢科B-,🙌,係咯 個grade好低 GPA一下子俾呢科拉低左😇,🙁,呢科伏到喊,1,3,,,,,
Tarot 占卜🔮,👺,31/1 MC 9/F 12-1pm,,,,,,,,,,1,1
⛄️,🐯,"政府俾1皮野你, 但係一定要用黎去study tour, 冇得折現",🐯,Reaching out awards,⛹,點先有得去㗎,1,7,,,Nursing study tour,,
233 美食商機想Swap class,🐎,T02 星期六11-1可以唔洗咁早起🙌🏻,🐎,T02想swap T01有冇人想換？,,,,,1,2,,,
SU市集,🌼,係咪就係mc門口嗰張枱,👵,SU淨係識搞啲唔等使嘅嘢，又少人行on99,,,,,1,2,,,
305 event fail 咗,🍺,究竟exam有幾差先會fail,😺,OCAS差唔多70分Exam衰咗都要我retake係咪真係冇救,,,,,2,2,,,
幼教師姐師兄有冇去過特殊學校實習？,👴,今年year4實習申請咗去特殊學校，但聽講好難先派得中….想問下有冇人之前去過？對特殊教育好有興趣🥺所以好想試下,,,,,,,,,,2,1
招 Nur soc sketchers鞋卷！🥹,🐩,開始上demo都仲未有 唔知點解nursoc要等咁耐…,😸,Pm,🍚,$450收？,3,12,,,,,
ECON A322F swap class,,,,,,,,,,,,,
TRAN A343F swap T01,🍰,T02想swap T01,,,,,,,,,,1,2
BUS B368F swap,🐜,T14想swap T10 求求好心人🥺,,,,,,,,,,1,1
top student 係咪全班最高分2位？,🍳,所以即係全班頭二？,🐫,應該係最高分嗰兩個,🍳,係同分先2個定點？,1,6,,,,,
🌰,🌼,412,🍁,例如？🫣,🌼,有啲一定要你返去上 返唔到要email同CC講撞CP,1,6,,,出ward 要唔要返學上堂？,,
PUAD A222F 過來人有冇咩tips/忠告？,🙉,"If u want to know my mid term answer , please refer to lecture notes and assigned reading 🤣🤣🤣",🙉,"for more information, please refer to Hughes , Ian Scott 🤣🤣🤣",細路,"唯一嘅tipsFor more information, please read more course materials",2,10,,,,,
2023 year 5 CP,🐗,點混亂法,🐭,啲野好混亂,,,,,1,2,,,
RN registration 大家報咩cluster,🗿,KCC,🌝,有咩分別,yamazaki,開始有得報cluster 大家點排cluster呢,1,3,,,,,
有冇人知POLS A325F mid-term係mc定點,😵,我有一個fd 真係癲嘅。睇哂reading ，另一個就無咁癲,😚,痴線 好難想像啲Top student點樣讀,😵,"係ar, 佢地攞哂🤣🤣",1,21,,,,,
29號起取消疫苗通 出ward實習仲洗唔洗打針？,🐲,我地CP嗰邊寫咗 打完兩針之後中咗 唔需要再打啦,😇,第一段又寫取消左 好心寫清楚d啦,😇,📷,1,10,,,,,
有冇人完sem一齊踢波,👱,push,👱,學校隔嚟就有個大草場 好想去踢,,,,,1,2,,,
328asm1 a-,🍞,平放，有意pm,,,,,,,,,,1,1
有冇人報咗Marriott corporate office,💁,OU….,😳,Intern 有通知收未？,,,,,1,2,,,
而家入學校仲要唔要疫苗通行證,😷,聽人講如果myouuk個到無報到疫苗證明張卡係拍唔到入去 所以都係要打針 只係佢唔洗scan張針卡,🐶,直接啪卡入去,🐨,唔使啊,1,3,,,,,
俾學校defer 到year 7，你問我答,👲,方杖好小氣,芫荽大C,得罪人掛🤣🤣 不過似係自己唔夠料囉，有一年傾完叫我唔好retake，出實習撞，我又真係信咗，點知嗰年exam變assignment ，如果嗰年有retake 一早畢業了🫠🫠🫤,🐄,點解會retake 4次咁多😂😂,5,31,,,,,
嚴選人文學院最地獄科目,🐍,搞下氣氛姐🤣🤣,🌮,MU學霸簡直係笑話,🐍,學霸咪得囉🤣,3,14,,,,,
如果fail211下年有冇course讀唔到？,🐥,聽講general有 mental冇,,,,,,,,,,3,2
211個consolidation 聽左D咩？,🌻,好啊唔該晒🙏🏻,芫荽大C,"個錄音入面佢直接答話係測視野visual field 🤣之後淨係講點解唔係visual acuity 無解釋點解唔係A,D,E",🌻,嗰日上堂聽到個答案係D😮,4,42,,,,,
KCC TUNS圍爐🔥,🍄,https://t.me/kcctuns2022,😀,mental qe,😥,Mental 同學仔呢🤤,1,5,,,,,
有冇師兄姐有S109F sample exam paper？,🎃,同埋係咪45條MCQ🤣,🎃,+1想要S109F past paper,🐩,想問宜家仲有冇？🙏🏻🥲過幾日考,1,7,,,,,
求311 sample paper🥹🙏🏻好人一世平安￼,🙈,考成點？,😶,大家聽日一齊加油🔥,🌳,🙏🏻🙏🏻,3,8,,,,,
assignment超字數多左一隻字，會唔會扣分？,😖,我交左 爆左,😖,咁多 仆街,👽,Nursing 多20字扣5分，以此類推,1,5,,,,,
想問下A110BF攝影好唔好讀🥹,🎃,所以如果本身有興趣真心唔建議,🎃,我take home assign系上網抄最後b但考試應該難d應該要背野,🎃,唔記錯系話要考試,3,11,,,,,
🍀,🐌,呢科幾多成attendance?,😂,assignment3（take home assignment）4400字內（5題揀4題答）,😂,assignment1，2: 800-2200字,3,50,,,Gen E143CF 香港流行歌詞探究￼,,
成實gen計唔計attendance?,🐿,睇人,,,,,,,,,,1,1
Gen B267CF,😕,點伏法,🍅,伏,👦,想問吓呢科難唔難讀？比分鬆唔鬆手？同埋有咩做？,1,3,,,,,
N401F FYP ethical approval,🎍,？,🎍,大家幾時申請同有消息未？,,,,,2,2,,,
有冇師弟妹可以share 203同214嘅recording,🌷,冇,👻,still need?,🙇,$200 per course,2,7,,,,,
N311F 係咪要自學？,😂,佢啲英文真係好難聽,🍜,真係 仲要趕住30號諗到個topic,🎃,頂，個老師係咁自言自語，組都未分好，lecture 又唔知講緊咩，就要人做project,4,17,,,,,
ECON A232F,鏡仔,我覺得還好，呢科唔駛做presentation 同essay ，但係有兩次mid term ，各佔20% ，考試佔6成,🌝,想問吓難唔難讀？有咩要做🙏🏻？,,,,,2,2,,,
考完227 好灰,🍙,easy,😷,？,🐗,星星真係星星,4,4,,,,,
227 今朝考 而家座位表同埋試場地點都冇？,改咩好,"Date: 3rd December 2022 (Saturday)       Time: 11:30-13:00Time Allowed: 1.5 hoursVenue: D0309 or E0311, JCC籠統既就有既，唯有早d去三樓探下咩情況…",,,,,,,,,,1,1
有冇人讀過Gen A103BF? 伏？,🌾,多唔多功課？有冇考試？,,,,,,,,,,3,1
疫情過萬宗+流感夾擊,😜,中咗又冇得test 淨係可以補考,😜,好慘,🍘,建議唔使出placement直接grad，無人工又多嘢做,1,4,,,,,
有冇人知考試補考會大約安排幾時補？￼,🍱,下一次開你嗰科嘅時候,,,,,,,,,,1,1
227 點溫,🍂,aetiology,🙋,完全唔知佢想考啲咩🥹🥹,,,,,1,2,,,
Gen 係咪淨係可以reg 兩次1字頭？,🐄,有任何問題建議電郵問返自己科program leader,🐄,"GOOP好多6uo 以為個個都讀自己同一科, 所以唔好盡信",🐄,"學校畢業要求唔可以超過40個credit係1字頭, 全部科通用",3,27,,,,,
gen 288個lecturer 討論區,RemoteU,所有唔啱聽嘅，都係打手….你份作業一幾多分?佢肥咗你？,😓,打手唔好咁明顯好喎,🐆,你肯定唔係你玩手機之後走得快過佢？😂,1,9,,,,,
大家328 asm 1 幾多分,🍛,嘩👀,😴,89,🌝,68,2,4,,,,,
Mead workshop,😽,你地支酒依家發酵成點？,,,,,,,,,,1,1
B166CF T01招組員,🐕,選尼科，就會見識到鳩痕Kenny,🐞,Pm?,,,,,1,2,,,
🌱,🍔,佢有講過？,🐡,自己睇recording慢慢揾,🐡,冇,2,5,,,有冇人可以share 227 ￼打星嘅位置？,,
🐣,😴,有興，可pm?,😯,200定2000？,🐐,影印鋪 $70/hr,305,814,,,大家做緊咩part time? 幾錢個鐘？,,
有冇人有282tips🥺,🌜,呢科大課完全唔掂，照PPT黎讀，所以想睇有冇師兄姐有tips，感謝你哋🥺,,,,,,,,,,1,1
唔見左學生證點入學校？,🐚,入到呀 同保安講做翻個登記就可以,😐,唔拍卡入唔入到學校？,,,,,1,2,,,
有冇人係MC C0G01跌咗瑪嘉烈EN牌？,🐌,認真不如考慮下剪指甲,🍰,其實你哋係唔係唔知道喺呢道留言要有mu email先得？,🍛,做多咗，係人都會變老，何必咁話人呢,1,12,,,,,
垃圾圖書館,👦,真,🍶,冷氣開到停屍間咁，叫人點溫書,,,,,1,2,,,
賣B328F group project (A-),Kimbap,推,Kimbap,Push,Kimbap,Push,1,5,,,,,
N311F  T05 group project,🐹,Pm?,🍋,🤗hi,毛毛mo,Pm?,2,6,,,,,
N311F T08 分組,🍤,有冇人N311F T08 group project 仲未有組架？我哋呢度仲差1-2個人,,,,,,,,,,1,1
NURS N310F Project 分組,🌯,又伸手黨,👩,次次都要由頭再睇過,👩,自己睇，有補堂,4,15,,,,,
幾時可以唔使戴口罩返學,🌴,搞唔掂 真係好辛苦🥵,🌴,自從要戴口罩之後多好多靚女 有啲仲要身材好好 搞到我日日返學都扯晒旗咁 好想係咁同啲女仔扑嘢,,,,,1,2,,,
點解mc 3/F 個自修室可以咁焗🥲🥲🥲,🍹,我都覺,,,,,,,,,,1,1
310 做咩topic好🤧,😌,311先係cc揀,🐺,Cc 俾wor 有得揀咩,,,,,1,2,,,
310 grouping,🍿,Hello 👋,🐞,Hi 有冇組可以收留我🥺我單丁,🍑,hi,1,14,,,,,
SingCon 賣飛直擊 2022,🐅,而家截左龍未？,😍,屌 企第一排嗰兩個粉紅色頭 一男一女 你地好撚嘈,😍,一早就滿人啦,1,7,,,,,
netflix acc 共用(3人),🍸,Pm🫶🏻,😆,"Hi,我miss 左個mesage呀😂 再黎多次？",🍹,hihi你可唔可以再send多次message比我🙈,1,10,,,,,
出緊plcament每日都交rat?,🙊,試過唔記得交 無事,👳,"成日都唔記得交,個網又load咁耐🤡",,,,,1,2,,,
鯨魚終於谷針,👺,🙈omg 我都係咁喔 打完科興就咁 結果睇醫生 check唔到原因,🍄,on 9,😣,3月1日裝,3,142,,,,,
想申請locker…,🍢,之前申請過，一次都冇用過🫠,🐃,好😂 thanks,🗿,冇 下年請早,1,4,,,,,
🌸,🍓,Film嫂最多,🙌,超多🤭,😮,大把,1,4,,,想知嫂界多唔多情侶🙊,,
2022第一水TUNs 幾時派彩？,🌷,12月中之前,👵,等得好辛苦😂😂,,,,,1,2,,,
zoom未啊,🍒,係慘啲嘅 你繼續啦 反正個個都只係當你戇鳩仔咁睇,🍒,係咪平時喺學校俾人bully又唔敢出聲 淨係敢上嚟發洩,🍒,人地夠講幾句想zoom 你就屌晒人老母咁 你戇鳩啲喎,20,33,,,,,
裝修,🍖,學校冇L腦,🌵,勁嘈 特別係C0G01 想認真聽書都難,,,,,2,2,,,
Social psyA321F Mid term,🍧,女版percy,👸,Mid term都要出到好似考試咁多Essay question 一個Tips都無 真係想檔死人咩,👸,溫到好痛苦 勸有得簡elective既話唔好簡白嬋 未考已經Feel到Killer 救命😫,6,9,,,,,
328 asm 1,🐵,可以有咩references,🐵,其實到底要做乜嘢 唔明,,,,,2,2,,,
今年最柒既ocamp係邊個,GuesswhoamI,咁嘅人都有女lol 利申自己都有女朋友 唔係妒忌 覺得個女仔唔抵,🤗,幾時飛咗佢啊洗晒佢啲錢未⁉️,GuesswhoamI,推,18,114,,,,,
GO喺邊？,🐰,general office,🍟,what is GO?😂😂,🦃,一出lift就見到,1,4,,,,,
17/10 占卜,🌮,幾時會再有🫠,👳,3pm ioh 6 floor,👳,5pm,1,5,,,,,
😨,😃,今日？,🍠,想知難唔難pass 多唔多人fail,🍠,今日考完,1,15,,,強烈建議211 pe打算靠抄人pass既同學溫書,,
一人一個好lecturer或tutor,🌹,文學,🍝,Hemio世一,🍡,Bonnie,24,60,,,,,
畢業禮只可以帶一個人去？,😡,淨係帶灣仔區欺凌者去囉,⛄️,上年好似有2張觀眾飛,,,,,2,2,,,
Econ A321F 求past paper 🙏🏻,👾,請問有無econ A321F mid term past paper,,,,,,,,,,2,1
mu有冇踢波grp,🌿,不如po喺度方便人入😂,🐕,i pm u the link,🌿,未吖,1,6,,,,,
訪客比唔比入校園？,🍫,靜啦,😂,我有個同學（校友）琴日啱啱俾保安refused 入去，話唔係讀緊唔係學生所以唔入得，話點解唔係讀緊書要返學校，笑咗,🍰,如果mc 我就試過停車場貨lift 入，全程無話要登記,1,7,,,,,
上年103 written超多人炒既原因,🍩,因為炒果堆試卷都攞左去俾某人改，appeal都係佢,,,,,,,,,,1,1
Mental tuns報咩cluster好,🐌,Year3都好多人做到喎,Rode,算唔算收得多人？year 4大唔大機會有得做tuns?,芫荽大C,過嚟新界東🤪,1,6,,,,,
$4x一張英皇戲飛￼，行得,🐑,咩戲都得，只要係2D就可以3D嗰啲要補錢,🌳,同問,,,,,1,5,,,
🗿,🌸,尼科根本就係dse 卷3綜合，冇乜好溫,🌸,其他咪剔剔剔就得了,🌸,Yes,1,10,,,大家開始溫N211未 (Y2),,
有冇人上過mu體適能簡介課程，係會齋講解？,🐺,以前係講解+掂機，唔洗做測驗個啲，唔知而家有無改,,,,,,,,,,1,1
有冇人放S&T畢業禮入場券？,🦃,收到學校message講畢業禮,🍛,咁快有？！,🍛,Email都未收到喎,2,5,,,,,
PSYC A325 T03搵groupmate,🍯,push,🍯,依家有三個 想搵多1-2個人🙋🏻‍♀️,,,,,3,2,,,
😿,👰,Thx ching,OUIT9,"如果你冇分享位置, Browser 唔會傳位置資訊上server, 要check你當時位置就只有當場開名叫你出黎",👰,Ching 如果無開location 咁知唔知點check location 👀,4,20,,,無掃二維碼只按入class activitie計唔計到出席?,,
Nursing休學,🍨,Deder/休學1年 = n+1 如此類推，你要肯定你果5年唔會失手，否則唔建議,😕,Dm me🙌,😖,因咩事呢,1,4,,,,,
🌚,💂,恭喜恭喜🎉,😆,最後我真係中咗考唔到,🐯,但都冇辦法，唯有盡力溫,6,6,,,疫倩爆到點，點解仲要係翻學校考試？,,
有冇MU人想一齊踢波⚽️,🐛,Push,🐛,小弟踢波唔掂，想搵MU人平日上完堂一齊踢下波 識唔識踢都可以join，快樂足球有興趣嘅可以入tg group 約踢波Tg link: https://t.me/+CBCHccH_RhYxNGQ1,,,,,3,2,,,
soci220 t03搵groupmate🙋🏻‍♀️,🍵,呢度已經有兩個人 想搵多幾個🙇🏻‍♀️,,,,,,,,,,1,1
😢,👵,好🥲,🌹,試下問保安部,👵,大機會係喺Jc唔見，係用個好細嘅米妮袋仔入住去過413，414同六樓枱櫈嗰邊🥲想問下有冇人執到或者見過🙇🏻‍♀️🙇🏻‍♀️,1,3,,,￼￼唔見咗AirPods🥲,,
想搵ou人一齊踢波,🍮,有興👍,😊,Hello 仲有冇踢緊架,🤕,Pm,3,44,,,,,
揾到工未大家，畢業人工幾多,🐑,保險開到單就話姐 開唔到單仲少過普通打工,☺️,因為個個冇嘢撈要做保險🐶,🎈,都正常既,1,39,,,,,
畢業證書可唔可以叫佢過嚟？,😇,你指寄過嚟？,🍀,你up乜柒啊？中文都寫到一舊舊，重好意思同人講你畢業,😍,？,1,3,,,,,
劉馬車出獄之後入mu讀nursing做護士大家點睇？,👺,"想通了，即將要和社會接軌，就職後要拼盡全力 賺錢，拿取權力。會首先經 香港公開大學BBA(C&G) FT. 進場,先拿Degree。然後一邊工作一邊拿Master，以最快速度上位。成功KO第一捅金後，我才能繼續實現夢想，理想。(搞樂團，養孩子，父母，去幫有需要的人)4年 Business Law, 將來就可以用法律監管公司各個部門。又要負責幫公司和 港交所，稅務局聯繫。更加可以有能力為公司制定未來政策。表現好的話可以入董事會。簡直是公司主力核心。我迫不及待好想玩玩了。",👺,Are you Charles Yeung?,🌻,有人問我 我就會講 但是無人來,3,3,,,,,
今年TC Grad嘅你搵到工未？🫠,🍀,Management,🍾,🫢可唔可以講轉左邊行？,🍀,做緊嘢了利申轉行人工可觀,1,4,,,,,
Ha會唔會cut實習時數呢？,🙂,+1,😽,好灰，year4 mental未出過cp,💁,搞清楚先 批牌同決定CP hrs打唔打折嘅係Nursing Council,1,4,,,,,
🙇,👹,有無同FMO報失物？,🐔,邊到唔見?,🐰,影咗有紀念價值嘅相，希望有好心嘅 Ching可以幫手搵返 Tg: @whywhy03,1,3,,,尋物啟事 -1唔見咗菲林相機 ￼￼簿酬,,
大家覺得GIP酒店之旅如何👀,🐺,D seminars 好悶,Meowbye,都好過比錢 但開zoom啦。,🍢,野食就睇地方啦 愉景灣就真係難食既 反而黃金就好啲,2,11,,,,,
N111F retake exam,🍆,謝謝你 雖然已經考完😘😘😚,😟,冇事嘅各位，支持你地,🐁,可唔可以dm多一次,1,21,,,,,
Y4 mental 幾時出timetable丫,🎂,今個sem冇書讀，緊係冇timetable,😴,📷,😴,交啲學費去左邊丫？係咪比人貪污左,1,3,,,,,
有冇人讀過E141F壓力與身心健康？,🐺,讀左更加有壓力,😤,好大壓力,🍮,多唔多功課？有冇考試？,1,5,,,,,
🌝,🍌,讀咁多書，最後同幫冇學歷的人爭工做。不如請曬爛仔去做護士算⋯⋯,🍌,300元一個小時，抽水咁深，搵鬼做,🐊,下 人哋地盤搬磚檢測咪最多搬手套,4,41,,,Nursing year 4,,
乒乓波,👻,想打乒乓波+1 tg @eggplant123,煮撚鳩,Tg?,👻,me,2,4,,,,,
Gen A213F 機率遊戲的文化與策略,⛄️,想問呢科讀咩,Tom02,sorry 第一次用 整錯左D野🙇🏻‍♂️🙇🏻‍♂️🙇🏻‍♂️ 如果你得閒嘅話 希望可以覆一覆我 thx!!!,,,,,2,10,,,
點樣上堂識人,💃,係kam撚 是也,👻,除非你個人本身係kam，如果唔係點都會識到十幾個,💃,其實會好kam囉,2,25,,,,,
入Campus 要掃針卡，係咪好似餐廳咁掃？,🍖,cant,😗,想問吓舊學生證拍唔拍到閘機,🍚,三針，之前中左就交康復記錄,1,17,,,,,
好似中左招,🐐,好 唔該晒🙆🏻‍♀️,🎈,for example,🎈,📷,1,13,,,,,
Gen S109F 好唔好讀,👼,GE course 一定要reg ？,👮,我講嘅係f2f啊 考試係做卷考mc 個mc都有d難度 如果你好高分的話 但係50-60%你有溫就有,🐿,F2F 係咪都係,1,8,,,,,
Pre-assign嘅tutorial 可唔可以swap?,🤔,no,tszkwan,咁Lecture有冇得swap?🙈,🐜,b200f b220f唔可以,2,10,,,,,
