参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
如果想minor econ應該咩course 入手,ECON4000ECON4001ECON4002ECON4003ECON4004ECON4005ECON4006ECON4007ECON4008ECON4009ECON4010ECON4011ECON4012ECON4013ECON4014ECON4015ECON4016ECON4017ECON4018ECON4019ECON4020ECON4021ECON4022ECON4023ECON4024ECON4025ECON4026ECON4027ECON4028ECON4029ECON4030ECON4031ECON4032ECON4033ECON4034ECON4035ECON4036ECON4037ECON4038ECON4039ECON4040ECON4041ECON4042ECON4043ECON4044ECON4045ECON4046ECON4047ECON4048ECON4049ECON4050ECON4051ECON4052ECON4053ECON4054ECON4055ECON4056ECON4057ECON4058ECON4059ECON4060ECON4061ECON4062ECON4063ECON4064ECON4065ECON4066ECON4067ECON4068ECON4069ECON4070ECON4071ECON4072ECON4073ECON4074ECON4075ECON4076ECON4077ECON4078ECON4079ECON4080ECON4081ECON4082ECON4083ECON4084ECON4085ECON4086ECON4087ECON4088ECON4089ECON4090ECON4091ECON4092ECON4093ECON4094ECON4095ECON4096ECON4097ECON4098ECON4099ECON4100ECON4101ECON4102ECON4103ECON4104ECON4105ECON4106ECON4107ECON4108ECON4109ECON4110ECON4111ECON4112ECON4113ECON4114ECON4115ECON4116ECON4117ECON4118ECON4119ECON4120ECON4121ECON4122ECON4123ECON4124ECON4125ECON4126ECON4127ECON4128ECON4129ECON4130ECON4131ECON4132ECON4133ECON4134ECON4135ECON4136ECON4137ECON4138ECON4139ECON4140ECON4141ECON4142ECON4143ECON4144ECON4145ECON4146ECON4147ECON4148ECON4149ECON4150ECON4151ECON4152ECON4153ECON4154ECON4155ECON4156ECON4157ECON4158ECON4159ECON4160ECON4161ECON4162ECON4163ECON4164ECON4165ECON4166ECON4167ECON4168ECON4169ECON4170ECON4171ECON4172ECON4173ECON4174ECON4175ECON4176ECON4177ECON4178ECON4179ECON4180ECON4181ECON4182ECON4183ECON4184ECON4185ECON4186ECON4187ECON4188ECON4189ECON4190ECON4191ECON4192ECON4193ECON4194ECON4195ECON4196ECON4197ECON4198ECON4199ECON4200ECON4201ECON4202ECON4203ECON4204ECON4205ECON4206ECON4207ECON4208ECON4209ECON4210ECON4211ECON4212ECON4213ECON4214ECON4215ECON4216ECON4217ECON4218ECON4219ECON4220ECON4221ECON4222ECON4223ECON4224ECON4225ECON4226ECON4227ECON4228ECON4229ECON4230ECON4231ECON4232ECON4233ECON4234ECON4235ECON4236ECON4237ECON4238ECON4239ECON4240ECON4241ECON4242ECON4243ECON4244ECON4245ECON4246ECON4247ECON4248ECON4249ECON4250ECON4251ECON4252ECON4253ECON4254ECON4255ECON4256ECON4257ECON4258ECON4259ECON4260ECON4261ECON4262ECON4263ECON4264ECON4265ECON4266ECON4267ECON4268ECON4269ECON4270ECON4271ECON4272ECON4273ECON4274ECON4275ECON4276ECON4277ECON4278ECON4279ECON4280ECON4281ECON4282ECON4283ECON4284ECON4285ECON4286ECON4287ECON4288ECON4289ECON4290ECON4291ECON4292ECON4293ECON4294ECON4295ECON4296ECON4297ECON4298ECON4299ECON4300ECON4301ECON4302ECON4303ECON4304ECON4305ECON4306ECON4307ECON4308ECON4309ECON4310ECON4311ECON4312ECON4313ECON4314ECON4315ECON4316ECON4317ECON4318ECON4319ECON4320ECON4321ECON4322ECON4323ECON4324ECON4325ECON4326ECON4327ECON4328ECON4329ECON4330ECON4331ECON4332ECON4333ECON4334ECON4335ECON4336ECON4337ECON4338ECON4339ECON4340ECON4341ECON4342ECON4343ECON4344ECON4345ECON4346ECON4347ECON4348ECON4349ECON4350ECON4351ECON4352ECON4353ECON4354ECON4355ECON4356ECON4357ECON4358ECON4359ECON4360ECON4361ECON4362ECON4363ECON4364ECON4365ECON4366ECON4367ECON4368ECON4369ECON4370ECON4371ECON4372ECON4373ECON4374ECON4375ECON4376ECON4377ECON4378ECON4379ECON4380ECON4381ECON4382ECON4383ECON4384ECON4385ECON4386ECON4387ECON4388ECON4389ECON4390ECON4391ECON4392ECON4393ECON4394ECON4395ECON4396ECON4397ECON4398ECON4399ECON4400ECON4401ECON4402ECON4403ECON4404ECON4405ECON4406ECON4407ECON4408ECON4409ECON4410ECON4411ECON4412ECON4413ECON4414ECON4415ECON4416ECON4417ECON4418ECON4419ECON4420ECON4421ECON4422ECON4423ECON4424ECON4425ECON4426ECON4427ECON4428ECON4429ECON4430ECON4431ECON4432ECON4433ECON4434ECON4435ECON4436ECON4437ECON4438ECON4439ECON4440ECON4441ECON4442ECON4443ECON4444ECON4445ECON4446ECON4447ECON4448ECON4449ECON4450ECON4451ECON4452ECON4453ECON4454ECON4455ECON4456ECON4457ECON4458ECON4459ECON4460ECON4461ECON4462ECON4463ECON4464ECON4465ECON4466ECON4467ECON4468ECON4469ECON4470ECON4471ECON4472ECON4473ECON4474ECON4475ECON4476ECON4477ECON4478ECON4479ECON4480ECON4481ECON4482ECON4483ECON4484ECON4485ECON4486ECON4487ECON4488ECON4489ECON4490ECON4491ECON4492ECON4493ECON4494ECON4495ECON4496ECON4497ECON4498ECON4499ECON4500ECON4501ECON4502ECON4503ECON4504ECON4505ECON4506ECON4507ECON4508ECON4509ECON4510ECON4511ECON4512ECON4513ECON4514ECON4515ECON4516ECON4517ECON4518ECON4519ECON4520ECON4521ECON4522ECON4523ECON4524ECON4525ECON4526ECON4527ECON4528ECON4529ECON4530ECON4531ECON4532ECON4533ECON4534ECON4535ECON4536ECON4537ECON4538ECON4539ECON4540ECON4541ECON4542ECON4543ECON4544ECON4545ECON4546ECON4547ECON4548ECON4549ECON4550ECON4551ECON4552ECON4553ECON4554ECON4555ECON4556ECON4557ECON4558ECON4559ECON4560ECON4561ECON4562ECON4563ECON4564ECON4565ECON4566ECON4567ECON4568ECON4569ECON4570ECON4571ECON4572ECON4573ECON4574ECON4575ECON4576ECON4577ECON4578ECON4579ECON4580ECON4581ECON4582ECON4583ECON4584ECON4585ECON4586ECON4587ECON4588ECON4589ECON4590ECON4591ECON4592ECON4593ECON4594ECON4595ECON4596ECON4597ECON4598ECON4599ECON4600ECON4601ECON4602ECON4603ECON4604ECON4605ECON4606ECON4607ECON4608ECON4609ECON4610ECON4611ECON4612ECON4613ECON4614ECON4615ECON4616ECON4617ECON4618ECON4619ECON4620ECON4621ECON4622ECON4623ECON4624ECON4625ECON4626ECON4627ECON4628ECON4629ECON4630ECON4631ECON4632ECON4633ECON4634ECON4635ECON4636ECON4637ECON4638ECON4639ECON4640ECON4641ECON4642ECON4643ECON4644ECON4645ECON4646ECON4647ECON4648ECON4649ECON4650ECON4651ECON4652ECON4653ECON4654ECON4655ECON4656ECON4657ECON4658ECON4659ECON4660ECON4661ECON4662ECON4663ECON4664ECON4665ECON4666ECON4667ECON4668ECON4669ECON4670ECON4671ECON4672ECON4673ECON4674ECON4675ECON4676ECON4677ECON4678ECON4679ECON4680ECON4681ECON4682ECON4683ECON4684ECON4685ECON4686ECON4687ECON4688ECON4689ECON4690ECON4691ECON4692ECON4693ECON4694ECON4695ECON4696ECON4697ECON4698ECON4699ECON4700ECON4701ECON4702ECON4703ECON4704ECON4705ECON4706ECON4707ECON4708ECON4709ECON4710ECON4711ECON4712ECON4713ECON4714ECON4715ECON4716ECON4717ECON4718ECON4719ECON4720ECON4721ECON4722ECON4723ECON4724ECON4725ECON4726ECON4727ECON4728ECON4729ECON4730ECON4731ECON4732ECON4733ECON4734ECON4735ECON4736ECON4737ECON4738ECON4739ECON4740ECON4741ECON4742ECON4743ECON4744ECON4745ECON4746ECON4747ECON4748ECON4749ECON4750ECON4751ECON4752ECON4753ECON4754ECON4755ECON4756ECON4757ECON4758ECON4759ECON4760ECON4761ECON4762ECON4763ECON4764ECON4765ECON4766ECON4767ECON4768ECON4769ECON4770ECON4771ECON4772ECON4773ECON4774ECON4775ECON4776ECON4777ECON4778ECON4779ECON4780ECON4781ECON4782ECON4783ECON4784ECON4785ECON4786ECON4787ECON4788ECON4789ECON4790ECON4791ECON4792ECON4793ECON4794ECON4795ECON4796ECON4797ECON4798ECON4799ECON4800ECON4801ECON4802ECON4803ECON4804ECON4805ECON4806ECON4807ECON4808ECON4809ECON4810ECON4811ECON4812ECON4813ECON4814ECON4815ECON4816ECON4817ECON4818ECON4819ECON4820ECON4821ECON4822ECON4823ECON4824ECON4825ECON4826ECON4827ECON4828ECON4829ECON4830ECON4831ECON4832ECON4833ECON4834ECON4835ECON4836ECON4837ECON4838ECON4839ECON4840ECON4841ECON4842ECON4843ECON4844ECON4845ECON4846ECON4847ECON4848ECON4849ECON4850ECON4851ECON4852ECON4853ECON4854ECON4855ECON4856ECON4857ECON4858ECON4859ECON4860ECON4861ECON4862ECON4863ECON4864ECON4865ECON4866ECON4867ECON4868ECON4869ECON4870ECON4871ECON4872ECON4873ECON4874ECON4875ECON4876ECON4877ECON4878ECON4879ECON4880ECON4881ECON4882ECON4883ECON4884ECON4885ECON4886ECON4887ECON4888ECON4889ECON4890ECON4891ECON4892ECON4893ECON4894ECON4895ECON4896ECON4897ECON4898ECON4899ECON4900ECON4901ECON4902ECON4903ECON4904ECON4905ECON4906ECON4907ECON4908ECON4909ECON4910ECON4911ECON4912ECON4913ECON4914ECON4915ECON4916ECON4917ECON4918ECON4919ECON4920ECON4921ECON4922ECON4923ECON4924ECON4925ECON4926ECON4927ECON4928ECON4929ECON4930ECON4931ECON4932ECON4933ECON4934ECON4935ECON4936ECON4937ECON4938ECON4939ECON4940ECON4941ECON4942ECON4943ECON4944ECON4945ECON4946ECON4947ECON4948ECON4949ECON4950ECON4951ECON4952ECON4953ECON4954ECON4955ECON4956ECON4957ECON4958ECON4959ECON4960ECON4961ECON4962ECON4963ECON4964ECON4965ECON4966ECON4967ECON4968ECON4969ECON4970ECON4971ECON4972ECON4973ECON4974ECON4975ECON4976ECON4977ECON4978ECON4979ECON4980ECON4981ECON4982ECON4983ECON4984ECON4985ECON4986ECON4987ECON4988ECON4989ECON4990ECON4991ECON4992ECON4993ECON4994ECON4995ECON4996ECON4997ECON4998ECON4999,ECON3000ECON3001ECON3002ECON3003ECON3004ECON3005ECON3006ECON3007ECON3008ECON3009ECON3010ECON3011ECON3012ECON3013ECON3014ECON3015ECON3016ECON3017ECON3018ECON3019ECON3020ECON3021ECON3022ECON3023ECON3024ECON3025ECON3026ECON3027ECON3028ECON3029ECON3030ECON3031ECON3032ECON3033ECON3034ECON3035ECON3036ECON3037ECON3038ECON3039ECON3040ECON3041ECON3042ECON3043ECON3044ECON3045ECON3046ECON3047ECON3048ECON3049ECON3050ECON3051ECON3052ECON3053ECON3054ECON3055ECON3056ECON3057ECON3058ECON3059ECON3060ECON3061ECON3062ECON3063ECON3064ECON3065ECON3066ECON3067ECON3068ECON3069ECON3070ECON3071ECON3072ECON3073ECON3074ECON3075ECON3076ECON3077ECON3078ECON3079ECON3080ECON3081ECON3082ECON3083ECON3084ECON3085ECON3086ECON3087ECON3088ECON3089ECON3090ECON3091ECON3092ECON3093ECON3094ECON3095ECON3096ECON3097ECON3098ECON3099ECON3100ECON3101ECON3102ECON3103ECON3104ECON3105ECON3106ECON3107ECON3108ECON3109ECON3110ECON3111ECON3112ECON3113ECON3114ECON3115ECON3116ECON3117ECON3118ECON3119ECON3120ECON3121ECON3122ECON3123ECON3124ECON3125ECON3126ECON3127ECON3128ECON3129ECON3130ECON3131ECON3132ECON3133ECON3134ECON3135ECON3136ECON3137ECON3138ECON3139ECON3140ECON3141ECON3142ECON3143ECON3144ECON3145ECON3146ECON3147ECON3148ECON3149ECON3150ECON3151ECON3152ECON3153ECON3154ECON3155ECON3156ECON3157ECON3158ECON3159ECON3160ECON3161ECON3162ECON3163ECON3164ECON3165ECON3166ECON3167ECON3168ECON3169ECON3170ECON3171ECON3172ECON3173ECON3174ECON3175ECON3176ECON3177ECON3178ECON3179ECON3180ECON3181ECON3182ECON3183ECON3184ECON3185ECON3186ECON3187ECON3188ECON3189ECON3190ECON3191ECON3192ECON3193ECON3194ECON3195ECON3196ECON3197ECON3198ECON3199ECON3200ECON3201ECON3202ECON3203ECON3204ECON3205ECON3206ECON3207ECON3208ECON3209ECON3210ECON3211ECON3212ECON3213ECON3214ECON3215ECON3216ECON3217ECON3218ECON3219ECON3220ECON3221ECON3222ECON3223ECON3224ECON3225ECON3226ECON3227ECON3228ECON3229ECON3230ECON3231ECON3232ECON3233ECON3234ECON3235ECON3236ECON3237ECON3238ECON3239ECON3240ECON3241ECON3242ECON3243ECON3244ECON3245ECON3246ECON3247ECON3248ECON3249ECON3250ECON3251ECON3252ECON3253ECON3254ECON3255ECON3256ECON3257ECON3258ECON3259ECON3260ECON3261ECON3262ECON3263ECON3264ECON3265ECON3266ECON3267ECON3268ECON3269ECON3270ECON3271ECON3272ECON3273ECON3274ECON3275ECON3276ECON3277ECON3278ECON3279ECON3280ECON3281ECON3282ECON3283ECON3284ECON3285ECON3286ECON3287ECON3288ECON3289ECON3290ECON3291ECON3292ECON3293ECON3294ECON3295ECON3296ECON3297ECON3298ECON3299ECON3300ECON3301ECON3302ECON3303ECON3304ECON3305ECON3306ECON3307ECON3308ECON3309ECON3310ECON3311ECON3312ECON3313ECON3314ECON3315ECON3316ECON3317ECON3318ECON3319ECON3320ECON3321ECON3322ECON3323ECON3324ECON3325ECON3326ECON3327ECON3328ECON3329ECON3330ECON3331ECON3332ECON3333ECON3334ECON3335ECON3336ECON3337ECON3338ECON3339ECON3340ECON3341ECON3342ECON3343ECON3344ECON3345ECON3346ECON3347ECON3348ECON3349ECON3350ECON3351ECON3352ECON3353ECON3354ECON3355ECON3356ECON3357ECON3358ECON3359ECON3360ECON3361ECON3362ECON3363ECON3364ECON3365ECON3366ECON3367ECON3368ECON3369ECON3370ECON3371ECON3372ECON3373ECON3374ECON3375ECON3376ECON3377ECON3378ECON3379ECON3380ECON3381ECON3382ECON3383ECON3384ECON3385ECON3386ECON3387ECON3388ECON3389ECON3390ECON3391ECON3392ECON3393ECON3394ECON3395ECON3396ECON3397ECON3398ECON3399ECON3400ECON3401ECON3402ECON3403ECON3404ECON3405ECON3406ECON3407ECON3408ECON3409ECON3410ECON3411ECON3412ECON3413ECON3414ECON3415ECON3416ECON3417ECON3418ECON3419ECON3420ECON3421ECON3422ECON3423ECON3424ECON3425ECON3426ECON3427ECON3428ECON3429ECON3430ECON3431ECON3432ECON3433ECON3434ECON3435ECON3436ECON3437ECON3438ECON3439ECON3440ECON3441ECON3442ECON3443ECON3444ECON3445ECON3446ECON3447ECON3448ECON3449ECON3450ECON3451ECON3452ECON3453ECON3454ECON3455ECON3456ECON3457ECON3458ECON3459ECON3460ECON3461ECON3462ECON3463ECON3464ECON3465ECON3466ECON3467ECON3468ECON3469ECON3470ECON3471ECON3472ECON3473ECON3474ECON3475ECON3476ECON3477ECON3478ECON3479ECON3480ECON3481ECON3482ECON3483ECON3484ECON3485ECON3486ECON3487ECON3488ECON3489ECON3490ECON3491ECON3492ECON3493ECON3494ECON3495ECON3496ECON3497ECON3498ECON3499ECON3500ECON3501ECON3502ECON3503ECON3504ECON3505ECON3506ECON3507ECON3508ECON3509ECON3510ECON3511ECON3512ECON3513ECON3514ECON3515ECON3516ECON3517ECON3518ECON3519ECON3520ECON3521ECON3522ECON3523ECON3524ECON3525ECON3526ECON3527ECON3528ECON3529ECON3530ECON3531ECON3532ECON3533ECON3534ECON3535ECON3536ECON3537ECON3538ECON3539ECON3540ECON3541ECON3542ECON3543ECON3544ECON3545ECON3546ECON3547ECON3548ECON3549ECON3550ECON3551ECON3552ECON3553ECON3554ECON3555ECON3556ECON3557ECON3558ECON3559ECON3560ECON3561ECON3562ECON3563ECON3564ECON3565ECON3566ECON3567ECON3568ECON3569ECON3570ECON3571ECON3572ECON3573ECON3574ECON3575ECON3576ECON3577ECON3578ECON3579ECON3580ECON3581ECON3582ECON3583ECON3584ECON3585ECON3586ECON3587ECON3588ECON3589ECON3590ECON3591ECON3592ECON3593ECON3594ECON3595ECON3596ECON3597ECON3598ECON3599ECON3600ECON3601ECON3602ECON3603ECON3604ECON3605ECON3606ECON3607ECON3608ECON3609ECON3610ECON3611ECON3612ECON3613ECON3614ECON3615ECON3616ECON3617ECON3618ECON3619ECON3620ECON3621ECON3622ECON3623ECON3624ECON3625ECON3626ECON3627ECON3628ECON3629ECON3630ECON3631ECON3632ECON3633ECON3634ECON3635ECON3636ECON3637ECON3638ECON3639ECON3640ECON3641ECON3642ECON3643ECON3644ECON3645ECON3646ECON3647ECON3648ECON3649ECON3650ECON3651ECON3652ECON3653ECON3654ECON3655ECON3656ECON3657ECON3658ECON3659ECON3660ECON3661ECON3662ECON3663ECON3664ECON3665ECON3666ECON3667ECON3668ECON3669ECON3670ECON3671ECON3672ECON3673ECON3674ECON3675ECON3676ECON3677ECON3678ECON3679ECON3680ECON3681ECON3682ECON3683ECON3684ECON3685ECON3686ECON3687ECON3688ECON3689ECON3690ECON3691ECON3692ECON3693ECON3694ECON3695ECON3696ECON3697ECON3698ECON3699ECON3700ECON3701ECON3702ECON3703ECON3704ECON3705ECON3706ECON3707ECON3708ECON3709ECON3710ECON3711ECON3712ECON3713ECON3714ECON3715ECON3716ECON3717ECON3718ECON3719ECON3720ECON3721ECON3722ECON3723ECON3724ECON3725ECON3726ECON3727ECON3728ECON3729ECON3730ECON3731ECON3732ECON3733ECON3734ECON3735ECON3736ECON3737ECON3738ECON3739ECON3740ECON3741ECON3742ECON3743ECON3744ECON3745ECON3746ECON3747ECON3748ECON3749ECON3750ECON3751ECON3752ECON3753ECON3754ECON3755ECON3756ECON3757ECON3758ECON3759ECON3760ECON3761ECON3762ECON3763ECON3764ECON3765ECON3766ECON3767ECON3768ECON3769ECON3770ECON3771ECON3772ECON3773ECON3774ECON3775ECON3776ECON3777ECON3778ECON3779ECON3780ECON3781ECON3782ECON3783ECON3784ECON3785ECON3786ECON3787ECON3788ECON3789ECON3790ECON3791ECON3792ECON3793ECON3794ECON3795ECON3796ECON3797ECON3798ECON3799ECON3800ECON3801ECON3802ECON3803ECON3804ECON3805ECON3806ECON3807ECON3808ECON3809ECON3810ECON3811ECON3812ECON3813ECON3814ECON3815ECON3816ECON3817ECON3818ECON3819ECON3820ECON3821ECON3822ECON3823ECON3824ECON3825ECON3826ECON3827ECON3828ECON3829ECON3830ECON3831ECON3832ECON3833ECON3834ECON3835ECON3836ECON3837ECON3838ECON3839ECON3840ECON3841ECON3842ECON3843ECON3844ECON3845ECON3846ECON3847ECON3848ECON3849ECON3850ECON3851ECON3852ECON3853ECON3854ECON3855ECON3856ECON3857ECON3858ECON3859ECON3860ECON3861ECON3862ECON3863ECON3864ECON3865ECON3866ECON3867ECON3868ECON3869ECON3870ECON3871ECON3872ECON3873ECON3874ECON3875ECON3876ECON3877ECON3878ECON3879ECON3880ECON3881ECON3882ECON3883ECON3884ECON3885ECON3886ECON3887ECON3888ECON3889ECON3890ECON3891ECON3892ECON3893ECON3894ECON3895ECON3896ECON3897ECON3898ECON3899ECON3900ECON3901ECON3902ECON3903ECON3904ECON3905ECON3906ECON3907ECON3908ECON3909ECON3910ECON3911ECON3912ECON3913ECON3914ECON3915ECON3916ECON3917ECON3918ECON3919ECON3920ECON3921ECON3922ECON3923ECON3924ECON3925ECON3926ECON3927ECON3928ECON3929ECON3930ECON3931ECON3932ECON3933ECON3934ECON3935ECON3936ECON3937ECON3938ECON3939ECON3940ECON3941ECON3942ECON3943ECON3944ECON3945ECON3946ECON3947ECON3948ECON3949ECON3950ECON3951ECON3952ECON3953ECON3954ECON3955ECON3956ECON3957ECON3958ECON3959ECON3960ECON3961ECON3962ECON3963ECON3964ECON3965ECON3966ECON3967ECON3968ECON3969ECON3970ECON3971ECON3972ECON3973ECON3974ECON3975ECON3976ECON3977ECON3978ECON3979ECON3980ECON3981ECON3982ECON3983ECON3984ECON3985ECON3986ECON3987ECON3988ECON3989ECON3990ECON3991ECON3992ECON3993ECON3994ECON3995ECON3996ECON3997ECON3998ECON3999,ECON3430,3,22,,,,,
放ugcp 1002 ppt,如題 有意pm,,,,,,,,2,1
想玩joint u Ocamp嘅入一入嚟,Push~,有咩想問就dm 我哋IG 啦https://www.instagram.com/p/CtjLZN_B-47/?igshid=NTc4MTIwNjQ2YQ==,more info?,1,6,,,,,
新中大VPN / Easyaccess 連接中文文獻,如果on campus冇問題即係itsc果邊d rules有bug喇，冇計wor。或者試吓同佢地report返，睇下佢地點講🫠,都試過，一樣都係會跳返去login page，但上面個網址係有寫easyaccess.cuhk.edu.hi之類嘅野,試吓新VPN+EasyAccess一齊上？因為新VPN係rule proxy嚟，知網呢d只有mirror site先用到,1,9,,,,,
有冇人想sem2 做fyp！！523,dm u!!,我可以!!,,,,1,2,,,
想要life Science嘅￼ source,@mossein,有嘅話，留TG🙇🏻,BCHE 2030BIOL 2120LSCI 2002,1,3,,,,,
Ugec2514 Lau Siu Lun,push🙏🏻🙏🏻,之前衰仔走咗幾堂 依家唔係好跟到進度 但下個禮拜就exam🥹🥹有冇讀過嘅朋友可以指點迷津🙏🏻🙏🏻想問下考試嗰20題mc同長題目大概會問啲咩？係咪溫ppt就足夠 定係要睇埋reading materials？🙏🏻🙏🏻,,,,1,3,,,
有無人係紫霞 又鐘意打乒乓波🏓,Pm,Pm,Pm,2,10,,,,,
GENA有冇靚grade 推薦,GESC知sir教service learning A左，頗輕鬆，見佢都有教GENA2352A,有無人讀過service learning project,Debates in human values A-但有可能只係我易靚grade，唔係個course易靚grade。你揀返啲自己有興趣嘅course就會靚grade。,2,5,,,,,
qfin offer,ys,just say unsuccessful  transfer,？you successful？,1,8,,,,,
宜孫 fyp,pm request sent,有 pm你～,Hello想問下有冇多兩個位？我同一個friend都有興趣🙈（兩個都BA）,1,9,,,,,
有冇同學仔而家身在上海,同事點樣？,有幾重,重絲,2,5,,,,,
有無人想夾TYG畢業袍,hi想問仲有冇得夾,🫡,,,,1,8,,,
wys 23/24 sem1 fyp,Hello想問會唔會有兩個位剩？我同一個friend都有興趣🙈（兩個都係BA）,未！,Hello想問夠人未～,1,12,,,,,
__,pm,Pm,pm,2,6,,,Case Comp -2,,
Ugec1685 grade,92,89B+,91,1,24,,,,,
