参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
Fina + IS是咪SBM最屈？！（唔計神科）,珍,"MAEC soft skills = 0, 揀marketing保證繁華富貴",maec多人讀上去嘛,4,19,,,,,
買hall,想問而家買hall點運作🙏🏻🙏🏻,,,,,,,,1,1
加錢收男hall 除hall5外,5我都唔介意,,,,,,,,1,1
"放business, cc Source","Common core:- Sosc1960 (exam, notes, assignment) A+ teach by Kelvin- Civl1160 (exam (question only), project) teach by prof HuBusiness core:- Labu2040 (case report, project) [A-]- Labu2060 (interview question, project, proposal) [A]OM major:- Isom3710 (quiz, exam) [A]- Isom4750 (project) [A]- Isom3760 (mt, exam) both higher quartileMark major:- Mark3420 (exam, project, assignment) [A]- Mark3610 (mt, exam (highest), project) [A-]- Mark3460 (project) [A]- Mark4210 (exam, sim game, assignment) [A]",,,,,,,,2,1
ISD Major selection,Pmpm,Pm🙈,有冇人一樣今年 major selection 入咗 ISD? pm 🙏🏻,2,3,,,,,
Hall waitlist 8xx,0,今年冇㗎啦 以往1400邊有可能 有冇咁多住住下quit quit就一開始都唔報啦 仲要你排800,上年唔同 聽話好多人走/唔住hall,1,8,,,,,
Hall 2 male swap hall 1,Push,,,,,,,,1,1
賣 hall 9 女 full year,hi,hi,hi please pm me,1,4,,,,,
放TKO hall female,Full year male tko swap to hall 1/2/6,Full yr female 3 to tko,有冇人放hall 8 female 🙇🏻‍♀️?,1,3,,,,,
Swap hall,Full year male tko swap to hall 1/2/6,full yr hall 4 female to hall 7/8/9 with pay,Full yr female 3 to tko,1,13,,,,,
Hall 2 part情侶房,Full year male tko swap to hall 1/2/6,Full year male hall 2 swap hall 1,Hall 2 full year,3,,,,,,
有冇人搭過科大牛頭角小巴,好彩冇等,真,搭出彩虹轉地鐵去叔牛頭角可能仲快過等架死人104,1,9,,,,,
放tko hall female 有意pm,想！,,,,,,,,1,6
學校醫生紙幾多錢？,普通睇醫生唔搵專科唔洗錢3日藥,就咁睇醫生使唔使俾錢,唔駛錢錢,1,7,,,,,
男搵男玩捆綁tk,Pm,Pm,,,,1,7,,,
究竟COSC定DSCT 好啲？,Math,何必自尋死路，乖乖哋揀cosc 算啦利申Dsct+cosc,本身對 ML / Programming 都有興,1,9,,,,,
大家咩SSCI Major,https://advise2.science.ust.hk/MajorAnnouncement2023/,請問係邊度可以check到架？🙏🏻🙏🏻,Lifs,3,3,,,,,
__,入左CS。,點,冇,2,3,,,有冇人入咗CBE,,
Sosc 1960 source,Pm,pm,Pm,2,52,,,,,
求elec1100 1200 notes,Have sources,,,,,,,,1,1
CS FYP招Groupmate,Pm,Pm,Pm,1,3,,,,,
牙醫,之前試過9月中book，十月頭就有得洗,睇下你好唔好彩，撞啱有人cancel 可以快啲,打個電話就得book到但我二月book排到四月先有得洗,3,14,,,,,
想問下要如何申請Overload？,Intranet -> class enrolment request -> add course approval request,依家入左CPEG，由於有+AI的關係所以就預左要每個Sem讀18Cre，不過其實唔係好想係Summer/Winter讀太多書（怕Chur死）。並且我之後仲決心要Intern+Exchange，所以我覺得Overload（將上限拉到21Cre）是有需要的。所以各位可以簡單描述下我要做D咩先可以Apply到？應該係要填表？,,,,1,2,,,
Seng major排名？,再收多啲asso就嚟UST降格變asso,收得太多asso冇計,"珍,野雞大學既major排黎把鬼",1,12,,,,,
2023 SENG Major Result,For之後爬文嘅year 1以4:43pm打後作準,Push,3.3 CPEG,4,153,,,,,
N賓竟然……,Old News is so 唔識串,📷,,,,1,2,,,
恭喜入到CS嘅各位,Cpeg & elec,冇CS邊個寫AI,Cs等比ai取代,1,7,,,,,
Rmbi qfin ecof大家幾多分入?,"證明人哋interview and數學有料, 你冇料, 入咗都晒鳩氣",咁低都諗住入？,Wtf 3.29入唔到,1,10,,,,,
有冇人有興趣共租,未上dean list先上癲list,唔撚係掛🤡,Pm,15,,,,,,
best24 3.575是咪可以cpeg見?,入咗CS,其實係上年太高，通常3.575都入到,Same 3.575入,2,37,,,,,
__,我都入到 clsss,qfin,入到咩?,4,38,,,sem1 tga 3.32 仲有冇機會入qfin/rmbi？,,
聽日sbm mse 公布?,Same,我之後應該再加cs算,咁勁？,2,22,,,,,
Cse fyp,要人,有冇仲未有組?,,,,1,3,,,
Sbm mse,3.9,今年qfin 收幾多？,大家入唔入到gbus qfin,1,3,,,,,
sosc essay 槍,pm,Pm,pm,4,,,,,,
CORE 1121 Summer,上堂派張紙比你寫個ans,今日short quiz係咪canvas考？,"而且有好多解釋 prof.只係口講, lecture ppt.有時真係冇乜用",1,5,,,,,
2023 SSCI Major Result,冇。,仲有冇問題？,係,3,19,,,,,
cs/cpeg fyp,Pm,Ching們仲有冇位,Pm,2,11,,,,,
收comp3311 lab,"急收, pm",收lab and tutorial,Have sources but no lab solutions,1,4,,,,,
hall 3女 想調 hall 7/8/9,Push,要唔要男hall 5房？,,,,1,3,,,
engg 報b24 and major 2022,B24 3.08 dsct,B24 3.9 Cs,,,,6,168,,,
有冇人報咗韓國virtual exchange,好的。,嗰個應該只係介紹下個program 嗰啲利申: 冇去😆,今日嗰個orientation day係咩嚟 🤔,1,20,,,,,
有冇UST靚女IG？急用,hiuching ust唯一上菜其他都係垃圾,Push,沒辦法呀，你哋淨係推佢,2,26,,,,,
Seng major result!,B24 3.66 Cpeg,好嘢，入咗哥布猜那屎德地,,,,1,12,,,
奉勸各位諗清楚先好揀DSCT,收到。,收到。,收到。,1,34,,,,,
Summer sem 有冇lecture recording,Math2111有,打去rvc team 都冇人聽,,,,3,2,,,
[認真]: 一人一句最佳留言方式,同意。,是。,"我唔撚柒鳩屌你個冚家剷含撚笨柒個老母個生滋甩毛嘅爛臭化花柳白濁梅毒性冷感閪都唔撚柒得陰陽面邊大邊細豬閪燉糯米雙番閪遮面長短腳谷精上腦陽萎笨柒周頭發炎陰蝨周圍跳白竇臭滴蟲入鳩祖宗十八代食屎撈屄周揈揈白痴戇鳩閪 我屌你老母十八代柒頭撚樣系垃圾狗屎on鳩formula無撚用到喊數字柒頭死全家仆你個臭街一見到就想嘔番曬大大大前日嘅早餐生出黎害鳩人咁柒就咪撚出黎獻世啦一碌柒咁onj幾撚有心機都無鳩用啦屌你老母芝士漢堡柒頭皮 屌你老母 芝士漢堡屌你老豆 宿埋一舊 屌你家姐 落雨擔遮 屌你家姐 快過火車 屌你呀爺 笑口畸畸 屌你呀麻 泰國喇嘛屌你呀妹碌柒崩潰屌你阿哥 好過渣波 屌你屎忽化痰止咳 屌你個仔 屎忽扭計 屌你個咀 刷牙唔用涮口水 屌你老母仆街陷家產食屎收皮啦屌你. 戇撚鳩鳩食撚晒賓州咁屌你老母咁既仆街死樣. 吹撚脹? 你係生出黎俾我屌撚柒嫁啦仆街陷家產. 屌足你十世,屌你老母正仆街陷家產屌你祖宗十八代仆街含家產你老母生花柳,你老豆生龜頭癌呀柒仔收皮吧啦施主收皮啦傻仔你老母日日要比人屌就係因為你呢d咁既傻仔呀慘過做雞同企街證明你條契弟祖宗十八代都作孽,生你件仆街仔,九成九冇屎忽我頂你個肺插你個胃按你肚池機關制屌你老祖十八代 代代冇春代含撚啦你仆街含家產九歲扮做雞 十歲同人玩結婚十一歲學人做飛仔 十二歲扮做鴨十九歲學人上廿歲去夜總會二十一歲去做鴨二十二歲生花柳愛滋仆街死食揉屎啦屌你老母祖宗十鳩撚春鳩柒代撚頭西屎啦!屌你老母斬你全家你老母老婆比我強姦十次八次啦絕子絕孫啦你正一狗雜種我屌你老母啦你老母一定用屎餵大你條死戇鳩仔 你呢條敗類你條撚 樣想唔屌你都唔得, 你個臭貨老母同野狗狗合生埋你呢仆街仔廢柴屌你祖宗18代有愛滋有爺生無家教不知所謂多行不義必自斃屌你老母仆你個街杏家產死傻西屌你老母仆街啦你阻撚住晒個地球轉 正一憾家剷屌你老母臭花西! 你老豆老母性器官一定有問題啦 生你條撚樣出黎冇賓周冇精蟲死基佬我屌鳩柒你就梗架啦我係鐘意屌鳩你祖宗18個春袋呀你吹撚柒碌我帳呀",2,26,,,,,
收chem1002 source,Pm,Pm,pm,1,5,,,,,
有無人知公務員中英文ard幾分先有lv2,正常三大考應該both level 2,g,,,,1,2,,,
LIFS FYP / Capstone,想問一個topic 係唔係只係得一個quota??,係啊 自己揾緊好啲既intern 諗緊到時可唔可以reject佢個offer,第二間既意思係出面搵嗰啲？Suppose佢話淨係nom一間,13,26,,,,,
求Isom 3400 summer sem sources,pm,上緊堂喎ching,Pm,1,4,,,,,
"Male swapHall 5 to Hall 7,8,9",Hall V最 yo,Stay in Hall V,Can pay a lot to swap,1,3,,,,,
sbm second maj,放心 咩科都要背,group project and parti,mkt 係唔係都背書多😱,2,21,,,,,
Ocamp大￼爆,咁就好。,我冇問題。,仲有冇問題 ？,2,62,,,,,
講真你係咪覺得呢種留言方式好好笑？,咁就好。,我冇問題。,邊*屙邊痛,3,71,,,,,
點解啲course有位都要waitlist,因為會留位比低年級 怕y3 4搶哂 reg個日可以睇 y3/4段時間過咗 但未到y1/2中間段時間 有d搶手科明明仲剩好多位 但擺哂落waitlist 然後一比y1/2 reg才會full,呢個時候就要個prof親自reg你入個course,有時係因為多出黎嘅quota係專比相關major嘅人,2,9,,,,,
__,pm,Pm,pm,7,,,,求 SOSC1190 mid-term past paper,,
有冇人讀過HUMA 1154/ 1155,add drop無上過堂,Prof伏唔伏,想問分左組未,1,5,,,,,
收soci1960 source,Pm,Pm,Pm,1,9,,,,,
收chem2110 pp(最好包埋答案),Pm,Pm,Pm,2,23,,,,,
goop major一問,real,講咗好多次,刷夠油頭,1,4,,,,,
點解有啲人會打扮得好潮但係份人又好毒？,你打扮智慧真心高。,見到幾個同學染曬金毛帶埋首飾，一開始以為好yo得結果對住人講野好緊張🤔️,,,,1,2,,,
Ocamp 整合,不過有自知之名都係好事嚟嘅,咁又唔好咁鬧自己。,Dllm 點解科大咁撚多死kam 撚,7,92,,,,,
有冇人已經收到academic warning,唔L係吖,真？,ching係咪對酋頭有啲誤解。,3,60,,,,,
Duration for sbm additional ma,Year1 sem 1 got it,1 extra sem?,1sem,1,5,,,,,
想問有冇人有core1905B嘅module5 answer,之前問左E2I攞attempt都做錯 而家有最後一次attempt 有冇好心人可以pm me buy answer🙇🏻‍♂️🥺🙏🏻,,,,,,,,1,1
好笑LOL玩家名,佢話火鍋,你改名智慧真心高。,那晚妳吃的真開心,1,3,,,,,
CORE1130 招gpmate,push,-3,我係樓主。Core1130 Biology of Human Health想招一齊認真做嘅groupmate。冇乜特別要求，做野時認真就得，aim high。tg: hkust112233,1,3,,,,,
Sosc 1960 source,pm,pm,仲有冇問題 ？,2,107,,,,,
[統計] ￼大家點樣打字㗎（電腦）？,有好多種九方粵拼手寫語音筆劃(但少用)想學埋速成,dllm,電腦有配手寫板,1,33,,,,,
__,你swap hall智慧真心高。,仲有冇問題 ？,係,1,5,,,Male TKO Hall want swap Hall 1,,
有冇人已經收到ust connect interview,Offer都收埋,之前申請咗ust connect嘅Organizing Committee for 2023/24 Winter Service Learning Trip， 想問有冇人已經收到面試邀請,,,,1,2,,,
今個summer有邊個ocamp招緊組爸媽？,To樓主：好玩啲嘅soc根本唔會真係招jobama 入面啲人玩到熟曬 你夾硬入去玩只會尷尬,井多少少？等啲fm知下,幾kam?,2,15,,,,,
__,ISOM1090,ACCT1010,CORE1310,1,5,,,MGMT 1110 vs ECON 1222,,
Huma 2300 summer,我諗住自學算🥲,佢啲ppt 好長，入面又有好多 額外嘅嘢…唔諗住讀佢ppt 啲嘢😂,想問下你記唔記得考試format大概會係點？同埋啲問題係咪爭係會圍繞住佢比我哋嗰啲指定篇目？,3,19,,,,,
N展 major tier list,Bien >cien,Chemical engineering is the hardest engineering major according to some expert,自己諗啦🤭,2,25,,,,,
有冇人想Swap TKO Hall,Pushhhh,Anyone have hall 1/2/6 wanna swap to tko (male),"pmed, text me please",1,11,,,,,
Dean list,好佩服你們,我fall嗰封都仲未收到 spring應該要2025年先有,見到了⋯隻字好細🙃,1,10,,,,,
想問yr2 cga 2.3 想追second up 有冇機會,唔好3rd咪得,屌你2nd up 同low 咪一樣,入保險公司？😂,1,72,,,,,
Comp2011踩LQ,要幾多sd A-??,爛龜,踩LQ 食C-D🤬,1,47,,,,,
覺唔覺天份比起勤力重要得多,你出身做人地斑馬。,你出身好你係唐仔其實都可以做到好多野,天份還好，我覺得出身影響更多,2,26,,,,,
Isom1380 source sell,可以唔去上堂 佢有iprs係屋企做就得,唔會 但會take attendance,有冇人讀過知個course唔去上堂得唔得 會唔會有in class quizzes嗰啲,1,5,,,,,
Ust 女神,法官大人,有冇圖睇下 0識邊個,真人咁樣，應該都冇人想上了,2,56,,,,,
s,pm,sosc1190 summer sem 會唔會take attendance?,喺度講得唔得😂,8,21,,,sosc 1190 靚grade?,,
summer sem係咪最多只可讀9cred?,Summer sem limit: <=3 courses AND <=12 cred但係ARO可以人手放寬limit,搵department寫封信畀ARO求多科啦,其實你試下排時間表就知，最多靜係排到3個course,1,6,,,,,
收sosc 1190 source,有無人讀過呢個course,Pm,pm,1,4,,,,,
Econ1222係咪好靚grade?,比grade係唔錯嘅 但係因為都幾多背書嘢 所以個mean一定好高 🫠,唔講分既話其實課堂內容好有趣 完全唔悶 得著我覺得幾大,"但係佢比分又好鬆手,真係唔係人人啱讀",3,16,,,,,
有冇人讀緊huma1155/core1667圍個爐,伏爆,自介完 dropped,Dropped,1,10,,,,,
收 ISOM 1090 / CORE1341 source,want source,Up,pm,1,6,,,,,
收Econ1222 Kim sources,Pm,收到exam sources 有 pm thanks,,,,1,2,,,
有冇人試過withdraw grad request?,可以用追gpa 作為理由defer?,因為我想追honor,如果想繼續讀點解唔讀master,1,11,,,,,
想問有冇year1 收到bien interview,Fake,fake,想問可唔可以pm問detail啊🙏,1,6,,,,,
有冇Beyond fans?,好似係那一天我,今天我 受過傷所以理解這狀況,未食早餐,1,12,,,,,
［突發］有花生食,@𠃊,@Lxxxx 蒲頭#多小小。,非🤡,6,229,,,,,
Lang course迷思: 一定要上堂？,可能你唔上堂 tutor會記住你 然後特登比低分你,只要你足夠唔在意,上過某3字頭lang堂，果個lang tutor講過有人一堂都冇上過都冇佢乎,1,9,,,,,
SummerMGMT1110/CORE1371Gpmate,https://t.me/mgmt1110ust,大家請入group,有無醬汁,1,10,,,,,
Comp2011 pass,Ching 最後點,g,唔知你點做到,2,60,,,,,
Winter ISOM 1090,Up,Up,靚grade,3,4,,,,,
屋企有個廢青真係好慘,邊度理得咁多,一畢業就自己走,拉,3,25,,,,,
Acct2010 textbook,"I have ebook, testbank with ans, solution manuals, hw quiz with ans, 2016-2023 fall 7 year mt and final",Ppt,,,,2,30,,,
有冇人/識人tran school?,搵school adviser傾下高gpa嘅有錢會trans到,3.5,唔知business咩major好,1,11,,,,,
[急] 有冇人有讀過isom1090(core1341)？,推,推,wl大 grading嚟講ok,1,4,,,,,
Yr 1 cga得3.4，點追first hon？,T,On9 pos,Sec up mai sec up lor diu,3,10,,,,,
Ddp interview,SENG,Sbm seng?,有冇過來人可以share 要準備啲咩會唔會問時事？,1,3,,,,,
Hall 4 summer情侶房,Push,如果有pm plz,,,,1,2,,,
電腦大爆炸！,intern到癲左？,CLExplosion,,,,1,2,,,
有冇人之後會讀law,律師已經係夕陽行業，蟈安法下黨最大,宜家even 港大law出路都唔算好,Bear subject,1,9,,,,,
唉 近排少左好多樂趣,😭,搵唔番佢張令仔相😂,唐仔唔喺度梗係悶,1,11,,,,,
Home Affairs Department,有冇人比學校nom完有進一步消息,,,,,,,,1,1
Ddp睇best24 or cga?,Sbm未收到,3.79 收到🙏,Cga 3.72 收到,13,,,,,,
__,有嘅唔齊人姐,想搞但冇人搞,雖則好似想搞返起,40,117,,,Cpeg🙋‍♂️,,
收3133/3143/3334/2174 source,Expired pm again pls,已pm,pm,1,8,,,,,
GPA 鬥低大會,想問你yr2 同埋year3 cga幾多😿,,,,,,,,41,344
Yr 2 本身無住 hall 難唔難 reg hall,我住大西北都冇hall,Join多啲活動加分，上莊加最多,接近0%,1,4,,,,,
放大量IEDA Source,Pm,Pm,Pm,1,28,,,,,
☠,.gun,毒撚先上goop🫣,摺撚圍爐,4,7,,,突發蝌大有soc 搞船p‼️,,
__,樓主真心抵讚，幫推,更正：UST出彩虹南閘小巴站,📷,3,4,,,彩虹小巴站執到八達通,,
3.2 gpa cs 幾多 人工,ust cs 同 cu cs 平起平坐，不過人地有u life你冇u life嗰下就已經輸左,真心想學野一係ust一係cu,但係始終間大學名氣最大,3,55,,,,,
點樣報ocamp?,冰狗每個po 都自己友自編自導自演 又當其他人唔知 係真膠定玩膠😂,打手又蒲頭,Ok Pm,1,8,,,,,
求問! 推薦嘅is elective,Isom3010,ISOM3310/ISOM4020,Isom4100,1,3,,,,,
有冇人summer reg左isom3400?,佢有教過3400定其他isom course?我搵唔到佢嘅資料,Qiu 爛garde的,"知唔知個instructor Qiu,luying 係邊個？好驚難grade",1,3,,,,,
SENG唔該快啲出major result,milestone 姐,請問🐺（狗隻#000001）你屙尿嗰陣屹起左腳定右腳,,,,2,37,,,
玩咩ocamp好,有冇圖,⬛️🍞🐟,搞唔掂 永遠都拎隻烏雞岀嚟講,4,92,,,,,
有邊個mse ￼擺qfin 1st choice,thxxxx！,Ching cga?,Interview表現好就有機會，加油,1,17,,,,,
收2111 source,Pm,Pm i need,Pm,1,7,,,,,
收ISOM 2700 source,Pm,pm,Pm,2,15,,,,,
Wenbo,見呢個都知咩事,📷,Pm? Could I know details?,1,12,,,,,
"收math 2033, 3033, 3121",Pm,Pm,,,,1,6,,,
Big 4 consulting 人工,15k,,,,,,,,2,1
SENG major selection result,,,,,,,,,,
"收Math2001,2122,2023 source",Quoc HoFinal exam 2023新鮮熱辣 with solution$100,屌,Pm,1,6,,,,,
Ecof,唔識，讀1003🥲,Pm,Need math test pm me,1,14,,,,,
Hall 4 full year swap hall,With  extra pay,Pm thanks,,,,1,4,,,
Ddp 有冇人有interview,Thanks dailo,Email 咗 未send invitation,Me first choice DA,1,11,,,,,
overlap course,你開sis睇最準,Credit won’t double But your requirements both can be fulfilled,屌,1,7,,,,,
大家收到Dean list 信未,你攞8次dean list都唔會有,而家冇咗academic excellence award呢樣嘢,依家應該冇，dean左4個sem都冇去過,4,36,,,,,
☠,坐低慢慢傾,咁你話我知可以點,哲學家🙇,5,8,,,女朋友乜都唔同講,,
ISOM3400 grade,WangJing 炒final都有A-,,,,,,,,1,1
團購畢業袍,pm,g,Pm,1,23,,,,,
double major cs 最低gpa？,"DA 唔好咩？我係Year 2 DA, 我覺得IEDA Grade 幾好+教嘅野都算實用",3.6 also ok,3.65 is enough for scsc,3,62,,,,,
yr1 seng搵邊個ug coordinator,student center有advisor name list,,,,,,,,1,1
CPeg 要幾高CGA先入到?,3.1,3.4,你最後入唔入到,21,76,,,,,
Ddp interview 2023,而家都未有email啫係唔想要你,未收到，有冇人有,正常已有,1,5,,,,,
__,"Hall 4 full year swap to hall 6 with extra cash , pm thanks",Pm,Hall 5 male room swap to female room of any hall. Pm me quick,216,1931,,,有冇想swap hall,,
想投資￼儲錢,可唔可以開心share一齊嘆世界？正所謂施比受更有福🤗,而家等grad就可以歎世界,真 我69000short到落16500,2,8,,,,,
Hku or ust business 人工高啲,睇major,"香港啲大學得poly,ust 同埋hku出salary report。hku 出得最詳盡。會打電話去公司問。問埋個job title同埋salary。如果有hku account。可以Login直接見到舊年有幾多人做咩公司，咩title，攞咩人工。",salary report,2,10,,,,,
如果有人話你無用，你會唔會覺得佢傷害緊你自尊？,唔會，只有我自己可以話我自己冇用🥹,人地有權咁講 你都有權唔信架姐,咁又唔好咁講,1,6,,,,,
點解佢會嗌我全名,正解,我都覺得大學比人叫全名／叫人全名好尷尬,如果你唔鐘意比佢叫全名就直接同佢講清楚就得啦,1,41,,,,,
__,"Have ACCT 2200 Steven Cheung exam 1,2 & assignment",Pm,科大豬王🙈：聯校非牟利組織大學/大專想識人就禁入我哋link睇吓🧝🏻‍♀️link： 屌你老母.com你對科大豬王🙈：聯校非牟利組織 有無意見？我地非牟利但係收手續費你對科大豬王🙈：同埋我地惡過共產黨，我地全部po都關閉留言功能，好lun威水,3,41,,,收source,,
__,下個sem 再拜 拜到Dean為止😤🥹,Dean唔到🤡🫠,還神🙏🙏🙏,15,1830,,,每日一拜GPA god,,
Double major goop,Major requirement 要40K,在此我決定宣佈，我將declare goop為我嘅第2個major,有鑑於現時有67票投咗should嘅有76%，即係有51票已過半數。,1,14,,,,,
其實我人生都幾失敗,‼️,❗,！,1,10,,,,,
Sbm cga 統計,推,Ching 知唔知 mse qfin 要幾多,我啲frd 多數3.7-3.8上唔到4🤣利申qfin,1,16,,,,,
講真科大邊到chur？,Ust根本Dean’s list放題,以依家問題係ust垃圾professor都dor,,,,1,11,,,
