参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
second major同minor咩区别？,其他major 比如科工double business 有冇人知係幾多cred,如果本身bba應該差唔多,大家知唔知double 應該係幾 credit？ 好似double finance差不多30cre？,1,4,,,,,
Academic standing,can pm ?🙏 🙏,Bear will help u,,,,1,39,,,
Minor一問：PRA,垃圾科,想問public relations and advertising 容唔容易爛grade,,,,1,2,,,
政府intern係咪都係$10500？,11190,11000,有d 11200   總之高過private,1,5,,,,,
冇M1 M2想maths minor,唔會,但唔好覺得會有趣？MA1200 MA1201 係偏向計數係已經算有趣味的了,唔會,1,5,,,,,
AC double major finance定ISA好？,Ching 我想問issn 好唔好讀？,Btw你考唔考CISA 唔考ISA 又唔算有用？,例如IM 仲讀long tail Unlimited shelf 但如今大家都爭曝光同頭三頁User 係有限的attention 邊度仲有unlimited shelf and 平上架費,2,42,,,,,
請可唔可以帶朋友去City游水,校友係咪都要俾錢？,學生free?,yes,1,7,,,,,
CB minor 揀咩好？,Banl,banl,Business intelligence,1,8,,,,,
CB 人exchange 幾時要考ielts🙏🏻,應該1月底前upload就OK,上年就 12月頭，CB有叫Ielts到校考，around study period 嗰段時間。你可以9/10月睇吓會唔會今年都有,Yess,1,10,,,,,
收CB2402 lecture notes,Pm,Pm,Pm with all reference,1,19,,,,,
會唔會唔批minor in computing,咁點解你想minor cs,我3.5 但cs1102 C+,上年我gpa 2.9批咗,1,4,,,,,
有冇人￼reg左GE2132？,Pm,Pm,Pm,1,7,,,,,
Sem B dean list,過3.7 就有,我semB係3.72 有冇dean？ yr1,Okkk thanks,6,12,,,,,
城大牛奶幾時有,日唔開,星期六日有冇開,Bear farm,1,15,,,,,
收MA1502/ GE1359 asm1 source,Pm,,,,,,,,1,1
CAH請進,cah prof 畀分好鬆手,History of Chinese Art,有冇人試過CAH字頭嘅course C+或以下,1,3,,,,,
買宿位,$可議,,,,,,,,1,1
☠,有冇人有下文,Go,樓主有冇下文？,2,14,,,有冇人收到ge英文嘅ai裁決,,
__,我想問下Montreal ielts 要幾多？,,,,,,,有冇人嚟緊SemA Montreal exchange?,2,1
幾時開始申請￼summer sem grad,Now,Push,開始左喇？,2,5,,,,,
__,巴打，我留意咗你好耐，你真係好幽默。我自問都算個ok幽默嘅人，但係你幽默感比我真係高十幾二十倍…錯，應該係100倍先啱估唔到我喺呢個post竟然見識到你嘅威力我真係笑到爆咗肚，依家一路打字一路執返啲腸呀內臟呀腎呀，塞返落個肚度。你有冇諗過未來幾個月去紅館開棟篤笑？,Bear entrance,直接入,2,45,,,而家外人想入city可以點？,,
收GE2129 sources,係咪有ge2129 source?🙏🏼,pm,A+ here,2,7,,,,,
CFFT GPA cut-off,係,有冇人知今年cfft畢業頭2%同15%嘅cut-off? 係咪同Gbus 一齊拉個數？🙏🏻,,,,1,2,,,
Double major點揀,除非grad想考牌做audit狗 唔係真係咪撚讀ac講真FIn +IM好好多搵intern 都可以搵tech related Ac勁多科exchange tran 唔到反黎 i.e. Blaw claw tax 然後有啲得一個sem先開 搞到最後要defer,Why,Fin揀左ac 悔終生,1,18,,,,,
收MA1200 Asm1,Pm,同收 pm,我有source,7,,,,,,
Exchange Paris Sem A,有冇人一齊租樓住🙏🏻男,,,,,,,,1,1
CB3800一問,啲公司麻麻 用嚟做保險都ok嘅,聽落好似伏伏地🙏🏻,Reject 可唔可以去second round？,1,7,,,,,
讀GBSM CGPA幾高先係正常,低過3 會俾人關心,過3.5,,,,1,2,,,
有冇yr 4仲未有grad job offer,TRUE,讀phd做academy,又唔係， 因為我本身係讀sci，所以master係for轉行呀,3,27,,,,,
PwC Leap Day,7月22日,Anyone receive leap day invitation?,,,,1,2,,,
認真討論 Bear嘅成因,Bear gpa too rubbish. I got 4.3,All bear got cgpa 4,Bear is positive,4,11,,,,,
點樣可以做palsi leader,Bear leader,1200 1201,我意思係你想做邊一科,1,15,,,,,
Summer Algebra 圍爐區￼,Pm,有興pm,冇爐圍,3,6,,,,,
__,悼念bear,The purpose of this meeting?,Bear meeting hold in podi,1,8,,,點去個大會？,,
__,Bear is not god,Bear is god,Bear never die,1,5,,,「認真」幾時Bear撚完？？？？,,
香港大刀會,Bear KING,Bear king,bears,2,14,,,,,
幾時出新一年master class schedule ￼？,Bear schedule,巴打，我留意咗你好耐，你真係好幽默。我自問都算個ok幽默嘅人，但係你幽默感比我真係高十幾二十倍…錯，應該係100倍先啱估唔到我喺呢個post竟然見識到你嘅威力我真係笑到爆咗肚，依家一路打字一路執返啲腸呀內臟呀腎呀，塞返落個肚度。你有冇諗過未來幾個月去紅館開棟篤笑？,Bear,1,8,,,,,
到今日仲係reg唔到GE點畢業🥹,Reg bear course,巴打，我留意咗你好耐，你真係好幽默。我自問都算個ok幽默嘅人，但係你幽默感比我真係高十幾二十倍…錯，應該係100倍先啱估唔到我喺呢個post竟然見識到你嘅威力我真係笑到爆咗肚，依家一路打字一路執返啲腸呀內臟呀腎呀，塞返落個肚度。你有冇諗過未來幾個月去紅館開棟篤笑？,You can reg bear course,1,22,,,,,
幾時先收到exchange fund,Bear fundings,巴打，我留意咗你好耐，你真係好幽默。我自問都算個ok幽默嘅人，但係你幽默感比我真係高十幾二十倍…錯，應該係100倍先啱估唔到我喺呢個post竟然見識到你嘅威力我真係笑到爆咗肚，依家一路打字一路執返啲腸呀內臟呀腎呀，塞返落個肚度。你有冇諗過未來幾個月去紅館開棟篤笑？,Ask bear fund,1,3,,,,,
__,You need bear forum,Quit 左有冇第二度🥲,巴打，我留意咗你好耐，你真係好幽默。我自問都算個ok幽默嘅人，但係你幽默感比我真係高十幾二十倍…錯，應該係100倍先啱估唔到我喺呢個post竟然見識到你嘅威力我真係笑到爆咗肚，依家一路打字一路執返啲腸呀內臟呀腎呀，塞返落個肚度。你有冇諗過未來幾個月去紅館開棟篤笑？,3,16,,,點解Admin唔Block Bear個弱智仔？,,
Exchange 一問,Bear study tour,Y,Bear,1,7,,,,,
Who is bears,Bear bear bear,Bear 咪bear,Wife,2,16,,,,,
其實business analysis 出路好似唔太好,Bear programming,BANL 係 theory 比較多應用真係差啲,Bear position,1,21,,,,,
城大gym room搵gym bro,Bear gym,咁算room😂😂,Bear gym,1,5,,,,,
MKT CGPA CUTOFF,Bear cutoff,咪扮男人,On9,2,7,,,,,
暑假有printing quota?,Bear printing,dat August,Bears,1,13,,,,,
Bear係乜水？,Bear king,jomama,Bear,1,10,,,,,
Young psy,Bear king,Ching 佢叫Dr. HUI Na Na Anna😂,Bear,1,8,,,,,
Sem A Austria 有冇人,Bear,Dm?,Bear uni,1,9,,,,,
Mkt fyp利申過3求組吾freeride,Bear team,推,Bear project,1,5,,,,,
求Source!!!!想收SS2613的source!!!!,You have to consult bear office,What is bear king???,Tg is bear king???,1,8,,,,,
Trans major會唔會睇埋暑sem gpa？,Bear king,dept話係睇你依家cgpa，但你personal statement求情讀完summer gpa會高，佢maybe會比你機會，利申上年成功summer term cgpa 3.3轉到,maybe會con cgpa after summer,2,4,,,,,
城大人撐浸大學生會「滄溟」！,Bear support,雙手贊成✅,Bear king will help BU,2,20,,,,,
買宿位,Bear area,Pm,Bear residential area,1,30,,,,,
想問下second round exchange 機會大唔大,Bear tour,想去出名少少果啲應該3.3 or above,應該得不過德國好少人識英文 唔識德文有機會生活會比較困難 都要睇你地區嘅瑞典就要搞學生簽證個陣去當地/中國大使館in person show passport 會比較麻煩 不過瑞典只要識英文算暢通無阻👍🏻,2,10,,,,,
想問有冇人去Sem A 多倫多exchange?,Bear tour here,😂😂佢個聊天室過咗期不過喺呀,Pm?,12,,,,,,
anyone US exchange？,Bear king,Pm?,Bear study tour,30,,,,,,
anyone will join AIBC Conferen,Bear meeting,Pm,Bear conference,1,4,,,,,
Exhibition student helper做咩,"Lots, countless",How many bears in the kingdom?,Promote bear kingdom,1,6,,,,,
有冇人黎緊semA去德國🙋🏼,Bear tour?,,,,,,,,1,1
Anyone 26-29/6 有興趣join intern?,Bear king,我覺得佢地叫自己MT program 先浮誇😂,Bear intern available,1,60,,,,,
黎緊8月Sem A Sweden Exchange,想問去Sweden exchange CGPA同Ielts 大概幾多？想去lund university,有冇人嚟緊sem A去Linköping University 🙏🏻,Pm,2,16,,,,,
有冇得知今年自己科有幾多個first hon?,Bear,.,Bear cgpa,1,10,,,,,
請停止辱罵bear仔,You can read bear books,不如我教你哋串Oliver Bearman 同埋 championship 丫，$200/hour，以你哋班bear仔嘅智商三兩個月都有d希望學得識架,,,,2,26,,,
Sem b grad今日仲入唔入到學校?,好以未轉,Bear card,唔係要轉咗status先apply得咩,1,8,,,,,
有冇人Sem b Netherland 荷蘭exchange,Pm,恭喜你🤭,Pm,1,6,,,,,
Exchange Sem A Sweden🇸🇪,Pm,Pm,Me! Sem A,1,15,,,,,
__,Ok bear,Oh ok,Bear essay,3,51,,,大英Conny Yau,,
有冇Deloitte 12/6 onboard 🙋‍♀️,Bear king,咩post?,係,1,13,,,,,
想問下有冇人知道hon cord係咪六月會有通知去攞？,Bear list,想知dean’s list幾時出,出左email攞得啦,1,6,,,,,
有冇人放ge1401 t03/t05/t07 可償,Professor Bear?,本身reg eva但突然轉左個instructor,,,,1,2,,,
澳洲exchange大概要幾多生活費,Bear tour,Ching你係咪去過？,"大約20,000",1,11,,,,,
暑sem GE開咁小位？,Bear GE courses,Bear grad,Bear year,1,12,,,,,
未讀LC0200A可唔可以申請直接讀LC0200B？,You need a bear,Bear夠未啊on9仔,Bear,1,4,,,,,
scholarship reflective essay,Chargpt,收皮啦on9仔,Bear scholarship,1,24,,,,,
Bus com 2402 Conney Yau 點樣？,Bear is better,Last sem a-,Choose bear,1,9,,,,,
有冇人戴開水晶鏈？,想要正姻緣嘅話買月亮石，唔好買紅紋/草莓,Or link,Have ig?,2,14,,,,,
有冇人reg 左暑sem GE,Bear course,大撚把,我嗰時讀過感覺好chur 堂堂有in class exercise Grade 一般得A,2,83,,,,,
有冇人賣Printing quota?,Bear printing here,Pm,1q?,1,11,,,,,
有冇人放GE 1501？有償PM,Consult bear king,A- sem b林學忠,pm,1,7,,,,,
有冇好心人放Japanese level 1 有償,Bear Course here,有償PM,,,,1,2,,,
有冇人一齊讀/溫 Ge1359 Algebra,Bear paper,佢會派的,Bear library,2,49,,,,,
sdsc你老母….,Bear course,SDSC 3020難唔難,Bear,3,66,,,,,
Ss2613 好似幾好讀？,Good bear,Thanks 我應該會讀🙏🏻,係幾好 但多數B+,1,9,,,,,
Sem B Radboud University,有冇人去過呢間U exchange?,,,,,,,,1,1
有冇女仔想搵快錢？,Bear,你俾囉,咪男扮女,2,27,,,,,
tran data science gpa要幾多？,3.01,自學好多野先入到IT行,Yr 幾？,3,51,,,,,
放cb畢業袍，啱170以上著,Bear graduation,3x bullish push🙌🏻💨,Bear graduation,1,11,,,,,
cciv揀林學忠定張為群？,Bear king,Lam also A jor,Professor Bear,2,8,,,,,
CB2300 Notes,fake,???  U never ask for my proof😅,This fake,1,8,,,,,
23/24sem A 有冇人Canada exchange？,有冇人去多倫多？,,,,,,,,1,2
城大張信用卡係咪可以入學校,Bear credit card,,,,,,,,1,1
Beer全部同我出嚟,Bear king,雖然係但總比比反應好，佢地只會更high,封唔哂le,1,10,,,,,
有冇人比人term唔知點算 過來人,Bear,retake dse入三大,Bear king,1,4,,,,,
GE2223,Pm,要source可pm,原來而家咁嚴 summer讀勁爽 最後俾in class先入zoom,1,20,,,,,
聽日25/5 收600 printing quota,Bear,"同倒轉哈哈笑傾掂左, 但係佢唔見咗, 佢再唔出現就揾你thx thx :)",pm,1,7,,,,,
放printing quota,Bear king,Bear quota,Bear,1,9,,,,,
sdsc2102,Use bear model,Appeal🤡,B+好撚廢😭😭,1,6,,,,,
7/8月快閃台灣 有冇人跟？,Bear,Pm,Yup,1,12,,,,,
幾時會有e-cert,Bear cert,比較想知aims幾時會轉alumni,佢會send個qr code比你入,2,18,,,,,
ge1106 vs ge2129,Bear course,"Took both last sem, 2129 less workload and better grade",Bear course is better,1,5,,,,,
drop second major 有咩影響,Becaz they want bear major,有啲hr 見到會問點解,Bear major,1,11,,,,,
Exchange credit transfer,Bear plan,之後佢會出email同你講成唔成功,,,,2,21,,,
Sem b grad係咪即係6月1號後就入唔到學校,Bear,但係8月要返黎攞cert,即係張卡係6月1號到期七月一號前都可以入？,2,14,,,,,
B-可以retake,Bear graduation,😂,Bear program,4,21,,,,,
點睇個科有冇得late drop？,You need to find bear king for help,Bear issues,,,,1,9,,,
爛grade trans major 一問,You need bear king,"ais易tran啲,識人2.8 trans到",Bear major is better,1,11,,,,,
Apply政府intern但唔識填佢張form,Bear form,Bear,Bear,1,16,,,,,
暑sem GE course 一科得3個位？,You need bear education,佢地係一種棲息喺Goop獨有嘅珍禽異獸，只會發出Bear bear bear嘅叫聲，要解讀出佢地想表達嘅意思都頗為複雜，你可能要另尋動物傳心師幫幫手,咩意思？😂,13,,,,,,
有冇人知pass/fail張form點樣交？,Bear form,無錯嗰時係咩科都得但留意日期,🤣,7,9,,,,,
20k閒錢想投資,Bear investment,我食哂20%,NVDA too late,1,8,,,,,
award classification普遍幾時出？,Bear award first,Lm,,,,1,2,,,
有冇人做過HA finance intern？,Bear,Yes bear job,入去瞓到攞return offer,1,6,,,,,
boc cdd summer job,Bear bank is better,有冇人做過？,,,,1,2,,,
MKT FYP招groupmates,Bear FYP,Pm! welcome more groupmates,Pm me!,1,8,,,,,
有咩CB elective 啱追gpa ?,Why you guys don’t enroll in bear course?,no more ma course,Bear,6,30,,,,,
放GE1137 movie psy A source,Pm,Bear king,Pm,1,3,,,,,
想自殺,早死遲死都係一樣，你想做就做,2.1🥵🥵,已跳,3,54,,,,,
到底city有幾多人落坊挽,兆基hall,21b 可以一齊🤣,,,,1,2,,,
MKT3601 China Business 咩Grade?,Bear grade,Real ahhh 垃圾exchange group mates free ride我都overall A,真心少workload 啱啱派咗都靚grade,3,18,,,,,
__,Ok,Chan Yue Kuen會輕鬆啲,我SS dept嘅 其實三個都okay,3,23,,,GE2223 or GE1216,,
日本exchange,Sem B sophia,這個資訊是之前有的嗎,,,,1,9,,,
dsdc2004,B+,Same B+,sdsc2004,1,4,,,,,
gpa好shit,Bear,,,,,,,,1,18
城大新校長入,Bear,勁人,The new bear king,1,21,,,,,
Columbia joint degree,Bear degree,如果係gbus 佢哋自己都好多資助送你過去 完全唔洗擔心錢,計返咪差唔多？,1,10,,,,,
CB / EF Electives點揀？,Bear paper,全A/A+,,,,7,46,,,
關於hall appeal 一問,Return 唔到咪再代表斷左斷左就自然無score B無score b 咪好大機會unsuccessful 唔係系統有問題係個制度怪怪地,系統無錯 city hall係return唔到就88,我都係咁 之前問過sro 只要住夠120 日就一直行return,1,4,,,,,
Bme fyp 搵組,Bear project,一定要form 啊⋯⋯,一人做啦,1,7,,,,,
__,唔係話爛龜科？,So many A-,,,,1,3,CB4303 咩grade,,
知唔知shitty有咩方法可以帶人入去？,但係咁做 只係可以帶一個人入,俾張卡嗰個人，然之後自己話唔記得帶學生證,除左book gallery 睇之外,1,3,,,,,
PHY3202係咪炒左好多人?,我個fd ~3.5 GPA ，據佢所講，其他人都係差唔多or 更高 冇人低過3,呢個只係chur,讀唔代表勁，讀唔掂都係廢,1,14,,,,,
"Major fin ,double 加IM(BI)有冇用",d科唔啱讀咪拉低gpa咁點算,你睇大家po啲cutoff就知,,,,2,10,,,
__,細細個，最重要係common room果啲有曱甴，不過實唔實用🤔,高度就門嘅拍卡位,📷,2,20,,,Hall $380 放雪櫃 5月21號可以搬走,,
"6月grad,有冇可能約到counsellor傾計",我記得有emergency case ，你可以打去問下,前年啱啱入嚟收到唔知咩email book咗見過一次（以為mandatory...，份人幾nice的好似叫sellina 想試的話可以打34428101/34428478問,睇Counselling 可以睇到你學生證過期嘅嗰個日期 應該係七月中你而家試吓約住先 起碼可以見到一兩次加油！,1,5,,,,,
Cb 人等緊business caseeeeee,"Real, 用埋chatgpt 都冇A range嘅搞唔掂😂",全部用chatgpt 做都有A-,熊王case,1,129,,,,,
今日經過AC1聽到有班人喺度dem beat,我都聽到,但真係聽到有班人喺度dem beat,六月都未到喎.. 樓主思覺失調？,1,4,,,,,
warning letter一問,視乎封warning letter點寫？,一個關成績差事，一個關抄功課作弊事，你兩樣做齊咪同時出現,,,,2,7,,,
收EF 4331 sources,pm,pm,Case Study 年年一樣 有3個full marks version Midterm 有3份 Exam有4份,1,12,,,,,
放雙層雪櫃￼ $500拎走 乾淨￼直接用得￼,有意 https://t.me/ccccc05,,,,,,,,1,1
你老味CS肯出grade未🫠,Fyp grade出左了,Bear,4486準備爛grade,2,34,,,,,
Kam soc大kam L,金,香港大學生柒出國際 喺日本偷嘢仲沾沾自喜https://lih.kg/3391987- 分享自 LIHKG 討論區,I’m a KamL,1,8,,,,,
放Decathlon yoga mat,Bear tools,"Decathlon Yoga Mat(5mm, Light Weight, Coral Color)Bought on 30/1/2023 at Decathlon, HKD 209用佐10次左右~ 仲好新Selling at HKD 100",,,,1,2,,,
double major,都得,"讀BBA , year 2 sem A 先有major, 如果想double major 係 year 2 sem A之後申請 定係 完 year 1 sem B 申請🙏🏻🙏🏻 唔該晒",,,,1,2,,,
請問appeal通常幾耐有結果,佢話要同department申請先可以review grade wo..,"13日後冇reply, cc email 去home dept","等5 working days, send reminder",1,9,,,,,
Is3430 點温？咁多頁,想知你最後咩grade,A,B-,4,65,,,,,
讀2nd major 爆cred 都要俾錢？,爆credit 就要俾除dept 肯幫你,,,,,,,,1,1
求CB2400 Micro Source,Pm,Pm,求CB2400 Micro source,1,3,,,,,
☺️,Pm,Pm,Pm,1,9,,,Final Year放A range source,,
CB2203,Bear grade,Overall 90 A,Bear king,1,20,,,,,
城大補牙,即係叫你唔好搵學校牙醫補😂😂正常外面啲牙醫係你幫襯佢就免費檢查你搵佢齋檢查嘅話要另外收返錢 幾百蚊,,,,,,,,2,15
defer一問,唔使申請批咗reduced study load係default 減半學費除非dept 要求唔好減,想問如果下個sem讀<=6 credit嘅話係唔係有得申請交50% tuition fee？係應該要喺aims度按study load adjustment就得定係都要同返ARRO講？,,,,2,2,,,
department scholarship gpa要過幾多,其實剛好相反 好多都係睇gpa 話就話會優先考慮financial need 但最後都係好現實咁睇gpap.s. 無試過因為financial need 而攞到scholarship 因為gpa 唔係話特別高,應該有cap ?,你大過or around 3.9 應該點都有個gov schlorship,1,11,,,,,
phy幾時出grade,Bear,出左,,,,2,2,,,
出到嚟搵工GBSM 定 IM secure 啲,"個d應該係apply hsbc oversea scholarship, 你唔係太outstanding 可以唔使諗",祝你好運😂,咁我都去下exchange 先,3,31,,,,,
對不起 我又想你了,this real fun thx bro,WeMo Scooter 提供24小時隨租隨還共享電動機車平台服務，只要手機APP即可一鍵開啟創新的交通模式，矢志創造以租代買的交通新體驗。,唔緊要 你笑下就好😂,1,13,,,,,
Academic warning,之前*,19/20之後入學就係,“Academic Probation” is automatically assigned to students given that they have received “Academic Warning” for three consecutive semesters (including the current semester). 即係其實唔係連續就得?,2,41,,,,,
phy1400幾時岀grade,Bear,等2個星期,phy department 一個grade都未出,1,5,,,,,
"新制唔係連續sem低過1.7,第二次都係低過1.7先有事？",應該係任何3次低過1.7,3次低過2.0,但係就唔計term嗰度,1,7,,,,,
Phy1201 幾時出grade,終於出咗,唔出架啦，你哋考咁差,,,,1,2,,,
住hall嘅收件地址應該點寫？,深水埗，歌和老街22號，香港城市大學宿舍，HALL__,,,,,,,,1,1
GE2130你地咩grade,真係千祈唔好揀，我其他ge科最少都A-，呢科竟然得B,伏到喊,,,,1,5,,,
全體CB人等緊你出GE2402,B+,A,A-正,3,32,,,,,
CS2311易唔易A,唔易,點解出未😭,求問CS2311易唔易A,2,3,,,,,
唔同hall有咩特色？￼,Reg bear hall,想要hall life一定係兆基堂，大把fd玩到defer😂,Bear hall,2,32,,,,,
有3.5一定first hon?,係,"係咪只要係2019 cohort, defer都會照計返之前first/second hon system?🙇🏻‍♀️",AIMS -> study plan -> 最底嗰個cutoff,3,12,,,,,
Defer Fyp一問,問返supervisor/ dept佢哋yes就得,Fyp有彈性不嬲都係你個supervisor/ dept話事,Fyp 要major 45cred先reg得我下年year4 宜家得36cred如果我year4 semA讀夠45cred可唔可以Year4 semB reg fyp 然後year 4semB+ Year4 summer/Year5 semA 做 咁就淨係defer summer/1個sem定係要year5 semA先reg到 然後defer成個Year5?,1,3,,,,,
放GE2402實體書,Ebook $10,有需要pm 可議價,$150 ,1,3,,,,,
Cciv what grade,All chatgpt B+ ez,+1 A- Li Lin da best,A- li lin,2,28,,,,,
Final year一問,ys,成績表同證書係咪遲啲會有專人聯絡派返,,,,2,2,,,
Auditing grade,咩grade😢,,,,,,,,1,2
Cb3043 when release grade,GE2402 also la,冇exam 又最早完sem 但係最後出grade,When hv ar….,2,10,,,,,
Cs fyp搵唔到supervisor,大家寫好proposal 了？(._.),Dear,大家封email有冇特登寫啲咩？,3,12,,,,,
又係俾city 撚嘅一日,琴日冇 今日應該都冇,6點會唔會再出,今日冇㗎喇 散啦😅,2,3,,,,,
LT 一科都未出,same出嗰科仲要係最遲考嗰科😂,終於出咗1科😮‍💨,,,,1,7,,,
acct有冇人試過差0.8分pass🥲,ethics?,Afa?,,,,2,13,,,
3106 simulation,Yes,Zhankun Sun Kevin 幾Nice,會拉curve ?,1,27,,,,,
求下CS快啲出grade,實枱底交換咗個head,EE都生性過cs,希望5點會出到,6,7,,,,,
16號出grade討論區￼,MNE都係,Cb3410仲要等到幾時🫠,ac4301有未？,12,232,,,,,
嚟緊住hall 揀乜好,Normal d,Blue is good,10 best,2,34,,,,,
11點會唔會再出grade？,Yes,,,,,,,,1,1
Failure問題,Thanks a lot,2,今個sem唔好彩咁F咗個course 睇ARRO個網 我見repeat之後會exclude嗰F但係唔見佢有寫會同時exclude埋GPA Hours 所以想問下retake之後個gpa係點計？1. lastest grade / 6 credit (only exclude F grade)2. Lastest grade / 3 credit (exclude F grade & GPA Hours),1,3,,,,,
幾多點出grade,1100 have,Soon,guess wrong亂咁話我大EE,3,38,,,,,
Netherlands Exchange,有冇人2023/24 Sem A 去荷蘭 University of Amsterdam?,,,,,,,,1,1
暑sem,都未到reg period同sem a/b一樣咁reg,想問點reg暑sem？,認真 係講運氣,19,39,,,,,
ma1503炒咗,Bear,？？？,F,1,22,,,,,
有冇人知點reg sem b嘅hall,想知+1,,,,,,,,1,1
Intro to Econ GE 2258 出咗龜未？,你又知grp proj ok?可以直接問sub-grade,諗住點問 但你問完都唔知對應咩grade咁點,畢竟problem set 差不多滿分 gp proj 都ok係exam 唔知係咪衰MCs問下peter 細分好無🤨,1,10,,,,,
EF4484 咩grade,B+,,,,,,,,1,1
Ef4480咩grade?,B+,A-,B+,1,4,,,,,
⛄️,up,📷,咁唔係個個好似你咁叻仔啊嘛😹,1,10,,,MGT4307 放A range雞精筆記,,
SS am i a joke to you,推,grade 呢？ dllm,,,,3,2,,,
有冇人都係差1個subgrade first hon？,Bear grade,College dean?,同問,2,14,,,,,
Cb2240咩龜,Bear king,份final 唔太識做,A-,3,24,,,,,
今日仲會唔會出grade,cb4303有未,如果係點解唔一次過,我都想 但覺得唔會,1,11,,,,,
EE突發出grade,有幸係final year準時第一日齊grade 勁感動,,,,,,,,1,1
Hall return,每間hall return system 都唔同喎,Hall 4 500分,其實幾分先return到,1,3,,,,,
邊到有得買城大牛奶？,只可以送,唔比買,ac3 唔係有咩,1,11,,,,,
有冇人reg hall遲左交address proof,*唔俾,一句講晒 比就人情比就道理,Miss晒佢叫我交proof嘅email…如果今晚交嘅話仲有冇可能有hall🥲🥲,1,3,,,,,
GE2134 grade,A,A,B+,1,4,,,,,
Cb2200 grade,B+ 謝gpa god🥲,C-但係我題題都唔識😂😂都唔知佢點拉😂😂,正路滿分的,1,29,,,,,
"IS2023/4335, CB2240已出grade",本身諗住有C都偷笑🥲🥲,Final 第2題冇做過🥲,final全識寫，B+🥹,1,6,,,,,
