参数1_文本,参数2_文本,参数3_文本,参数4_文本,参数5_文本,参数6_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
想問下文院yr1揀cpw gpa大概要幾多🥹🙏🏻,👳,上年係3.3以上,👳,你個分穩陣架啦😹,🐱,朋友3.2x都唔得 要至少3.3以上,1,15,,,,,
Minor History,🤖,想知佢點樣爛,😈,屌,😉,On9 佢自已爛人grade 拉其他人落水,4,89,,,,,
Math2225爛左,🐺,不過佢係唔敢教咁深。畢竟都係好多人handle唔到 (LA1都已經係🤣),😁,Amy教得好呀 佢教兩科A-同A 都學到野 但好似可以教深啲啲,,,,,1,15,,,
Dr Marta K Dowejko比分鬆？,🦁,冇kill到！,😸,B+,🦁,Ching最後marta嗰科你攞咩grade🤣,1,61,,,,,
"出分之後問prof分數而佢又同意加分,使唔使申請appeal",😚,我試過 隔一陣佢sd email 同我講遲啲個龜會升返,🐫,正常唔駛，佢會幫你改,,,,,1,2,,,
放畢業帽+袍+黃色帶(sosci),🙍,pmed🙏🏻🙏🏻🙏🏻,🙃,yes pm,🙍,請問可唔可以淨係要袍🥲,1,5,,,,,
grad嘅cgpa通常幾多算好,🐤,算好？first hon囉😂,👶,唔F就得啦 grad到咪得,🍆,唔係3rd hon就得啦,1,3,,,,,
放水墨畫用具,😭,可小議,😭,500放 原價買左650左右啲,,,,,1,2,,,
英文major其實難唔難入？,😰,"cGpa 3.0，大英兩個sem拉埋應該B左右 (sem A揀左個killer), 想問下有冇機？因為之前聽人講入去嘅平均gpa都係3.1左右🙇🏻‍♀️",,,,,,,,,,1,1
Chm詩選grade,尼采02,A,🐀,A,🍞,B+,2,3,,,,,
LLaw 3007 Grade,😹,勁！,👳,A,😹,A-,1,3,,,,,
exchange trans cred易唔易,😽,Free electives 基本上讀咩都可以tran 到,🍛,小弟會去summer想trans 6 cred free electives🙏🏻有冇其他同學試過trans 6 個cred🙏🏻難唔難感謝指教,,,,,1,2,,,
準備出gpa啦,😴,出未呀,🐳,出未？！,🐝,因為班AR係垃圾,2,5,,,,,
今年畢業禮係咪無左scholastic award,😸,有講過咩？,👼,見到有啲人有窗簾繩係咩料,🍫,往後都咁搞？,1,9,,,,,
話說grad洗唔洗申請,😆,填online form或者administration 會安排？🤔,,,,,,,,,,1,1
☠,😦,唔該晒唔該晒,🌵,儘快補飛 趕係reg科前搞返掂佢,😦,想問吓大家有冇辦法,1,3,,,過咗限期仲差兩個CCL未做會點樣？￼,,
想問下大家，CPW有冇得exchange？,aaaaa123,去台灣都得🤩？,🐹,有,,,,,1,2,,,
Summer 荷蘭exchange,🍦,hiiii 你去邊間呀,🙁,有冇人報可以有個照應一齊去！🙇🏻‍♀️,,,,,1,2,,,
畢業帽畢業領要喺邊到買,🐺,黑店,🐺,千其唔好去petits,🐺,唔理點,6,,,,,,
6月5號畢業禮￼想要Fd子,😙,"3唔識7, 我做咩同你影相。。。",😭,點會冇咩朋友🫣,😷,畢業禮冇乜朋友，想有人同我影吓相🤏會拎住一紮藍色玫瑰花😁,2,3,,,,,
想問有冇人去韓國中央大CAU summer exchange,😠,🤲,,,,,,,,,,1,1
文院人翻譯可以搵乜intern🥲🫠,😺,我估佢咁驚 係因為我哋有畢業要求compul intern,🎂,Translation可以報pr/mkt comm/corp comm最大路同大機會收你,🍫,真係搵唔到都唔緊要啦咪放鬆吓 諗清楚自己想點,1,9,,,,,
summer exchange,😊,Tg?,😊,Tg?,,,,,4,36,,,
政府 intern,⛹,20～ 你係返邊到？,😒,Hi 我都係afcd，你係project幾,⛹,利申afcd,9,158,,,,,
￼點解今年畢業禮會早咗咁多￼？,🍂,佢無事啊🙏🏻 係熱到中暑,😟,希望唔會😬,🍦,係咪之後一路都係6月搞😰😰好熱喎大佬,2,15,,,,,
有冇人同我一樣SOSC3005冇offer,🀄,已簽,🀄,612,🌿,咁你哋份工幾時開始做先,3,51,,,,,
放5/6 畢業禮12:15 飛一張，有意請PM！,👷,Pm🙏🏻,👷,Pm🙏🏻,🐋,Hi,1,3,,,,,
尋人post,人間喜劇,代fd post 尋人啟事🫡31號 3點左右係Oee 6樓電腦室 想穩返比我問路嘅靚女🫣諗住完左個ceremony會撞得返 點知..🥲,,,,,,,,,,1,1
突發‼️ BU抽獎 有錢拎‼️你參加咗未⁉️,🦂,心動不如行動！做完問卷即可參加～https://hkbu.questionpro.com/t/AWVEeZwsea,,,,,,,,,,2,1
出grade日期又延遲左？,😴,*照計,😴,"The units for course with grade ""F"" are included in GPA calculation even though there is no grade point earned for the course.from AR website",😴,F咗嘅科本身都照跟credit 如果唔介意爛gpa 係應該可以照grad,2,32,,,,,
ICAC Summer intern有冇人收到email通知,👾,lcac 社區關係處嘅summer intern 大概兩個禮拜前去左interview 想問下有冇人收到email通知聘用？thanksss,,,,,,,,,,1,1
畢業袍想s換xs,🍰,up,🍰,up,🍰,up,1,5,,,,,
搵唔到intern..,🌜,只能夠講我去到bank mt interview 冇人少過4份intern,😀,但係好似要個course coordinator firm左你個intern先計畢業要求 （上網睇,🍕,defer = 要交,3,22,,,,,
150元百佳現金券|尋找抑鬱情緒的你,我好眼瞓呀,150咁少,Chatist,？,👸,愛在記憶中找你,1,9,,,,,
今年Cai邊層最好玩,🐐,邊個 dem beat咁柒,😯,16撚好玩咩 有兩個大kam友 次次都係度dem beat,👲,14唔係好firm咩,2,7,,,,,
宋四女女同宋十仔仔搞咩今年,😷,笑咗😂,😏,圖定lm？,🐈,周11 ht 白淨靚仔又高，係瘦咗啲,1,10,,,,,
加拿大🇨🇦exchange 23-24,👻,pm?,🐡,Here,👻,hv!,2,30,,,,,
$800 收6月2 Session 2 畢業門票 330pm,🤔,$800 收6月2 Session 2 畢業門票 330pm!有意PM!,,,,,,,,,,2,1
有無人summer exchange 去日本？,😇,kllllok,😇,Can!,🌰,Hello發現過咗期😭可唔可以交換tg??,2,35,,,,,
收毛筆書法工具🙏🏻,☠,Sor 又唔記得左😖🤣,😿,試下今次得唔得,😿,佢話過左期,1,9,,,,,
收BBA ￼畢業禮飛(6/6 12:15pm),PDino,Push,🙈,如題 薄酬,,,,,1,2,,,
MATH2225 Grade一問,🐳,真人問吧,🍂,佢唔答我唔知點解,🐳,同你一樣 問左cj grade B+,1,4,,,,,
越諗越激氣,🙍,隔離讀GE 一字頭嘅人都識email instructor 去表達意見,🙍,true 爆成肚氣 然後得個吉🤣🤣,🍀,就係你班人，個個剩係識係度講講講，係度講有L用，激氣就搞大佢投訴囉,2,7,,,,,
History莊今年又冇下莊,Hionu,佢地柒咗都唔敢認啦🤭,🌱,冇心做就唔好選啦,,,,,7,49,,,
🌚,🐸,有冇hanyang university相認?,🐿,有冇人sogang university?,🍄,Pm,1,19,,,有冇人報咗韓國summer exchange?,,
調理農務系有咩出路😵,😶,邊條女,billgate,跟條女搵食最好🤙🏻,🍡,大把 做ecotour又得 NGO又得 政府programme又得 睇你識唔識搵嘅啫,1,12,,,,,
收5/6 1200文院飛兩張 薄酬,😮,推🙏🏻,,,,,,,,,,1,1
"收畢業禮門票(5/6, Mon12:15pm) 薄酬🙏🏻",🍉,跪求🙏🏻,🍉,Up,🍉,有意請dm thanks so much 🙏🏻,1,3,,,,,
收 6/6 9點 BBA 畢業禮飛一張,😹,dm,🌮,Dm🙇🏻‍♀️,👼,我都想知，pm,1,7,,,,,
🌚,mayccyy,組其實好好 係層差,🍗,宋14又搭沉船 影衰晒,👧,唔玩宋hall最舒服🙏🏻🙏🏻,76,,,,宋hall邊層最好玩,,
畢業相,🐍,唔駛 著Gown睇唔到但如果自覺身高較矮有機會企第一排請著皮鞋/高跟鞋 會影到腳,🐍,睇SU IG 就話即使解散Yearbook會照整前排打過SU電話確認女同事話大概11月左右派如果想要SU Yearbook就5月31日前福仔交會費,🍓,我着背心泳褲拖鞋,2,10,,,,,
FSC 6樓printer,🐄,RRS 3樓啦，一定有人幫到你,🕵,建議行去oee702 print,🕴,頂，浸中FSC 6/F部printer叫咗人都唔肯加紙，搞到印唔到野。一部壞咗，一部冇紙。。唉😮‍💨到底想點,1,3,,,,,
Exchange買單程定來回機票？,👺,預鬆d就ok,🐰,填你大概幾時返 之後confirm咗再同保險果邊講返,💩,Insurance 係計離開香港嗰日至到返到香港嗰日，買單程機票嘅話大家回程個日期係填幾時？,1,5,,,,,
收毛筆書法工具,🐔,Pm!,🐔,Pm!,👲,放書法工具,1,7,,,,,
FYP 到底有冇可能F,👾,如果f你應該派grade前幾個禮拜會搵你傾，依家冇事都冇應該就冇事啦,🎃,me too,💂,好似20號先派俾final yr,1,10,,,,,
🌝,🌽,有意帶價DM thanks,,,,,,,,,收 7/6 9點畢業禮門票 薄酬,1,1
浸大高層疑恐嚇學生會成員,😿,高層班廢柴,😕,true 成日都係咁一瀨野就縮,🐗,"BU應該都係冷處理, 最後不了了之",5,6,,,,,
zhou13臨quit呵搞咩,😏,咩事呀佢,🐞,咪cyw囉🤭知唔知邊個呀,🌽,人地知唔洗問啦 知又唔開名 係講到咩仲可以邊個,1,8,,,,,
Soci Hon Pro 揾groupmates,Ltttttttt,Ok你del佢啦,Ltttttttt,有吖 你留個電話 我wts你,,,,,1,18,,,
有無人sem2 去UK Keele University,🍑,Here!!!,,,,,,,,,,1,2
今年周11算唔算顛覆咗zhou hall 嘅￼刻板￼印象,🙀,最多俾啲時間你搵下打手 講返自己hall 幾勁啦 睇吓你嗰hall 係咪符合晒你講嗰啲所講既條件,🙀,人地正常討論 又話人地小朋友 又話人地周狗 又on9 仔咁 出少句聲啦 人地自high 咪自high 你咁嬲做咩啫 咪顯得出自己eq低,🙊,吠得最大聲最具攻擊性嘅言論，一目了然🙏🏻😂有咩好嘈吖屌,3,22,,,,,
Exchange 易唔易成功 trans credit,🙆,Free elective easy,🍖,我apply 15 credit 全部trans晒如果多free elective就唔驚啦,👴,under 12 cred 逐cred計,1,9,,,,,
MATH courses pass既分數,🌰,想問下有冇Ching知道MATH2225 (Calculus 2) 幾多% 有pass?🙇‍♀️🙇‍♀️thxxxx,,,,,,,,,,1,1
😭,PDino,想問價,🐶,Push,🐶,Hi 想知價,1,7,,,求6月6商學院畢業Session 2門票,,
周邊層ht做得最差,😺,真係 人哋HT quit hall都有班層仔特登返嚟送佢車😮‍💨😮‍💨,☺️,15樓喎一定😂,😺,呢到嘅留言水分都好高下😂,2,30,,,,,
Exchange result,😪,Hi Metoo!!,🐭,Me Edinburgh too!! Pm!,🍓,Sem 2?,16,935,,,,,
有無人收到HABC scholarship result,ASDHD,我仲以為你匿名咗搵唔到你🫡🫡,🍈,你唔識inbox？😂😂,ASDHD,等你inbox 我,1,10,,,,,
Geog2016 出左分,🐖,九十幾,🤗,咁大家幾多分？,🐏,我都收到 真係好鬆手,1,5,,,,,
F咗科GE 應該點？,👾,冇事嘅 一定要講清楚,Hahhah,有，佢話會regrade，唔知佢幾時會再通知，咁樣嚇一嚇，都擔心,👾,咁你唔使驚la 照講返點做同用咗咩reference就ok,3,40,,,,,
完sem🤪 放底一個對佢有好感既人名下面 🤫,😱,嵐,🌹,徐心詠,🙋,科,3,16,,,,,
Bu有冇人Summer 去延世exchange?,🐙,+1!!,👴,pm!,🌶,Hiii,1,14,,,,,
有冇人報左community pro?,🐢,Hk community experience project 有冇人知佢出左result 末？,,,,,,,,,,1,1
Cai 有份打堂際嗰個Oskar咩事,🐰,有無咁癲真系咁玩法😵‍💫😵‍💫,🍁,條仔ig del咗出面條女嘅story highlight 唔通穿煲🤘🏻🤘🏻🤘🏻,🌛,老細都去IG下面鬧 睇嚟都射唔少波,5,15,,,,,
幾時派gpa?,🐑,有冇ching知下學年個acadmeic calendar大概幾時會出？我見今個學年嘅ac 4月就出左 但依家5月都未出到2324個ac😵‍💫,🌾,咪亂講啦 5月31號就出啦 上網放大你雙眼睇下,尼采02,2/6,1,10,,,,,
樂富地鐵站定九龍塘地鐵站行去bu會近啲?,🍪,2F 都ok,尼采02,住觀塘可以坐去黃大仙，一出有架3C巴士直到Bu新校,😻,論時間 兩個站行返去都差唔多 個人覺得樂富站行會舒服啲,9,36,,,,,
Math course grade一問,🐘,唔該各位大神,🙏,拉curve,🐅,之前ode exam淨係做左30分 然後B,1,7,,,,,
Service mkt exam mc 難？ 考完覺得點,🍁,Mc 難？,Anx234,Ok la 吹到 問好basic野,,,,,1,4,,,
有冇人考完Fine3015,🌯,想知retake 條隊喺邊度,,,,,,,,,,1,1
Intern,Anx234,Ofcoz,🍗,U same?,🍗,The first one,1,9,,,,,
畢業後仲用唔用到one drive?,🍝,Word先係,🍝,Sor,⛄️,邊個真邊個假,2,8,,,,,
Math fyp,🎂,我都想知，好多topic想做,😭,做math fyp有冇啲伏既supervisor係需要避開架？好驚遇到呢啲😥,,,,,1,2,,,
溫唔入腦啊啊啊啊啊啊啊,😅,tax?,🐱,Brand management?,又關你事,我都考Imc!!!!!,1,9,,,,,
揀major,尼采02,冇得比，Dse收分唔同，大學要求自然唔同,🐪,唔過2但某科過GPA咁又點計？,,,,,1,9,,,
fail科問題,🐟,夾埋全部ASM分數就知一定會fail⋯,😦,咁快出成績？,🍔,甘快出成績？,1,6,,,,,
咩hall最多kam撚,🐍,Ntt,🍺,你最kam..,🐜,問得呢個問題嘅人所屬嘅hall,1,4,,,,,
Mktg3025,😄,冇source 吹下水都好,,,,,,,,,,1,1
Paper AI check,🌰,ching最後點,🙎,你寫得悶，佢就會覺得你用AI gen所以好易中伏,🐴,屌好on9  篇termpaper寫完之後再用Grammarly執   改完交咗之後話我成篇嘢大部份都係AI generated 😑😑😑,2,3,,,,,
UBC Summer exchange 搵roommate,蛋白粉,DM,🍑,Here,🍐,有冇7月session 嘅巴打有興一齊reg roommate？想搵個out-going 嘅rm,2,3,,,,,
Mktg3025點算,🐒,😭,,,,,,,,,,1,1
Entre 考完覺得點 易？,🍾,🥲🥲🥲,🍾,你寫左幾多30分同20分,🍾,重點文又多字,1,9,,,,,
Mktg3025 exam tips and source,🙎,Hi if anyone have source please dm me Really need it please,,,,,,,,,,1,1
如果想defer洗唔洗申請？,👽,簡單講就係等運到 等佢email話批你defer,🙎,No need,,,,,1,15,,,
有冇人讀過FINE2006 banking credit,🙏,可以買,🙏,Hello請問有冇source 😭😭😭,🌽,3017,2,14,,,,,
畢業禮助手,🙀,各位有冇做過畢業禮助手？想問下大概有點咩要做？,,,,,,,,,,1,1
Fine3006考完覺得點,🐿,望佢手下留情,🐿,話難唔難，話易唔易,,,,,1,2,,,
收BUSI2005,Iamwhour,Pm,Wadeow,Pm,😿,Pm,1,22,,,,,
sosc3005 interview 嘅公司係咪英文面試？,🍢,我放喺1st choice…,👸,民主黨我都未有interview😵‍💫,🍢,民主黨,1,19,,,,,
四呵莊樣,👴,Cai今年..🫢,😙,Soong Rachel 好撚正,🐑,圖定老母,1,23,,,,,
收MKTG 3005 exam pp,😵,Pm,🐌,"Pm, thanks",👼,Pm,1,4,,,,,
Mktg3025 exam source,🌺,有既話可比 200 買,,,,,,,,,,1,1
收ECON1006 exam source🙏🏻,🍶,Hello~,🎍,Pm🙏🏻,新人新豬肉,Pm,1,18,,,,,
SOCI4027 Final,🗿,有冇past paper ar🥲,🐂,有無ching記得佢話final考邊度,,,,,2,2,,,
收ECON1006 exam source🙏🏻,😉,Pm,🤑,pm,🙊,Pm,1,4,,,,,
放 FINE2005 source,🍯,2021-2022,Euuw929,邊年？,🍯,A- exam past paper + answer,1,3,,,,,
MKTG4007,😈,Push,👼,Brand Management need sources,,,,,1,2,,,
有冇 絲 而家得閒？ 想🌿,🐨,Pm,🍲,可以🫡,洗剪吹大師,Hi,1,5,,,,,
☠,😅,是,🌷,係,🙁,係咪一定fail,1,3,,,如果我fine2005唔考試,,
放FINE2005 BUSI2045 BUSI3006 pp,🙄,All A/A- past paper + answer,,,,,,,,,,1,2
有冇人sem 2去波蘭？,Ashercychan,Hi wanna ask,哇不得了,人在波蘭讀書 有嘢問可以contact我,🐥,純exchange?,1,5,,,,,
收busi1006 sources,🐹,Pm,🍱,pm,🐦,Pm,1,12,,,,,
BIOL3027,😱,呢科大家溫成點？千幾頁lecture notes真係搞唔掂🤦🏻‍♂️,,,,,,,,,,1,
🎉,🐱,Hello,💂,Want,🐐,Pm,1,4,,,放 econ1006 exam resources,,
有冇人要comp source,👰,有冇人要comp past paper,👰,hii,KiryuKazuma,仲有冇,2,24,,,,,
FINE2005,Anx234,Pm,🐣,Pm,Anx234,Pm,1,60,,,,,
其實住hall係咪真係好容易拍拖,👦,agree 有床唔會忍到,🐑,算啦 year4無人會想理你,🙈,可以日扑夜扑上堂前扑完落堂再扑都咪話唔正,1,4,,,,,
有冇人喺呵打牌😋,🤕,我地有缺人,🤕,打台牌/三番可以搵我,😌,打牌,1,30,,,,,
LLAW3007,🌺,有得open book 所有其實還好～,多啦No夢,問上個sem 個難唔難🧐,🐤,有問題？都未考 瞓醒未,1,4,,,,,
收LLAW3007 Exam sources,屯門濱崎步,Pm,屯門濱崎步,Pm,Anx234,Pm,1,5,,,,,
有冇人知現屆扶青莊啲人點,😺,今年真係不值一提,🐌,啲男莊員幾cute吖,🙄,以後d人問點解唔好玩扶青 可以答:玩扶青會死😂😂😂,10,37,,,,,
收BUSI2005 Sources,🍳,"有，A grade sources 包晒 project, final question paper and my answers for your reference, pm",😋,如題,,,,,1,3,,,
扶青Eda,🙌,佢地最後一齊左幾耐😂😂,😄,都唔知有咩好提,😄,屌 一般貨色,7,13,,,,,
學生會單嘢竟然冇調查報告？！,🐆,真 其實佢哋係班好有心嘅人黎,🐇,為呢間大學嘅人悲哀，人哋其他大學嘅學生會已經無咗，班BU學生都好似無咩人珍惜學生會咁,🙄,冇人調查，咪你去調查囉,2,9,,,,,
fine1005,🎂,求問fine1005 exam format 同 syllabus,,,,,,,,,,1,1
Mktg3007,😗,Pm,🐭,pm,🍣,Pm!,2,7,,,,,
放sources,🍫,Pm,🐂,我都有以上啲sources 免費放，pm,🐂,我都有以上啲sources 免費放，pm,1,42,,,,,
MATH3836 data mining paper,😬,Pm🙏,🙆,Pm,😬,pm？,1,5,,,,,
ACCT3007 EXAM範圍,🍂,有冇人知exam範圍🙏🙏,,,,,,,,,,1,1
想問有無同學仔上Sem考過GFQR1046,🐦,點算,🐦,咁大獲,🍅,📷,2,10,,,,,
Mktg3025 exam past paper,🍼,求Imc exam paper 有酬 你定價,,,,,,,,,,1,1
