参数1_文本,参数3_文本
低調牙,48歲吳彥祖近照曝光 肚腩凸凸男神變大叔?
唔好搞大佢,48歲吳彥祖近照曝光 肚腩凸凸男神變大叔?
唔好搞大佢,"幾時開始依家門將唔係救波叻,而係傳波控波叻?"
"咁既話,以前d神龍舒米高,簡尼,卡斯拿斯,保方係依家咪唔洗生存?
個門將唔止要識救波,而要識控波,有腳下技術仲要識傳波
我覺得哥迪奧拿呢樣野真係好反智

睇住曼聯依家買既呢個前阿積士門將
https://www.youtube.com/watch?v=kGTKfXlMQts
足球真係進步得好大,由以前紐亞當後衛咁踢
到依家原來門將仲要識得長傳要準","幾時開始依家門將唔係救波叻,而係傳波控波叻?"
"就好似傳統玩反應既當拿隆馬依家都真係收收地皮
以前呢類門將先係主流","幾時開始依家門將唔係救波叻,而係傳波控波叻?"
黎明=垃圾,"幾時開始依家門將唔係救波叻,而係傳波控波叻?"
"因為出左個紐亞改寫左標準

條友全盛時期由救波腳法速度氣勢領養力乜都有","幾時開始依家門將唔係救波叻,而係傳波控波叻?"
"你唔好本末倒置先

你所講現代要求門將控傳叻

其實前提都係要撲救能力唔差

艾利臣，紐亞，艾達臣，達史迪根全部撲救能力都有返咁上下，甚至係世界級

如果只係識傳，撲救廢嘅，一樣上唔到大枱","幾時開始依家門將唔係救波叻,而係傳波控波叻?"
咁即係反智定進步,"幾時開始依家門將唔係救波叻,而係傳波控波叻?"
"但對比舊有既雲達沙,舒米高,簡尼同保方
呢堆救波同反應已經叫差
但以前既門將出晒名唔需要太好腳下功夫
依家係反智到個門將原來要10項全能
救波反而唔係最重要果環","幾時開始依家門將唔係救波叻,而係傳波控波叻?"
你就算講近代施治都唔係呢種類型,"幾時開始依家門將唔係救波叻,而係傳波控波叻?"
紐亞反應救波點會差過呢四條友,"幾時開始依家門將唔係救波叻,而係傳波控波叻?"
傳波控波叻果班大會龍門，人地救波都係好撚勁架,"幾時開始依家門將唔係救波叻,而係傳波控波叻?"
史高斯守龍都叻,"幾時開始依家門將唔係救波叻,而係傳波控波叻?"
係奧沙呀屌你老母,"幾時開始依家門將唔係救波叻,而係傳波控波叻?"
"你係勁嘅咪諗套用白界反應龍嘅戰術揪低光頭佬龍門傳控囉
贏唔到波講經","幾時開始依家門將唔係救波叻,而係傳波控波叻?"
"比起以前果班神人唔算快
舒米高以前成個身封晒你射波
你連位都睇唔到,簡尼又係
佢之後個仔卡斯柏舒米高
都做唔到佢老豆做既野
都係玩反應

只可以講依家門將已經唔同以前
我都估唔到今時今日進步到個門將
原來仲要傳都得","幾時開始依家門將唔係救波叻,而係傳波控波叻?"
"紐亞點差過佢地
弱智仔 救波都係最重要 但係而家大把勁龍門救波頂級 控傳都勁","幾時開始依家門將唔係救波叻,而係傳波控波叻?"
"反智唔好睇囉
你重播J歷史咪算囉","幾時開始依家門將唔係救波叻,而係傳波控波叻?"
結果又係J舊人,"幾時開始依家門將唔係救波叻,而係傳波控波叻?"
"我認為係反智
理由係門將愈黎愈難生存
門將唔在只係單單係要反應夠
而且仲要門將識得進攻,要識控波,有時要扭埋波
仲要變左做埋後衛
目的就係減少失控球權,加大個控球權
好似迪基亞舒米高雲達沙保方呢種
大個大腳送個去比前鋒頂唔再係咁簡單
而要精準到要傳到比隊友

依家好多門將位置都會變左由防中
前鋒轉型去踢

另一層面對足球黎講係進步既
因為門將唔再局限係反應同救波能力上
而更著重一個門將要識進攻
但同時有得必有失
就係門線技術同反應會慢慢退步
同以前果堆玩反應既神經龍無得比","幾時開始依家門將唔係救波叻,而係傳波控波叻?"
"一路想問點解你咁大怨氣

好似每日上黎都要keep 住憤怒狀態
大家每日都見 每日都會一齊吹水
點解一定要搵一兩句黎屌
咁傾計開心咩￼?

我絕對唔洗岩哂
所以你覺得你岩 絕對可以你岩哂
你覺得邊個 係史高斯 係黎明
完全無所謂 對我完全無影響
完全可以你岩哂

我無能力令每一個人都同一立場
所以你有唔一樣既感覺 觀點
我100% respect 你

只係想你搞清楚
你岩哂無問題 你覺得佢係點都無問題
不過唔需要下下都屌老母
我無殺左你全家 強奸你條女 燒左你間屋￼","幾時開始依家門將唔係救波叻,而係傳波控波叻?"
"對住D不知所謂既留言
我唔屌柒佢老母算我唔俾面佢
呢班撚樣係需要屌柒佢地先安樂","幾時開始依家門將唔係救波叻,而係傳波控波叻?"
"要求龍門有多項能力有咩咁反智
吉蛇都on99","幾時開始依家門將唔係救波叻,而係傳波控波叻?"
"足壇都市傳說：紐亞反應救波差
佢唔係用呢樣嘢做賣點唔代表佢反應救波唔得","幾時開始依家門將唔係救波叻,而係傳波控波叻?"
佢嘅世界就係非黑即白 要多樣識用波就等於唔要求識撲救,"幾時開始依家門將唔係救波叻,而係傳波控波叻?"
"我只係想問咁樣只會減少更多出色既門將出現
好似以前果堆卡斯拿斯,保方,雲達沙,到施治
有邊個真係要個門將要護波叻,又要識傳波
仲要識扭人
就好似依家傳統既當拿隆馬,當年吹到新保方
依家就算有個保方都會比時代收皮
因為唔識傳波","幾時開始依家門將唔係救波叻,而係傳波控波叻?"
"我只係想問咁樣只會減少更多出色既門將出現
好似以前果堆卡斯拿斯,保方,雲達沙,到施治
有邊個真係要個門將要護波叻,又要識傳波
仲要識扭人
就好似依家傳統既當拿隆馬,當年吹到新保方
依家就算有個保方都會比時代收皮
因為唔識傳波",無知一問基督教小學教聖經，佛教小學讀佛經？
"今日經過一間佛教中學，記起小學讀基督教小學要讀聖經，食飯前要祈禱。

雖然唔知係咪教育局既小學必修課程，咁但係唔會係佛教小學到教聖經掛，

所以實際上係咪會教佛經，講下取西經之類既佛學，考下佛學測驗咁。

咁冇宗教背景既小學係咪又可以讀小一科呢",無知一問基督教小學教聖經，佛教小學讀佛經？
係會教佛經會考有佛學考,無知一問基督教小學教聖經，佛教小學讀佛經？
我地每朝要企係大堂跟住個訓導祈禱1 分鍾 聽佢係台上鳩up 要得低頭哩埋眼 佛教小學要點,無知一問基督教小學教聖經，佛教小學讀佛經？
祈禱變念經？,無知一問基督教小學教聖經，佛教小學讀佛經？
脱維善有冇教可蘭經？,無知一問基督教小學教聖經，佛教小學讀佛經？
我估有77個處女等緊大家！！,無知一問基督教小學教聖經，佛教小學讀佛經？
"會讀佛學，當然唔係直接讀經文，小學咁細個，通常都係講下d佛教故事，講下d戒律咁

早會會唱佛寶歌，會有浴佛節，以前佛誕仲未係公眾假期既時候會有學校假期",無知一問基督教小學教聖經，佛教小學讀佛經？
"我小學係佛教，間小學有間佛堂，真係有個環節係禮佛，成班人輪流入去拜佛
不過唔係日日去，係佛教堂先會去",無知一問基督教小學教聖經，佛教小學讀佛經？
取西經應該唔係佛學.....,無知一問基督教小學教聖經，佛教小學讀佛經？
"佛學，一半講歷史，一半講初級佛教，集會時頌佛號，喃嘸xxxxxxx 十次
無野要拜，係禮堂長期有注香不過唔算太臭",無知一問基督教小學教聖經，佛教小學讀佛經？
基督教個班信徒太撚假 想嘔,無知一問基督教小學教聖經，佛教小學讀佛經？
聖經堂都係 講下五餅二魚 講下係羊群中生出耶穌,無知一問基督教小學教聖經，佛教小學讀佛經？
有冇學生因為宗教信抑問題唔肯拜,無知一問基督教小學教聖經，佛教小學讀佛經？
記憶中就冇因為都成20年前,無知一問基督教小學教聖經，佛教小學讀佛經？
"我終於明點解有時係班fd 面前講下d 濕鳩難gag , 例如食飯前大聲講 求主耶穌 賜我飲食 xxxxxxx,

冇人明尷尷介介 原來係大家個底唔同 我仲以為全港小學統一食飯要祈禱",無知一問基督教小學教聖經，佛教小學讀佛經？
點會唔係,無知一問基督教小學教聖經，佛教小學讀佛經？
"玄奘, 即係歷史上嘅唐三藏, 真係有去天竺學習14年, 再帶啲經返唐國翻譯, 係兩大中文佛經譯經家之一
係咪等於樓主講嘅取西經就唔知",無知一問基督教小學教聖經，佛教小學讀佛經？
"入得佛教都估到有佛野要做

不過唔想都冇人逼你 真心佛教算好包容其他宗教

我以前就未識人信基督教 但入左佛教學校",無知一問基督教小學教聖經，佛教小學讀佛經？
我知佢係去最西經 跟住又翻譯唔少佛經 不過去人竺嘅過程 都係佛學之一？,無知一問基督教小學教聖經，佛教小學讀佛經？
道教小學教道德經？,無知一問基督教小學教聖經，佛教小學讀佛經？
好懷念頌佛號,無知一問基督教小學教聖經，佛教小學讀佛經？
我果間傳統小小 要背金鋼經同學大力金剛指,無知一問基督教小學教聖經，佛教小學讀佛經？
有無足球隊,無知一問基督教小學教聖經，佛教小學讀佛經？
"雖然我唔知佛學個Syllabus係點
但我諗歷史背景、啲經點嚟都要知下嘅",無知一問基督教小學教聖經，佛教小學讀佛經？
咁多佛教中小學 不如搵個讀過既出黎講下咪得,無知一問基督教小學教聖經，佛教小學讀佛經？
咁多佛教中小學 不如搵個讀過既出黎講下咪得,打波整親條女個鼻 俾人屈我賠湯藥費 (2)
"原文：https://lih.kg/3435859

無話偏幫邊一邊，兩位主角我都只可以話係知邊個但係唔熟。不過見大家好似唔係好清楚Field hockey呢一樣運動係點就開始嗌交，覺得好似俾多少少資料你地先繼續討論會好啲

Field hockey呢樣運動除左喺禁區內射波之外 係禁止以擊打既方式整個高波出黎既

擊打既方式包括Slap/Hit。因為兩個技巧都可以構成相當快既球速，而hockey波本身就又重又硬，基本上direct hit打中人最輕微都骨裂，所以所有slap/hit只要一高過膝頭位置都會因為「dangerous play」而吹罰

亦因為有呢條球例，打field hockey除左龍門外，身體通常只會有硬手套以及喺膝頭以下有護pad。面對對方球員入禁區射波既時候，係真係要自行閃避既。

樓主嗰個情況，係free hit（相等於足球底線出界開龍門球）。無人會expect樓主會slap個高波出黎，我都相信樓主本身都無心既，最多球技遠遠有待加強咁解。

無心之失既運動傷害，其實就無需要賠錢既。不過打個以娛樂為主既6人賽，因為自己技術不足做成對方需要全身麻醉+縫50幾針⋯俾我應該會因為內疚都跟進返對方既醫藥費￼

下面俾個slap波既示範大家參考下，其實slap波真係唔容易打個高波出黎￼

https://youtu.be/1APNbPqz9L4",打波整親條女個鼻 俾人屈我賠湯藥費 (2)
"對賠醫藥費無特別偏向
唔賠都得, 賠都合理
但唔會打高波既規則下, 仲係for fun既場上, 無啦啦一開波就整個高波中正人地塊面
佢既態度係做運動出黎預左受傷, 佢完全無責任唔關事咁樣, 理都唔想理件事
條友觀感上的確幾仆街",打波整親條女個鼻 俾人屈我賠湯藥費 (2)
"呢啲嘢去到尾都係唔洗賠㗎啦
不過樓主唔好on99
再係啲for fun嘅比賽玩認真囉
大家係咁易玩吓 你slap high做乜鳩啫",打波整親條女個鼻 俾人屈我賠湯藥費 (2)
"佢有whatsapp當事人道歉既，但係一講到賠償就開始唔覆
睇ig post好似有托人同當事人解釋返呢個係意外叫佢自己claim返保險
其實佢肯自己面對返自己同當事人傾就唔會咁啦，唔知點解要玩失蹤",打波整親條女個鼻 俾人屈我賠湯藥費 (2)
知道傷者去左私家，條數起碼5位數嚇到縮,打波整親條女個鼻 俾人屈我賠湯藥費 (2)
"之前個frd又係類似噉
踢啲濕鳩教會賽俾人鏟到斷腳筋
大佬當自己球王咩 依啲場都係玩下㗎啦
事後完全消失 道歉都冇句 果籃都冇個",打波整親條女個鼻 俾人屈我賠湯藥費 (2)
唔係蓄意，比賽意外受傷唔應該要賠。如果單單都要賠仲有人敢去玩運動？,打波整親條女個鼻 俾人屈我賠湯藥費 (2)
賠你老母呀,打波整親條女個鼻 俾人屈我賠湯藥費 (2)
"前文樓主搞到個女仔
面部毁容...
要逢五十幾針
鼻樑骨折
有無去醫院探過人地先...
現埸sorry 一句再加whatsapps 一句問候？
唔理你有無誠意賠償先...
你基本歉意都唔足夠lo...
人地搵你傾
你就話唔覆人地住...
人地先透過第3者搵你傾
你就話人地炸鳩你
身為男人你比返小小責任去面對啦
你依家仲要拎上黎講...
極度有理由相信樓主系成日生活系父母既保護罩既""孩子""",打波整親條女個鼻 俾人屈我賠湯藥費 (2)
就算法理上唔洗賠都唔好深潛啦⋯負返責任同事主傾有幾難,打波整親條女個鼻 俾人屈我賠湯藥費 (2)
Claim 主辦，李家超.jpg,打波整親條女個鼻 俾人屈我賠湯藥費 (2)
"做運動受傷都要賠錢又真係小癲
正如石地聯一年都唔知幾多人斷腳啦
係無人好似條女咁影哂相打張文追討姐

參加呢啲活動前主辦方應該都會有野簽
話自己要有保險以防一切意外？
另外條女背後點睇都自己有買保險
如果假設自己有買保險又再要人賠又唔合理",打波整親條女個鼻 俾人屈我賠湯藥費 (2)
"咁要道幾多次歉？或者點講先有誠意？
打波有意外大家都唔想
講到尾係想要錢啫，講咩誠意唔夠。

調返轉頭如果樓主好撚有錢，即時擺低一千幾萬百，再屌埋佢屎波都，我諗條女收完錢唔會搵咩fd嘈鳩人",打波整親條女個鼻 俾人屈我賠湯藥費 (2)
唔只，我諗廿個左右,打波整親條女個鼻 俾人屈我賠湯藥費 (2)
做運動都要賠,打波整親條女個鼻 俾人屈我賠湯藥費 (2)
"條仔04年

即係啱啱讀完中學升year 1
錢就肯撚定無要問父母拎

唔識處理一啲都唔奇怪

講嚟講去就係錢問題，用啲甚麼誠意去講真心虛偽",打波整親條女個鼻 俾人屈我賠湯藥費 (2)
"所有球類運動都有機會撻Q
拉埋技術黎講真係膠
技術好只係減低出錯機會，唔代表一定唔會發生

美斯C朗夠技術好未，踢波係咪唔會飛機
網球big 3都有機打中球僮

唔好講咩技術唔好就唔好落場d膠野",打波整親條女個鼻 俾人屈我賠湯藥費 (2)
"唔賠你咪搵律師告 擺上網有乜用
仲要自己都有機會身敗名裂
同埋唔理是非 假設大家都知呢條女咩樣的話
唔好講打波 係街見到都保持行車距離
驚撚左你啦
一陣有乜事又話撞親你擺上網屈你賠錢",打波整親條女個鼻 俾人屈我賠湯藥費 (2)
"你常規比賽球隊要買保險 聯賽有保險 個人都會買保險
有乜事總有人跟進負責
你兒戲友誼波咪無人跟
結果就係要靠恐嚇
廢人做運動就係咁
你咁多要求應該去報班入隊跟正規訓練
美斯都唔會無啦啦係街場出現
傷左邊個負責",打波整親條女個鼻 俾人屈我賠湯藥費 (2)
"呢度仲好笑，你明白係意外

然後相信賠償係解決辦法？

講到尾就係 個人覺得道歉係唔夠，你要用錢去彌補我先覺得夠

係公立無即刻推入手術室，仲去得私家，
都唔會係無買保險啦？你Claim完醫藥費，然後心靈上覺得受傷害，要對方用錢去彌補你。",打波整親條女個鼻 俾人屈我賠湯藥費 (2)
打手狗公全面進場 襯岩岩開post想帶風向,打波整親條女個鼻 俾人屈我賠湯藥費 (2)
"仲以為Karen點解會講人話
細心睇先發現",打波整親條女個鼻 俾人屈我賠湯藥費 (2)
"首先 做運動比人整到 而要人賠錢 呢件事岩與錯 已經係好大爭議 要討論先
但條女一下已經開post公審人 用群眾壓力想社會性謀殺 已經一定係個大仆街先",打波整親條女個鼻 俾人屈我賠湯藥費 (2)
賠你老母咩賠,打波整親條女個鼻 俾人屈我賠湯藥費 (2)
"托人講無疑係逃避
都明白因為一講錢 大家有前切 就會變泥漿摔角￼

不過球場受傷 就算係犯規 點解會覺得claim對方
唔好講英超 nba蓄意犯規
細個學校打波整爛眼鏡 都唔會叫人賠啦",打波整親條女個鼻 俾人屈我賠湯藥費 (2)
"托人講無疑係逃避
都明白因為一講錢 大家有前切 就會變泥漿摔角￼

不過球場受傷 就算係犯規 點解會覺得claim對方
唔好講英超 nba蓄意犯規
細個學校打波整爛眼鏡 都唔會叫人賠啦",玩緊隻Game好戇鳩
"新手老手全部同一個服
新手同老手競爭同一舊資源
咁新手點夠老手爭
黑人問號
正常唔係定期開新服
區分開新手老手

完全無新手加成/落後加成系統
人哋啲game賺錢賺經驗有加成系統
呢隻係冇
啲老手只會同你講你唔努力
個個都係咁玩
啲老手戇鳩乎？？
啲怪勁咗咁多
競爭大咗咁多
用返一樣時間攞廿年前資源點打新怪？？

物價唔同
啲核心裝以前好平
正正常常無課都拎到
而家唔重課都拎唔到
拎唔到根本唔使玩
官方有免費送
但輪候三十年
除非用情緣去排
咁平均六年先拎到


但問題嚟啦
核心裝係必需品
點解無啦啦情緣去排有優先排
歧視單身？
單身唔使玩？

以前啲老手着數晒
可以平嗰陣入貨
甚至囤積居奇
新手點算？
其實好多game都唔俾人囤積居奇

仲有。。勁多人假情緣去排
官方又唔理

發言系統好戇鳩
講啲政治嘢唔得
粗口唔得
近音唔得
講話遊戲好悶，唔好玩,想轉game唔得
屌
講句嘢都變晒***
甚至bam acc

邊個仲敢講嘢？


官方更新埋啲無謂嘢
屌
最重要個遊戲內容本身
無啦啦用所有資源整大個伺服
或者整啲遊戲跳糟渠道
或者整多啲政治審查
做乜鳩
個遊戲唔更新
浪費資源做埋啲無聊嘢
十幾廿年無更新啦

同公司遊戲跳糟變天龍人

個遊戲做得咁差
玩家自然流失轉game
為咗應付玩家流失
喺同公司整個轉game優惠
落地送核心裝或時限免費核心裝

我屌你老母
我玩咗隻game咁耐
排30年先有嘅核心裝
無啦啦天龍人直接送

官方/gm有特權
官方/gm 隨意bam人
玩遊戲輸咗或唔係滿意結果
就話玩家唔理
啲玩家真係無say
不論重課定無課
得罪gm俾人bam acc就無謂



唉
隻game原本好好玩
原先唔係呢間公司
係英資公司開發
好有創意
好有心
九七年轉咗中資營運
變晒質

真係逼人轉Game,
甚至Quit game啫,
官方真係若蓮喪子，
唔使由普通玩家開始，
一日到黑屌玩家問題,
但有冇諗過咁多玩家都有問題？
定根本係享受特權咋
gm應該係管理個遊戲,
唔係管理啲玩家，
一日到黑整係識bam人


好多人對隻Game都放咗好多心血
好多組隊打怪嘅回憶
或者公會傾下偈開心回憶

而家根本玩緊隻game嘅，轉game嘅，quit game嘅都係被逼
都係受害者

因為玩家根本反抗唔到，完全無權，無say

隻game曾經係三a大作
到變咗明日黃花
真係令人唏噓
隻Game個營運真係好戇鳩！！！！！",玩緊隻Game好戇鳩
即係咩game?,玩緊隻Game好戇鳩
如果真係game就好，可以一早唔撚玩,玩緊隻Game好戇鳩
,玩緊隻Game好戇鳩
o 知道了睇少咗一段,玩緊隻Game好戇鳩
"tldr
一大堆比喻 好有深度咁
不過全部都係廢話",玩緊隻Game好戇鳩
有得quit Game咩,玩緊隻Game好戇鳩
樓主識分比例同機率未,玩緊隻Game好戇鳩
"轉game咪得 大把game搶緊玩家
玩夠幾年就可以做永遠玩家",玩緊隻Game好戇鳩
樓主保重,玩緊隻Game好戇鳩
呢隻game 唔比我正評你,玩緊隻Game好戇鳩
依家全部手機game都唔比講某國既政治野,玩緊隻Game好戇鳩
,玩緊隻Game好戇鳩
"你重唔快啲quit

玩過第2隻game 呀嘛",玩緊隻Game好戇鳩
呢類野到底可以回帶幾多次,玩緊隻Game好戇鳩
"佢有keep住開新服架
你入錯ser删左個角色試下再登入啦",玩緊隻Game好戇鳩
隻驚玩到爛咗喇，早棄早著,玩緊隻Game好戇鳩
"覺得似咩咪直接講囉 睇哂成篇野都仲係玩緊暗喻
十足""伯賴""個on9仔咁",玩緊隻Game好戇鳩
呻完記得星期一準時返工,玩緊隻Game好戇鳩
香城武俠傳DLC,玩緊隻Game好戇鳩
"樓主比負評又唔理人
好唔開心",玩緊隻Game好戇鳩
"出篇文啫
要有咩意義",玩緊隻Game好戇鳩
"出篇文啫
要有咩意義",Null
"出篇文啫
要有咩意義",男子管有士巴拿及行山杖罪名不成立 高院指原審裁決「有悖常情」 發還裁判官考慮是否罪名成立
"https://t.me/youarenotalonehk_live/23937

#高等法院第廿二庭
#張慧玲法官
#宣讀判詞 #0902葵涌

李(22)
控罪：在公眾地方管有攻擊性武器
被控於2019年9月2日，在葵芳興寧路外的公眾地方，無合法權限或合理辯解之下，在公眾地方管有攻擊性武器。即一行山杖和士巴拿
--------------------------
被告審訊後於2020年8月14日被 #林子勤裁判官 裁定罪名不成立，律政司不服判決以案件呈述方式提出上訴。

速報：
原裁判官裁決有犯錯，因此他作出的裁斷是「有悖常情」，案件發還裁判官重新考慮高等法院所述法律理據答辯人就控罪是否罪名成立

裁決書詳情：
https://legalref.judiciary.hk/lrs/common/ju/ju_frame.jsp?DIS=153644&currpage=T

批淮申請保釋
除更改報到警署，其他以原有條件繼續保釋。

感謝臨時直播員",男子管有士巴拿及行山杖罪名不成立 高院指原審裁決「有悖常情」 發還裁判官考慮是否罪名成立
"22歲酒店散工四年前在葵涌涉被警察搜出士巴拿及行山杖，被控一項在公眾地方管有攻擊性武器罪，經審訊後罪脫。律政司不服罪脫裁決，以案件呈述方式提出上訴，張慧玲法官今頒布書面判詞指，原審裁判官林子勤法律上犯錯，只予比重於被告「自衛」的開脫說法，所作的裁斷「有悖常情」，下令將案件發還給林官，根據現時經澄清後的法律觀點，重新考慮被告是否罪名成立。

被告被控在2019年9月2日，在葵涌興寧路管有一支士巴拿及一支行山杖。律政司認為原審裁判官林子勤沒有全面考慮被告在錄影會面中的陳述及客觀事實，被告當時「守護連儂牆」，預期會有口角甚至動武，包括被「白衣人」打，故需武裝自己，管有涉案物品明顯不是自衛用途，即使被人聲稱管有物品是用作自衛，法庭亦可推論他管有士巴拿和行山杖用途必定是擬供他或「手足」用來傷人；被告方則指被告若遇到「刀手」或「揸棍」的人，會拿涉案物品「擋住」，「避免用武」，希望自己在安全的情況下離開，故沒有傷人意圖。

張慧玲法官經考慮後認為被告以涉案物品「自衛」時，有機會令施襲者受到傷害，而且行山杖頂多可擋棍但難以擋刀，士巴拿亦根本不能抵禦刀棍等武器，故認為被告當時管有士巴拿不是用作「自衛」之用。張官指林官沒有充分考慮到被告背包內其他如護目鏡等常用示威物品，2019年社會騷動及暴力衝突的背景，被告在錄影會面中的解釋及入罪陳述等，只予比重於被告「自衛」的開脫說法，構成「有悖常情」的裁斷，屬於法‍律上犯錯，將案件發還給林官，根據張官所澄清的法律觀點，重新考慮被告是否罪名成立。",男子管有士巴拿及行山杖罪名不成立 高院指原審裁決「有悖常情」 發還裁判官考慮是否罪名成立
下級法院法官係咪唔可以批評上級有悖常情?,男子管有士巴拿及行山杖罪名不成立 高院指原審裁決「有悖常情」 發還裁判官考慮是否罪名成立
"「張慧玲法官經考慮後認為被告以涉案物品「自衛」時，有機會令施襲者受到傷害，而且行山杖頂多可擋棍但難以擋刀，士巴拿亦根本不能抵禦刀棍等武器，故認為被告當時管有士巴拿不是用作「自衛」之用。」

從呢段可以睇到香港法官對於自衛的睇法係點
香港法官眼中的自衛係唔包括攻擊型的自衛
即係你比人斬 ／你見到人比人斬
你只可以擋 唔可以攻擊施襲者

補充一點
將軍澳連儂隧道斬人案，是指2019年8月20日凌晨在香港新界將軍澳發生的襲擊事件。
案發前兩個星期先發生完斬人案
被告擔心再有刀手斬人根本係合情合理
原審法官都應該有考慮到呢一點",男子管有士巴拿及行山杖罪名不成立 高院指原審裁決「有悖常情」 發還裁判官考慮是否罪名成立
律政屍真好做,男子管有士巴拿及行山杖罪名不成立 高院指原審裁決「有悖常情」 發還裁判官考慮是否罪名成立
依家仲喺司法機構做嘢嘅先至係「有悖常情」,男子管有士巴拿及行山杖罪名不成立 高院指原審裁決「有悖常情」 發還裁判官考慮是否罪名成立
"有機會令自己受到傷害=犯法
不能抵禦對方保護自己=犯法
中国香港法治=
開心 中国香港",男子管有士巴拿及行山杖罪名不成立 高院指原審裁決「有悖常情」 發還裁判官考慮是否罪名成立
即係總之就犯法,男子管有士巴拿及行山杖罪名不成立 高院指原審裁決「有悖常情」 發還裁判官考慮是否罪名成立
,男子管有士巴拿及行山杖罪名不成立 高院指原審裁決「有悖常情」 發還裁判官考慮是否罪名成立
狗口,男子管有士巴拿及行山杖罪名不成立 高院指原審裁決「有悖常情」 發還裁判官考慮是否罪名成立
高x 晴收毒品咩事都冇,男子管有士巴拿及行山杖罪名不成立 高院指原審裁決「有悖常情」 發還裁判官考慮是否罪名成立
高x 晴收毒品咩事都冇,支那抖音飛機片 合理化 人仔貶值
"https://www.facebook.com/100047738320306/videos/276634144722388/?startTimeMs=94000&mibextid=MnnKW6

錯啲嘢多撚到 我都唔識由邊度開始講

唔怪得成班韮菜日日輸身家都咁開心",支那抖音飛機片 合理化 人仔貶值
除左賣增值產品個 pary 外，差唔多全部都係偷換概念,支那抖音飛機片 合理化 人仔貶值
